ダウンロードした時刻：2019/10/10 15:38:32

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,7.6,11.4,4.5
1997/12/2,2.1,5.7,-1.7
1997/12/3,0.4,2.9,-2.1
1997/12/4,3.1,5.9,0.8
1997/12/5,4.3,6.8,2.0
1997/12/6,5.9,12.2,2.4
1997/12/7,8.5,11.2,5.6
1997/12/8,11.8,15.1,9.8
1997/12/9,9.5,11.8,5.5
1997/12/10,5.5,8.9,1.5
1997/12/11,2.6,4.9,0.5
1997/12/12,3.2,5.6,1.2
1997/12/13,3.8,5.9,1.0
1997/12/14,5.5,9.3,2.5
1997/12/15,5.4,8.0,3.4
1997/12/16,7.4,9.4,6.5
1997/12/17,6.6,9.3,2.7
1997/12/18,7.9,11.3,2.1
1997/12/19,10.0,14.1,5.1
1997/12/20,8.6,13.1,5.1
1997/12/21,3.3,5.5,0.9
1997/12/22,2.0,3.1,1.0
1997/12/23,3.1,5.9,1.3
1997/12/24,1.8,6.5,-2.2
1997/12/25,2.9,8.4,-0.8
1997/12/26,3.3,9.5,-1.3
1997/12/27,5.7,10.3,0.7
1997/12/28,5.1,8.9,3.4
1997/12/29,4.2,6.7,1.9
1997/12/30,5.4,10.2,1.1
1997/12/31,4.9,6.1,3.6
1998/1/1,2.0,6.0,0.4
1998/1/2,1.9,4.0,0.2
1998/1/3,3.9,8.8,1.0
1998/1/4,4.1,10.3,0.6
1998/1/5,1.1,5.0,0.0
1998/1/6,0.5,2.4,-0.8
1998/1/7,-0.5,1.5,-2.5
1998/1/8,-1.1,0.4,-2.8
1998/1/9,0.4,3.4,-2.8
1998/1/10,3.5,4.5,2.1
1998/1/11,2.2,3.8,-0.2
1998/1/12,0.5,2.5,-0.7
1998/1/13,1.0,4.2,-1.3
1998/1/14,0.9,3.3,-1.4
1998/1/15,-1.5,0.3,-2.8
1998/1/16,2.2,4.9,-1.0
1998/1/17,2.2,4.6,-0.8
1998/1/18,5.5,8.3,0.2
1998/1/19,0.4,6.1,-2.3
1998/1/20,-0.5,2.3,-1.8
1998/1/21,0.4,4.1,-1.2
1998/1/22,-1.6,-0.2,-2.9
1998/1/23,-0.9,0.8,-3.0
1998/1/24,-2.1,-0.6,-3.4
1998/1/25,-0.4,1.5,-3.1
1998/1/26,-0.2,1.4,-1.4
1998/1/27,-1.5,-0.1,-3.7
1998/1/28,-1.8,-0.7,-3.2
1998/1/29,-0.7,1.1,-3.2
1998/1/30,1.8,5.4,-2.7
1998/1/31,0.6,4.4,-2.6
1998/2/1,0.4,2.4,-3.0
1998/2/2,2.5,4.2,0.6
1998/2/3,1.6,3.3,0.6
1998/2/4,-0.6,2.1,-3.1
1998/2/5,1.7,3.2,-1.8
1998/2/6,3.4,5.6,2.0
1998/2/7,1.4,5.0,-2.8
1998/2/8,3.4,6.8,0.5
1998/2/9,2.6,4.1,0.5
1998/2/10,0.2,1.9,-1.3
1998/2/11,1.5,4.4,-1.2
1998/2/12,4.3,10.2,-1.0
1998/2/13,4.5,6.9,1.9
1998/2/14,2.9,4.7,0.7
1998/2/15,1.3,3.0,0.4
1998/2/16,1.1,3.2,-0.3
1998/2/17,0.2,3.7,-1.8
1998/2/18,0.6,3.0,-2.7
1998/2/19,1.0,8.2,-4.3
1998/2/20,3.9,8.0,-0.8
1998/2/21,3.1,6.8,-0.4
1998/2/22,1.0,3.9,-1.3
1998/2/23,2.9,7.4,-0.3
1998/2/24,3.9,10.3,-1.1
1998/2/25,5.1,8.8,1.9
1998/2/26,7.7,12.7,3.9
1998/2/27,6.2,9.9,1.5
1998/2/28,5.6,11.8,-0.4
1998/3/1,6.1,9.3,3.5
1998/3/2,6.8,9.5,4.1
1998/3/3,7.1,10.9,3.1
1998/3/4,6.0,8.7,3.7
1998/3/5,4.0,7.6,0.0
1998/3/6,4.5,9.2,0.2
1998/3/7,3.6,7.6,0.3
1998/3/8,4.2,6.8,0.9
1998/3/9,4.3,8.4,0.2
1998/3/10,1.4,4.4,-1.3
1998/3/11,4.6,9.5,-1.5
1998/3/12,8.2,10.8,5.7
1998/3/13,7.2,10.4,5.4
1998/3/14,7.4,10.7,5.2
1998/3/15,2.2,6.0,-1.9
1998/3/16,2.0,5.6,-1.1
1998/3/17,1.2,3.0,-1.2
1998/3/18,4.2,6.5,1.5
1998/3/19,7.8,15.9,0.4
1998/3/20,6.8,14.1,4.2
1998/3/21,4.3,7.0,1.6
1998/3/22,3.1,5.0,0.7
1998/3/23,4.3,7.4,1.6
1998/3/24,5.7,10.1,1.5
1998/3/25,7.2,11.6,1.2
1998/3/26,8.7,12.7,3.0
1998/3/27,8.5,9.8,7.0
1998/3/28,10.3,13.8,7.7
1998/3/29,12.4,16.5,8.7
1998/3/30,11.0,14.4,6.6
1998/3/31,5.2,8.4,2.2
