ダウンロードした時刻：2019/10/10 16:12:36

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,14.1,17.6,9.7
1993/12/2,11.5,14.1,8.5
1993/12/3,13.9,18.5,10.5
1993/12/4,7.8,11.0,4.8
1993/12/5,7.4,10.8,3.9
1993/12/6,7.3,10.7,3.9
1993/12/7,7.3,10.3,3.8
1993/12/8,8.8,11.9,6.9
1993/12/9,8.8,12.4,5.2
1993/12/10,10.7,15.1,8.2
1993/12/11,9.1,11.3,7.0
1993/12/12,7.5,10.3,4.4
1993/12/13,9.5,12.6,6.7
1993/12/14,8.1,11.0,5.0
1993/12/15,5.9,9.1,3.1
1993/12/16,5.2,7.9,3.7
1993/12/17,5.3,8.2,3.3
1993/12/18,4.9,7.7,3.1
1993/12/19,7.0,9.9,3.1
1993/12/20,7.7,8.3,6.7
1993/12/21,6.8,11.4,2.4
1993/12/22,3.8,5.7,1.6
1993/12/23,4.7,7.1,3.3
1993/12/24,7.4,10.5,4.1
1993/12/25,8.4,11.7,6.0
1993/12/26,9.2,13.1,6.0
1993/12/27,7.9,10.2,5.8
1993/12/28,7.4,8.9,5.8
1993/12/29,6.5,8.8,2.9
1993/12/30,7.1,10.9,3.6
1993/12/31,9.6,14.4,4.8
1994/1/1,5.1,8.4,3.2
1994/1/2,6.6,10.8,3.0
1994/1/3,8.0,11.2,6.0
1994/1/4,7.7,11.2,4.7
1994/1/5,6.3,9.8,3.5
1994/1/6,7.8,11.4,4.9
1994/1/7,6.4,8.9,1.2
1994/1/8,4.1,8.1,1.0
1994/1/9,6.0,10.7,2.8
1994/1/10,7.7,11.5,4.1
1994/1/11,8.0,11.7,4.5
1994/1/12,7.3,9.1,5.3
1994/1/13,6.3,7.6,4.6
1994/1/14,5.4,8.4,3.3
1994/1/15,3.7,6.6,2.0
1994/1/16,5.4,8.0,2.3
1994/1/17,10.9,16.0,6.0
1994/1/18,7.7,10.5,4.2
1994/1/19,3.6,5.6,1.4
1994/1/20,3.1,6.0,0.4
1994/1/21,3.6,6.0,2.5
1994/1/22,2.7,6.0,-0.7
1994/1/23,2.0,6.2,-0.5
1994/1/24,2.0,5.6,-1.6
1994/1/25,5.1,9.5,1.9
1994/1/26,7.2,10.2,3.9
1994/1/27,6.3,9.2,3.3
1994/1/28,4.0,6.4,2.2
1994/1/29,2.8,5.7,0.0
1994/1/30,1.0,3.8,-0.5
1994/1/31,3.0,6.4,-0.9
1994/2/1,6.5,8.9,4.6
1994/2/2,4.0,6.2,2.5
1994/2/3,3.1,5.8,1.8
1994/2/4,3.8,6.6,0.0
1994/2/5,6.9,10.8,4.4
1994/2/6,7.2,11.2,3.5
1994/2/7,7.9,11.4,4.3
1994/2/8,6.7,9.9,4.0
1994/2/9,6.2,8.9,3.5
1994/2/10,2.8,4.8,1.4
1994/2/11,3.1,6.0,0.8
1994/2/12,1.6,4.0,0.4
1994/2/13,2.9,6.0,-0.1
1994/2/14,5.3,8.7,2.5
1994/2/15,4.1,6.1,2.0
1994/2/16,4.6,9.0,1.1
1994/2/17,5.0,8.4,1.3
1994/2/18,5.9,9.0,1.7
1994/2/19,8.0,11.5,4.0
1994/2/20,8.5,10.1,7.0
1994/2/21,7.6,10.9,3.3
1994/2/22,5.3,8.7,3.2
1994/2/23,5.7,8.8,2.8
1994/2/24,2.9,5.7,1.9
1994/2/25,4.5,8.5,1.4
1994/2/26,4.6,8.8,1.3
1994/2/27,4.2,8.1,0.5
1994/2/28,5.6,9.2,2.5
1994/3/1,7.1,11.3,3.6
1994/3/2,5.3,9.8,2.1
1994/3/3,5.1,8.2,1.1
1994/3/4,6.8,11.1,3.2
1994/3/5,6.1,11.3,2.8
1994/3/6,5.3,8.6,2.0
1994/3/7,6.6,10.3,3.6
1994/3/8,10.3,16.1,7.1
1994/3/9,10.7,14.7,7.7
1994/3/10,6.4,9.9,2.2
1994/3/11,5.2,9.9,0.1
1994/3/12,5.3,7.4,4.0
1994/3/13,5.9,9.6,4.3
1994/3/14,5.0,9.6,2.4
1994/3/15,4.2,8.3,0.3
1994/3/16,5.8,10.1,1.3
1994/3/17,7.4,11.7,4.0
1994/3/18,7.3,10.4,3.3
1994/3/19,10.2,15.1,6.4
1994/3/20,8.7,12.8,5.7
1994/3/21,6.5,11.0,3.4
1994/3/22,6.3,9.1,2.8
1994/3/23,8.2,9.9,7.3
1994/3/24,7.2,11.6,4.2
1994/3/25,5.4,9.0,2.3
1994/3/26,4.9,9.4,1.9
1994/3/27,6.3,10.6,1.4
1994/3/28,9.5,12.7,5.1
1994/3/29,9.5,13.9,5.0
1994/3/30,7.6,11.5,3.3
1994/3/31,11.4,17.0,6.0
