ダウンロードした時刻：2019/10/10 16:23:08

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,4.8,6.4,1.6
1996/12/2,7.0,8.8,5.6
1996/12/3,8.2,13.4,4.1
1996/12/4,14.0,19.0,4.1
1996/12/5,11.5,17.9,4.9
1996/12/6,5.0,6.5,3.0
1996/12/7,6.1,8.0,4.3
1996/12/8,7.7,10.6,6.0
1996/12/9,11.0,16.9,5.9
1996/12/10,12.0,14.2,8.9
1996/12/11,10.5,13.8,4.8
1996/12/12,9.1,14.5,4.0
1996/12/13,10.9,15.6,6.8
1996/12/14,9.6,16.3,4.4
1996/12/15,9.5,16.5,4.7
1996/12/16,13.1,18.3,4.4
1996/12/17,14.8,18.8,12.6
1996/12/18,7.4,12.8,5.8
1996/12/19,7.0,8.8,5.2
1996/12/20,8.4,11.6,5.4
1996/12/21,8.7,13.6,5.5
1996/12/22,11.7,16.5,6.1
1996/12/23,7.3,8.9,3.2
1996/12/24,7.9,15.2,1.1
1996/12/25,10.8,17.9,4.5
1996/12/26,10.3,16.5,4.0
1996/12/27,10.5,17.0,3.9
1996/12/28,10.7,14.7,4.1
1996/12/29,9.2,17.8,3.4
1996/12/30,10.3,17.2,5.1
1996/12/31,11.2,18.5,6.2
1997/1/1,14.1,20.5,7.1
1997/1/2,6.2,8.0,4.0
1997/1/3,6.9,8.5,4.0
1997/1/4,7.1,10.3,2.6
1997/1/5,7.4,11.5,2.2
1997/1/6,4.5,5.8,3.9
1997/1/7,4.9,6.7,3.9
1997/1/8,5.7,9.2,2.0
1997/1/9,6.9,10.3,1.6
1997/1/10,7.6,9.4,6.6
1997/1/11,8.4,11.3,7.0
1997/1/12,9.2,10.6,7.3
1997/1/13,9.5,14.3,3.2
1997/1/14,8.8,13.2,3.5
1997/1/15,6.8,12.0,1.9
1997/1/16,7.5,12.3,1.3
1997/1/17,8.4,13.0,1.7
1997/1/18,8.4,10.7,6.5
1997/1/19,6.2,9.1,1.9
1997/1/20,6.4,13.1,0.8
1997/1/21,5.6,10.7,1.7
1997/1/22,2.2,6.1,-2.0
1997/1/23,3.8,9.4,-2.6
1997/1/24,5.4,6.4,4.8
1997/1/25,6.2,8.6,4.0
1997/1/26,9.0,12.0,6.9
1997/1/27,9.7,12.2,7.6
1997/1/28,7.9,10.9,5.9
1997/1/29,6.4,7.9,4.4
1997/1/30,6.2,9.3,4.1
1997/1/31,6.9,10.5,3.4
1997/2/1,7.5,10.3,4.6
1997/2/2,7.5,9.0,5.6
1997/2/3,7.3,9.0,5.2
1997/2/4,7.0,9.6,2.1
1997/2/5,8.4,10.8,5.2
1997/2/6,7.3,9.1,4.9
1997/2/7,7.8,9.4,4.7
1997/2/8,8.6,11.4,4.5
1997/2/9,9.6,14.1,3.3
1997/2/10,8.7,13.6,2.8
1997/2/11,5.7,8.9,3.0
1997/2/12,5.7,7.8,4.6
1997/2/13,6.1,7.8,4.3
1997/2/14,6.3,10.6,2.4
1997/2/15,7.5,10.9,3.4
1997/2/16,6.6,10.2,4.3
1997/2/17,5.9,7.9,2.9
1997/2/18,6.2,8.0,4.8
1997/2/19,5.8,8.2,3.8
1997/2/20,8.7,14.0,0.4
1997/2/21,8.6,12.2,6.7
1997/2/22,7.9,11.6,4.7
1997/2/23,6.3,12.5,-0.9
1997/2/24,8.6,13.9,0.4
1997/2/25,17.3,22.2,11.0
1997/2/26,14.0,17.7,9.4
1997/2/27,12.1,16.8,7.7
1997/2/28,16.0,18.6,9.6
1997/3/1,11.4,17.5,7.1
1997/3/2,10.3,13.1,7.4
1997/3/3,7.7,10.0,5.4
1997/3/4,7.7,12.7,2.5
1997/3/5,8.2,15.5,1.6
1997/3/6,13.4,18.7,3.1
1997/3/7,14.0,17.0,10.0
1997/3/8,12.6,17.8,4.7
1997/3/9,10.9,18.0,3.4
1997/3/10,15.8,18.7,8.7
1997/3/11,14.4,18.2,9.7
1997/3/12,12.3,13.6,10.4
1997/3/13,14.0,15.1,12.8
1997/3/14,15.8,19.4,13.6
1997/3/15,12.7,13.9,11.5
1997/3/16,11.1,14.3,9.5
1997/3/17,10.3,12.8,8.5
1997/3/18,10.6,14.0,5.9
1997/3/19,11.5,15.3,5.3
1997/3/20,11.4,14.6,7.6
1997/3/21,10.4,15.3,4.2
1997/3/22,12.6,15.9,9.2
1997/3/23,10.6,14.8,7.3
1997/3/24,8.7,12.5,3.6
1997/3/25,10.1,15.6,2.5
1997/3/26,10.7,11.5,9.9
1997/3/27,11.8,17.3,5.9
1997/3/28,11.5,16.3,4.5
1997/3/29,14.5,17.7,11.2
1997/3/30,10.3,14.0,7.8
1997/3/31,8.7,13.1,3.4
