ダウンロードした時刻：2019/10/10 16:19:41

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,10.5,15.7,6.5
1980/12/2,10.8,16.9,7.4
1980/12/3,7.9,12.5,4.3
1980/12/4,5.1,7.0,3.4
1980/12/5,4.9,9.4,0.7
1980/12/6,8.0,13.3,0.7
1980/12/7,7.2,11.7,1.8
1980/12/8,5.6,10.2,1.4
1980/12/9,4.0,7.5,1.0
1980/12/10,7.2,11.9,1.4
1980/12/11,11.6,15.7,6.3
1980/12/12,4.2,11.3,0.4
1980/12/13,1.2,2.8,-0.2
1980/12/14,4.4,6.1,2.2
1980/12/15,2.3,6.9,-1.8
1980/12/16,3.5,7.7,-1.3
1980/12/17,4.1,9.2,0.3
1980/12/18,7.1,9.7,0.9
1980/12/19,5.1,7.4,2.6
1980/12/20,2.9,6.0,-1.2
1980/12/21,2.2,8.4,-2.8
1980/12/22,3.7,9.1,-2.5
1980/12/23,4.9,7.7,3.3
1980/12/24,5.5,9.3,2.8
1980/12/25,5.0,7.2,0.6
1980/12/26,2.6,6.1,0.1
1980/12/27,0.6,3.3,-1.2
1980/12/28,0.0,3.1,-1.4
1980/12/29,-0.3,2.0,-2.6
1980/12/30,0.6,4.5,-2.3
1980/12/31,1.0,6.1,-2.6
1981/1/1,3.8,10.4,-2.8
1981/1/2,0.9,2.7,0.0
1981/1/3,0.1,2.6,-2.3
1981/1/4,-0.9,2.5,-3.5
1981/1/5,0.9,4.4,-1.0
1981/1/6,0.8,4.2,-2.7
1981/1/7,2.9,8.2,-1.8
1981/1/8,4.5,10.4,-2.1
1981/1/9,5.6,8.6,2.6
1981/1/10,2.4,5.1,0.0
1981/1/11,1.5,3.5,-1.8
1981/1/12,3.5,6.7,1.2
1981/1/13,2.0,5.1,-0.8
1981/1/14,0.0,6.1,-4.6
1981/1/15,4.2,9.4,-2.2
1981/1/16,1.2,3.1,-0.8
1981/1/17,2.2,6.7,-2.1
1981/1/18,3.0,7.2,-0.8
1981/1/19,2.9,7.6,-1.6
1981/1/20,2.3,7.0,-1.6
1981/1/21,2.4,5.9,-0.2
1981/1/22,-0.3,4.2,-4.1
1981/1/23,2.2,8.4,-5.0
1981/1/24,8.1,13.7,4.6
1981/1/25,3.7,7.1,-0.2
1981/1/26,0.8,4.2,-2.9
1981/1/27,1.6,6.8,-2.2
1981/1/28,2.3,7.5,-3.5
1981/1/29,1.5,6.7,-2.1
1981/1/30,3.1,8.8,-2.9
1981/1/31,4.2,8.9,-1.1
1981/2/1,5.0,7.2,3.0
1981/2/2,5.5,10.8,1.9
1981/2/3,3.3,6.1,-1.1
1981/2/4,1.2,5.5,-2.1
1981/2/5,3.4,10.2,-2.0
1981/2/6,2.6,8.8,-1.1
1981/2/7,4.0,7.5,-1.2
1981/2/8,5.0,9.2,-0.3
1981/2/9,6.6,10.3,2.5
1981/2/10,5.3,8.3,2.6
1981/2/11,5.1,9.4,1.3
1981/2/12,9.4,12.8,1.7
1981/2/13,10.3,11.8,9.0
1981/2/14,8.8,11.8,5.5
1981/2/15,8.8,14.6,4.5
1981/2/16,7.4,12.0,4.4
1981/2/17,5.1,6.4,3.7
1981/2/18,6.6,9.7,2.7
1981/2/19,6.4,10.6,2.3
1981/2/20,6.5,10.1,4.5
1981/2/21,4.0,8.8,0.6
1981/2/22,5.3,9.3,0.1
1981/2/23,7.4,8.4,6.3
1981/2/24,5.4,8.6,1.9
1981/2/25,-1.4,1.9,-3.0
1981/2/26,-4.3,-2.3,-5.5
1981/2/27,-1.9,3.7,-5.8
1981/2/28,2.1,8.3,-4.8
1981/3/1,5.3,6.6,1.7
1981/3/2,7.5,10.6,5.2
1981/3/3,7.5,9.9,5.3
1981/3/4,8.4,12.8,6.7
1981/3/5,8.5,12.6,5.3
1981/3/6,6.1,10.2,0.0
1981/3/7,8.7,13.0,-0.4
1981/3/8,10.7,13.9,7.9
1981/3/9,7.3,11.3,3.2
1981/3/10,4.1,9.4,-0.2
1981/3/11,5.3,10.9,-0.4
1981/3/12,9.0,14.1,2.4
1981/3/13,12.2,13.1,10.2
1981/3/14,12.1,13.8,8.8
1981/3/15,7.5,10.1,5.5
1981/3/16,8.3,13.5,3.1
1981/3/17,11.0,16.7,7.6
1981/3/18,11.2,18.6,4.3
1981/3/19,10.5,14.5,4.9
1981/3/20,12.3,17.0,7.3
1981/3/21,9.6,10.6,7.0
1981/3/22,13.2,21.6,3.7
1981/3/23,10.4,14.8,9.7
1981/3/24,11.6,13.0,10.1
1981/3/25,13.4,17.2,10.9
1981/3/26,7.9,12.9,5.3
1981/3/27,7.0,10.9,2.1
1981/3/28,9.8,14.0,6.2
1981/3/29,11.0,14.0,8.6
1981/3/30,11.0,14.3,9.6
1981/3/31,11.5,14.7,9.1
