ダウンロードした時刻：2017/07/24 15:37:48

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,-0.6,1.7,-4.0
2008/1/2,0.5,3.6,-3.9
2008/1/3,1.7,5.2,-1.4
2008/1/4,1.6,5.1,-1.7
2008/1/5,0.6,4.3,-3.4
2008/1/6,2.3,5.3,0.1
2008/1/7,2.0,7.0,-1.5
2008/1/8,2.1,7.6,-1.8
2008/1/9,2.5,7.6,-0.5
2008/1/10,-0.4,2.8,-3.0
2008/1/11,1.9,6.1,-0.8
2008/1/12,-1.1,1.0,-3.7
2008/1/13,-2.9,-0.3,-5.2
2008/1/14,-1.9,2.0,-6.3
2008/1/15,-0.2,3.6,-2.8
2008/1/16,-1.5,1.5,-2.8
2008/1/17,-2.5,0.5,-4.6
2008/1/18,-2.0,2.4,-4.7
2008/1/19,-2.6,2.2,-6.0
2008/1/20,0.1,3.5,-4.1
2008/1/21,-1.9,0.8,-4.2
2008/1/22,-2.1,1.7,-6.0
2008/1/23,-1.7,1.7,-5.6
2008/1/24,-1.8,0.3,-3.8
2008/1/25,-2.5,-0.2,-4.6
2008/1/26,-3.6,0.0,-6.2
2008/1/27,-1.9,2.7,-7.0
2008/1/28,1.3,5.4,-2.9
2008/1/29,0.0,3.3,-2.4
2008/1/30,0.7,4.2,-2.6
2008/1/31,-0.9,2.5,-3.3
2008/2/1,-1.4,0.8,-3.6
2008/2/2,0.4,4.5,-3.2
2008/2/3,-1.9,0.0,-4.6
2008/2/4,-0.9,2.3,-3.7
2008/2/5,-1.3,2.2,-5.2
2008/2/6,-0.9,4.2,-4.2
2008/2/7,-2.0,1.3,-4.8
2008/2/8,-1.9,1.9,-4.7
2008/2/9,-1.9,3.2,-8.4
2008/2/10,0.8,3.9,-0.8
2008/2/11,1.6,6.9,-2.2
2008/2/12,1.6,7.0,-2.4
2008/2/13,-3.4,-1.8,-5.3
2008/2/14,-1.7,0.6,-3.5
2008/2/15,-1.5,1.5,-4.2
2008/2/16,-2.8,0.6,-5.6
2008/2/17,-2.7,1.6,-6.6
2008/2/18,-2.0,3.1,-5.9
2008/2/19,0.4,5.1,-3.8
2008/2/20,1.5,6.0,-2.6
2008/2/21,-0.9,2.5,-4.3
2008/2/22,-1.2,6.0,-6.8
2008/2/23,-0.5,7.9,-4.3
2008/2/24,-1.5,1.9,-3.7
2008/2/25,-2.0,1.5,-4.9
2008/2/26,-0.8,2.0,-4.4
2008/2/27,-0.9,1.9,-3.3
2008/2/28,-0.1,2.3,-3.5
2008/2/29,5.4,9.2,1.5
2008/3/1,1.4,4.8,-1.4
2008/3/2,2.3,6.7,-1.8
2008/3/3,1.8,5.0,-1.8
2008/3/4,1.6,6.2,-1.9
2008/3/5,0.6,6.1,-4.2
2008/3/6,0.9,3.9,-2.0
2008/3/7,0.4,5.0,-2.8
2008/3/8,2.9,6.9,-0.5
2008/3/9,3.9,10.8,-2.6
2008/3/10,4.1,8.3,-1.3
2008/3/11,7.4,15.7,0.3
2008/3/12,3.5,9.3,-1.1
2008/3/13,4.6,11.8,-2.6
2008/3/14,5.9,9.0,2.4
2008/3/15,7.5,12.3,1.9
2008/3/16,7.0,16.0,0.3
2008/3/17,7.3,12.4,2.9
2008/3/18,6.0,12.9,-0.3
2008/3/19,6.7,13.2,0.1
2008/3/20,6.6,9.8,4.5
2008/3/21,7.6,13.6,3.1
2008/3/22,7.4,16.0,-0.6
2008/3/23,9.4,19.2,0.5
2008/3/24,7.5,10.0,5.7
2008/3/25,9.2,19.4,1.4
2008/3/26,6.8,12.7,4.5
2008/3/27,7.1,12.5,4.0
2008/3/28,3.5,6.4,0.5
2008/3/29,5.1,9.7,2.6
2008/3/30,5.5,10.6,0.7
2008/3/31,3.4,7.3,1.4
2008/4/1,6.3,10.5,0.8
2008/4/2,9.3,14.0,6.3
2008/4/3,7.2,11.7,4.5
2008/4/4,9.1,13.6,3.4
2008/4/5,9.2,14.8,3.6
2008/4/6,8.8,16.5,1.7
2008/4/7,9.9,18.6,1.3
2008/4/8,10.1,11.7,8.4
2008/4/9,10.5,14.5,7.8
2008/4/10,9.6,11.5,7.7
2008/4/11,9.4,12.9,6.3
2008/4/12,8.9,12.9,5.4
2008/4/13,7.5,13.0,3.3
2008/4/14,9.0,14.8,5.0
2008/4/15,10.0,17.8,3.4
2008/4/16,14.2,24.0,4.4
2008/4/17,14.1,18.9,9.6
2008/4/18,11.7,13.4,10.1
2008/4/19,10.8,12.1,9.6
2008/4/20,14.7,21.9,9.3
2008/4/21,14.5,18.9,8.9
2008/4/22,15.4,23.1,7.7
2008/4/23,15.6,25.4,7.4
2008/4/24,12.0,15.0,9.2
2008/4/25,9.9,13.8,5.4
2008/4/26,8.6,15.5,2.5
2008/4/27,11.4,16.8,7.2
2008/4/28,10.1,15.1,4.4
2008/4/29,12.8,22.9,1.7
2008/4/30,17.5,26.8,7.7
2008/5/1,19.6,28.1,10.6
