ダウンロードした時刻：2017/07/24 15:42:45

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,9.1,9.9,8.2
1990/1/2,10.8,12.0,8.9
1990/1/3,9.3,11.1,6.3
1990/1/4,6.8,10.1,2.8
1990/1/5,9.6,11.8,2.5
1990/1/6,12.0,15.8,10.4
1990/1/7,9.3,10.6,5.7
1990/1/8,8.2,11.1,5.9
1990/1/9,12.0,15.7,6.4
1990/1/10,15.6,18.8,9.0
1990/1/11,13.6,16.1,12.0
1990/1/12,14.1,15.8,11.9
1990/1/13,11.0,13.4,6.9
1990/1/14,8.6,10.4,5.4
1990/1/15,9.1,10.2,8.0
1990/1/16,7.1,8.8,6.0
1990/1/17,6.9,9.1,3.9
1990/1/18,12.4,15.8,5.2
1990/1/19,15.9,18.3,13.3
1990/1/20,9.4,13.5,7.9
1990/1/21,7.3,9.5,3.2
1990/1/22,10.5,12.7,8.8
1990/1/23,7.9,11.0,5.5
1990/1/24,5.8,7.5,4.8
1990/1/25,5.1,6.2,3.7
1990/1/26,5.7,6.4,4.6
1990/1/27,6.5,7.8,5.2
1990/1/28,7.7,9.4,6.0
1990/1/29,12.5,16.5,7.7
1990/1/30,12.9,14.9,10.6
1990/1/31,8.2,10.8,6.9
1990/2/1,6.4,8.6,5.4
1990/2/2,6.8,8.5,3.5
1990/2/3,9.7,13.1,3.1
1990/2/4,10.1,12.3,9.1
1990/2/5,8.5,9.6,7.4
1990/2/6,10.4,11.7,9.1
1990/2/7,10.4,11.6,9.4
1990/2/8,10.9,12.0,9.9
1990/2/9,9.4,11.9,8.6
1990/2/10,12.0,14.7,9.1
1990/2/11,16.2,18.0,13.7
1990/2/12,12.3,14.9,10.4
1990/2/13,9.8,11.7,4.9
1990/2/14,9.1,11.8,7.3
1990/2/15,8.8,9.9,7.4
1990/2/16,10.0,11.3,8.5
1990/2/17,9.0,11.8,4.7
1990/2/18,11.7,14.8,7.6
1990/2/19,13.4,15.6,10.4
1990/2/20,15.8,17.9,14.1
1990/2/21,13.7,15.8,10.4
1990/2/22,14.8,20.3,12.1
1990/2/23,15.3,18.4,12.0
1990/2/24,16.4,18.3,13.4
1990/2/25,16.2,18.9,14.3
1990/2/26,14.0,14.9,12.1
1990/2/27,11.3,12.3,10.1
1990/2/28,11.6,12.5,10.9
1990/3/1,13.9,15.1,11.7
1990/3/2,12.3,15.7,11.1
1990/3/3,12.8,14.7,10.8
1990/3/4,11.6,13.9,9.8
1990/3/5,12.1,14.5,8.9
1990/3/6,11.9,13.6,9.0
1990/3/7,12.2,14.2,9.8
1990/3/8,8.5,11.2,3.8
1990/3/9,10.6,14.6,3.6
1990/3/10,12.2,14.5,8.4
1990/3/11,14.5,16.6,10.0
1990/3/12,14.3,18.7,9.0
1990/3/13,10.4,13.0,7.4
1990/3/14,11.9,17.1,4.9
1990/3/15,15.4,17.2,12.3
1990/3/16,12.7,15.6,8.1
1990/3/17,12.2,14.3,10.9
1990/3/18,13.0,16.5,11.0
1990/3/19,12.3,14.8,8.8
1990/3/20,14.9,16.2,13.4
1990/3/21,13.3,15.6,10.4
1990/3/22,14.7,17.6,11.4
1990/3/23,16.6,19.1,14.5
1990/3/24,17.8,19.3,16.4
1990/3/25,12.4,16.4,10.8
1990/3/26,9.8,11.1,8.5
1990/3/27,11.3,15.3,9.2
1990/3/28,13.3,16.0,10.1
1990/3/29,13.3,16.2,10.7
1990/3/30,13.0,14.3,11.6
1990/3/31,15.6,17.9,13.4
1990/4/1,16.6,19.5,14.7
1990/4/2,14.5,17.5,11.2
1990/4/3,14.8,21.0,9.4
1990/4/4,16.5,18.8,13.2
1990/4/5,13.0,16.8,10.7
1990/4/6,14.0,15.7,10.5
1990/4/7,16.3,19.2,12.3
1990/4/8,15.9,17.9,13.9
1990/4/9,16.1,17.4,14.3
1990/4/10,15.6,19.8,10.9
1990/4/11,16.4,20.9,10.7
1990/4/12,15.5,19.2,12.5
1990/4/13,17.2,19.8,12.6
1990/4/14,18.8,22.0,17.3
1990/4/15,16.2,17.7,12.6
1990/4/16,13.0,16.2,10.4
1990/4/17,13.3,14.6,11.2
1990/4/18,12.7,14.4,9.6
1990/4/19,11.8,13.7,10.4
1990/4/20,13.1,15.1,11.6
1990/4/21,16.2,20.8,13.0
1990/4/22,18.0,20.0,16.0
1990/4/23,19.0,21.8,15.8
1990/4/24,16.3,17.5,14.8
1990/4/25,15.9,18.9,14.1
1990/4/26,16.7,19.6,14.7
1990/4/27,17.2,20.5,14.2
1990/4/28,17.4,20.7,13.0
1990/4/29,17.2,20.2,14.4
1990/4/30,15.2,18.8,10.5
1990/5/1,15.5,18.5,11.2
