ダウンロードした時刻：2019/10/10 16:25:02

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,17.0,21.9,13.7
1994/12/2,15.6,19.9,12.9
1994/12/3,11.2,13.0,9.3
1994/12/4,9.3,12.9,7.5
1994/12/5,11.8,18.2,6.7
1994/12/6,10.1,16.8,4.3
1994/12/7,12.7,18.8,6.2
1994/12/8,15.0,18.8,10.1
1994/12/9,18.5,21.9,15.5
1994/12/10,16.2,18.8,13.9
1994/12/11,17.3,20.6,14.9
1994/12/12,16.9,20.2,14.1
1994/12/13,13.3,15.4,9.7
1994/12/14,9.8,13.6,6.6
1994/12/15,9.2,10.9,7.3
1994/12/16,7.1,10.2,2.7
1994/12/17,7.0,12.7,1.9
1994/12/18,8.1,13.7,4.6
1994/12/19,8.2,12.7,3.3
1994/12/20,11.2,14.2,7.6
1994/12/21,8.7,10.5,5.7
1994/12/22,7.9,13.7,2.9
1994/12/23,9.7,17.0,2.5
1994/12/24,13.0,16.8,8.1
1994/12/25,15.7,19.3,12.6
1994/12/26,14.6,15.9,13.5
1994/12/27,12.6,17.2,9.2
1994/12/28,10.4,15.1,6.1
1994/12/29,9.0,14.0,3.9
1994/12/30,12.1,13.7,8.7
1994/12/31,10.8,14.3,6.3
1995/1/1,7.5,12.8,2.3
1995/1/2,8.1,13.5,2.4
1995/1/3,12.6,18.6,7.0
1995/1/4,11.9,17.1,8.7
1995/1/5,7.5,10.3,5.6
1995/1/6,8.0,10.6,6.3
1995/1/7,10.3,14.7,6.4
1995/1/8,11.5,18.2,6.3
1995/1/9,12.9,18.1,8.8
1995/1/10,8.6,11.0,6.6
1995/1/11,6.8,9.8,4.6
1995/1/12,6.9,10.4,4.1
1995/1/13,5.5,8.1,3.8
1995/1/14,4.5,6.7,1.8
1995/1/15,5.1,10.7,0.0
1995/1/16,7.2,11.0,4.3
1995/1/17,6.6,11.3,2.3
1995/1/18,7.0,13.2,0.2
1995/1/19,9.0,12.0,6.1
1995/1/20,8.6,12.5,4.5
1995/1/21,10.4,15.8,2.4
1995/1/22,16.2,21.1,13.0
1995/1/23,12.3,15.3,9.2
1995/1/24,7.8,10.1,5.9
1995/1/25,6.5,10.7,2.9
1995/1/26,6.8,13.7,1.0
1995/1/27,6.8,10.4,2.9
1995/1/28,5.2,9.9,-0.2
1995/1/29,5.3,10.4,2.3
1995/1/30,4.4,9.5,1.0
1995/1/31,3.4,8.9,-1.8
1995/2/1,4.8,9.5,1.5
1995/2/2,6.0,12.4,0.9
1995/2/3,7.1,12.2,1.3
1995/2/4,7.7,12.7,4.1
1995/2/5,5.0,8.6,3.1
1995/2/6,5.5,10.2,2.6
1995/2/7,7.6,13.5,1.4
1995/2/8,10.6,16.9,5.0
1995/2/9,11.1,15.1,8.5
1995/2/10,9.1,15.2,3.9
1995/2/11,9.9,15.0,4.3
1995/2/12,13.3,16.7,9.2
1995/2/13,13.6,16.9,11.5
1995/2/14,11.3,16.3,7.8
1995/2/15,8.2,12.3,6.6
1995/2/16,7.8,11.8,5.5
1995/2/17,7.9,13.4,3.2
1995/2/18,8.0,11.4,4.6
1995/2/19,9.7,11.4,6.7
1995/2/20,10.2,15.6,5.2
1995/2/21,9.6,14.7,6.0
1995/2/22,9.4,11.9,6.8
1995/2/23,9.7,11.8,7.8
1995/2/24,11.5,16.8,8.1
1995/2/25,11.0,15.5,7.2
1995/2/26,9.5,13.4,7.5
1995/2/27,9.2,14.9,4.6
1995/2/28,8.0,13.6,2.2
1995/3/1,10.2,14.9,7.0
1995/3/2,9.7,16.1,3.2
1995/3/3,7.9,9.9,5.9
1995/3/4,6.3,10.4,2.7
1995/3/5,6.1,11.5,1.2
1995/3/6,9.2,15.6,2.0
1995/3/7,11.6,18.1,6.4
1995/3/8,12.0,19.2,4.3
1995/3/9,13.6,16.8,9.3
1995/3/10,12.9,15.6,10.2
1995/3/11,12.1,16.0,9.8
1995/3/12,10.8,14.6,7.8
1995/3/13,10.9,16.6,6.4
1995/3/14,11.3,15.9,5.9
1995/3/15,13.2,16.9,7.3
1995/3/16,15.2,18.0,13.6
1995/3/17,11.8,14.5,8.1
1995/3/18,8.1,12.3,5.0
1995/3/19,7.9,14.1,3.2
1995/3/20,9.5,16.5,1.6
1995/3/21,11.4,14.1,6.3
1995/3/22,15.6,20.9,9.5
1995/3/23,17.2,21.6,14.1
1995/3/24,16.7,18.9,15.2
1995/3/25,13.7,15.6,9.7
1995/3/26,11.6,16.9,8.3
1995/3/27,11.2,16.9,5.6
1995/3/28,13.2,18.9,8.3
1995/3/29,13.8,15.3,11.9
1995/3/30,16.2,21.1,13.6
1995/3/31,15.6,20.6,12.5
