ダウンロードした時刻：2019/10/10 16:07:16

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,10.3,17.3,5.6
1980/12/2,11.3,16.8,3.9
1980/12/3,11.9,15.9,8.0
1980/12/4,7.2,11.3,3.8
1980/12/5,6.2,11.5,2.5
1980/12/6,5.4,11.4,0.2
1980/12/7,7.4,13.1,1.8
1980/12/8,6.3,12.4,2.1
1980/12/9,6.0,11.0,1.0
1980/12/10,5.5,11.4,1.8
1980/12/11,6.5,12.9,-0.3
1980/12/12,6.6,9.6,2.0
1980/12/13,2.4,5.6,0.0
1980/12/14,3.4,7.4,-1.3
1980/12/15,3.2,7.1,0.7
1980/12/16,4.2,9.6,-0.7
1980/12/17,7.0,11.4,4.4
1980/12/18,6.6,11.0,1.9
1980/12/19,6.4,9.8,4.0
1980/12/20,4.0,8.2,1.8
1980/12/21,3.2,6.8,0.5
1980/12/22,2.9,8.1,-1.5
1980/12/23,2.9,5.1,0.4
1980/12/24,4.3,6.5,1.6
1980/12/25,6.2,9.8,3.2
1980/12/26,4.6,9.9,0.7
1980/12/27,1.4,5.9,-1.2
1980/12/28,0.0,4.7,-2.7
1980/12/29,0.3,4.6,-3.1
1980/12/30,2.5,6.5,-1.1
1980/12/31,2.7,7.3,-1.4
1981/1/1,3.3,8.9,-2.2
1981/1/2,4.2,6.9,1.1
1981/1/3,1.8,5.7,-0.4
1981/1/4,1.5,6.6,-1.9
1981/1/5,1.3,6.3,-3.3
1981/1/6,1.7,6.3,-3.0
1981/1/7,2.5,6.0,-0.8
1981/1/8,3.9,9.6,-0.2
1981/1/9,3.5,10.0,-2.3
1981/1/10,4.1,8.8,0.6
1981/1/11,1.0,5.2,-1.6
1981/1/12,1.3,5.3,-2.4
1981/1/13,1.2,5.5,-1.8
1981/1/14,1.3,5.3,-1.8
1981/1/15,2.4,5.5,0.5
1981/1/16,1.8,5.5,-0.4
1981/1/17,1.4,6.1,-1.9
1981/1/18,1.9,6.0,-3.4
1981/1/19,3.1,6.6,-0.4
1981/1/20,2.6,7.4,-0.2
1981/1/21,2.3,8.3,-1.4
1981/1/22,1.2,4.6,-1.1
1981/1/23,1.6,5.9,-2.0
1981/1/24,2.7,4.3,-0.3
1981/1/25,5.8,8.9,3.8
1981/1/26,2.3,4.0,-0.4
1981/1/27,1.2,5.2,-1.6
1981/1/28,1.8,6.4,-0.6
1981/1/29,2.5,8.6,-3.1
1981/1/30,2.5,6.6,-0.6
1981/1/31,3.2,8.3,-2.9
1981/2/1,2.7,4.8,0.6
1981/2/2,2.8,6.1,-0.3
1981/2/3,2.6,7.5,-1.4
1981/2/4,1.1,4.9,-0.9
1981/2/5,2.2,6.1,-0.5
1981/2/6,2.9,8.6,-1.6
1981/2/7,4.4,10.1,-0.4
1981/2/8,5.2,10.1,0.5
1981/2/9,4.7,10.0,-0.5
1981/2/10,4.5,9.5,0.5
1981/2/11,2.6,6.6,-0.5
1981/2/12,4.3,8.7,-2.7
1981/2/13,7.2,9.1,5.5
1981/2/14,8.3,11.9,4.6
1981/2/15,9.6,16.1,0.9
1981/2/16,10.5,14.0,6.8
1981/2/17,4.0,6.8,1.4
1981/2/18,5.8,12.3,-0.7
1981/2/19,6.2,8.9,3.2
1981/2/20,3.5,7.5,0.8
1981/2/21,3.2,6.9,0.2
1981/2/22,3.1,7.8,-1.3
1981/2/23,4.9,7.8,1.3
1981/2/24,5.6,9.7,2.5
1981/2/25,1.9,6.8,-1.7
1981/2/26,-3.4,0.3,-6.0
1981/2/27,-1.8,3.2,-6.7
1981/2/28,0.5,6.1,-5.2
1981/3/1,0.7,3.1,-1.1
1981/3/2,4.0,9.8,0.5
1981/3/3,5.2,11.0,-1.3
1981/3/4,7.8,12.7,4.8
1981/3/5,5.3,10.3,1.4
1981/3/6,3.8,9.4,-1.1
1981/3/7,5.0,10.7,-1.5
1981/3/8,7.2,13.7,1.5
1981/3/9,7.2,9.9,5.7
1981/3/10,4.5,8.3,2.0
1981/3/11,4.3,10.0,0.3
1981/3/12,8.3,16.4,-0.5
1981/3/13,11.4,14.9,7.8
1981/3/14,14.1,16.7,11.5
1981/3/15,10.0,14.6,3.2
1981/3/16,5.1,9.0,1.9
1981/3/17,7.2,13.9,1.2
1981/3/18,9.1,17.6,1.8
1981/3/19,12.4,19.5,3.5
1981/3/20,14.8,21.0,10.5
1981/3/21,11.2,13.8,9.9
1981/3/22,12.8,18.9,9.1
1981/3/23,9.7,14.6,4.5
1981/3/24,11.1,18.3,2.1
1981/3/25,14.4,16.1,11.5
1981/3/26,11.0,16.3,5.9
1981/3/27,6.7,11.9,4.0
1981/3/28,7.2,12.0,2.4
1981/3/29,9.9,16.1,3.8
1981/3/30,9.1,13.9,5.3
1981/3/31,6.9,8.4,5.5
