É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:22

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1992/12/1,7.7,9.3,5.3
1992/12/2,9.2,15.9,5.6
1992/12/3,7.7,10.0,5.3
1992/12/4,7.1,15.5,1.7
1992/12/5,5.3,11.4,0.1
1992/12/6,5.9,10.8,0.1
1992/12/7,8.1,10.5,6.4
1992/12/8,14.1,20.5,8.4
1992/12/9,8.5,13.0,3.8
1992/12/10,9.5,15.7,4.0
1992/12/11,8.3,12.1,3.5
1992/12/12,4.6,11.2,-0.4
1992/12/13,4.7,12.4,-1.3
1992/12/14,7.8,11.1,1.6
1992/12/15,3.3,8.8,-1.6
1992/12/16,2.0,8.9,-3.2
1992/12/17,2.9,10.0,-2.7
1992/12/18,4.2,10.3,-1.6
1992/12/19,4.2,8.7,-0.7
1992/12/20,3.9,9.9,-2.3
1992/12/21,7.2,12.9,1.0
1992/12/22,8.6,16.5,4.1
1992/12/23,5.9,12.0,0.5
1992/12/24,2.8,8.1,-1.9
1992/12/25,2.0,8.3,-3.2
1992/12/26,1.0,8.5,-4.9
1992/12/27,2.3,9.8,-4.0
1992/12/28,4.2,8.9,1.1
1992/12/29,7.4,16.3,2.3
1992/12/30,4.4,11.1,-1.7
1992/12/31,4.5,12.1,-0.7
1993/1/1,2.3,9.3,-3.3
1993/1/2,3.8,11.1,-1.1
1993/1/3,3.9,12.6,-2.6
1993/1/4,4.9,10.0,-0.6
1993/1/5,3.9,9.6,-1.3
1993/1/6,1.8,7.2,-3.9
1993/1/7,3.8,7.0,1.3
1993/1/8,7.7,13.0,3.0
1993/1/9,4.2,6.5,1.3
1993/1/10,6.1,7.9,4.2
1993/1/11,5.4,6.6,3.6
1993/1/12,4.5,10.8,0.4
1993/1/13,4.6,10.8,-2.2
1993/1/14,5.7,6.9,4.9
1993/1/15,5.2,6.2,3.1
1993/1/16,3.5,5.7,0.6
1993/1/17,5.7,10.7,0.2
1993/1/18,0.9,3.1,-1.0
1993/1/19,3.3,9.1,-0.6
1993/1/20,2.4,10.0,-3.5
1993/1/21,3.5,8.3,-0.9
1993/1/22,1.5,8.3,-4.7
1993/1/23,3.6,9.4,-1.8
1993/1/24,3.7,5.5,1.2
1993/1/25,4.0,4.8,2.8
1993/1/26,6.7,12.3,3.0
1993/1/27,6.4,10.9,2.7
1993/1/28,3.4,6.4,1.6
1993/1/29,4.5,9.3,-0.6
1993/1/30,3.6,11.3,-3.4
1993/1/31,5.1,13.2,-1.8
1993/2/1,3.4,7.8,1.0
1993/2/2,1.9,6.4,-2.6
1993/2/3,1.2,9.1,-5.5
1993/2/4,4.8,14.4,-3.4
1993/2/5,3.8,11.0,-1.8
1993/2/6,6.0,17.1,-2.2
1993/2/7,9.8,17.4,3.5
1993/2/8,5.1,8.7,-1.2
1993/2/9,1.9,7.0,-3.1
1993/2/10,3.2,11.5,-3.8
1993/2/11,3.7,10.5,-1.6
1993/2/12,4.4,11.8,-2.0
1993/2/13,6.2,13.0,-0.6
1993/2/14,4.8,8.9,-1.1
1993/2/15,3.4,12.6,-4.9
1993/2/16,5.9,12.8,-2.2
1993/2/17,8.7,13.6,5.1
1993/2/18,11.0,16.5,5.5
1993/2/19,5.9,11.8,0.9
1993/2/20,5.3,12.1,-2.2
1993/2/21,6.1,10.6,3.8
1993/2/22,10.8,18.8,5.7
1993/2/23,6.6,10.7,3.6
1993/2/24,4.4,8.9,0.5
1993/2/25,3.9,10.1,-2.9
1993/2/26,4.4,11.6,-2.9
1993/2/27,7.1,13.8,0.1
1993/2/28,8.3,14.0,3.0
1993/3/1,7.5,14.2,2.1
1993/3/2,4.4,8.8,0.3
1993/3/3,4.6,13.4,-3.6
1993/3/4,6.1,13.7,0.3
1993/3/5,6.7,15.6,-0.9
1993/3/6,9.7,19.0,1.1
1993/3/7,10.9,18.3,5.1
1993/3/8,7.3,11.6,4.3
1993/3/9,6.9,13.8,0.4
1993/3/10,7.8,13.9,2.6
1993/3/11,7.2,13.8,1.0
1993/3/12,4.7,6.8,2.2
1993/3/13,5.0,10.0,1.3
1993/3/14,6.6,15.1,-2.2
1993/3/15,4.7,5.9,2.7
1993/3/16,4.7,9.1,0.6
1993/3/17,4.3,12.0,-2.8
1993/3/18,5.7,14.1,-1.5
1993/3/19,6.1,13.2,1.5
1993/3/20,4.9,10.2,1.5
1993/3/21,6.4,14.0,-0.4
1993/3/22,8.8,17.4,0.8
1993/3/23,9.6,17.9,1.9
1993/3/24,9.1,14.4,4.4
1993/3/25,13.2,19.8,8.7
1993/3/26,11.5,17.3,6.7
1993/3/27,12.9,21.0,5.8
1993/3/28,9.8,13.8,7.8
1993/3/29,6.5,11.0,1.9
1993/3/30,6.4,14.1,-1.5
1993/3/31,9.9,13.4,6.2
