É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:47:44

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2003/12/1,12.2,14.8,11.0
2003/12/2,12.2,18.5,6.7
2003/12/3,7.9,13.4,4.0
2003/12/4,6.5,12.9,2.2
2003/12/5,5.4,9.3,-0.4
2003/12/6,7.2,9.6,5.5
2003/12/7,7.7,15.7,2.5
2003/12/8,4.6,11.1,-0.2
2003/12/9,5.0,11.2,0.6
2003/12/10,4.2,9.7,-1.3
2003/12/11,3.4,6.5,-0.2
2003/12/12,7.4,10.8,4.3
2003/12/13,6.0,12.7,0.4
2003/12/14,5.9,12.4,-0.9
2003/12/15,6.1,12.6,0.3
2003/12/16,4.8,11.9,0.3
2003/12/17,2.9,6.4,-1.1
2003/12/18,5.0,11.1,-1.2
2003/12/19,4.6,10.1,1.7
2003/12/20,1.2,5.4,-0.3
2003/12/21,2.8,8.5,-1.4
2003/12/22,3.0,10.3,-2.9
2003/12/23,5.3,13.1,-1.0
2003/12/24,6.1,13.6,-0.2
2003/12/25,5.6,13.0,0.1
2003/12/26,5.5,11.8,0.0
2003/12/27,1.3,6.1,-2.1
2003/12/28,1.1,7.7,-4.2
2003/12/29,2.4,8.3,-3.3
2003/12/30,4.4,11.4,-1.2
2003/12/31,4.3,9.1,0.7
2004/1/1,5.1,11.6,-1.2
2004/1/2,5.8,12.8,-0.4
2004/1/3,6.1,12.3,0.0
2004/1/4,4.2,10.5,-1.1
2004/1/5,3.7,8.3,-1.4
2004/1/6,3.2,9.4,-1.1
2004/1/7,1.8,6.5,-2.6
2004/1/8,2.3,7.0,-2.0
2004/1/9,1.4,7.9,-4.7
2004/1/10,1.7,8.0,-4.3
2004/1/11,2.6,8.3,-2.1
2004/1/12,2.0,6.5,-3.5
2004/1/13,4.1,10.0,1.1
2004/1/14,1.1,4.7,-2.7
2004/1/15,0.4,7.0,-5.3
2004/1/16,0.3,5.9,-5.3
2004/1/17,1.4,4.2,-1.8
2004/1/18,3.2,8.4,-2.6
2004/1/19,2.6,6.2,0.3
2004/1/20,4.0,10.3,-2.0
2004/1/21,5.4,9.5,1.9
2004/1/22,2.2,8.1,-1.5
2004/1/23,1.8,7.9,-2.9
2004/1/24,1.6,7.0,-4.0
2004/1/25,1.5,8.8,-3.9
2004/1/26,1.7,8.8,-4.8
2004/1/27,1.3,6.9,-2.5
2004/1/28,3.0,10.9,-5.0
2004/1/29,4.5,11.5,-1.8
2004/1/30,4.4,9.1,-0.1
2004/1/31,3.5,10.2,-1.6
2004/2/1,3.3,9.9,-3.8
2004/2/2,3.8,5.2,1.5
2004/2/3,3.2,7.5,0.4
2004/2/4,2.5,8.9,-1.9
2004/2/5,2.7,8.5,-1.5
2004/2/6,1.8,8.5,-4.1
2004/2/7,1.5,8.0,-2.7
2004/2/8,2.0,9.2,-4.8
2004/2/9,3.0,10.3,-2.0
2004/2/10,1.0,7.1,-4.4
2004/2/11,2.0,7.8,-4.1
2004/2/12,4.5,12.3,-2.3
2004/2/13,4.4,11.0,-1.8
2004/2/14,8.0,13.1,4.4
2004/2/15,5.8,11.2,1.2
2004/2/16,5.0,11.8,-1.3
2004/2/17,5.4,12.6,-1.2
2004/2/18,5.0,12.0,-0.5
2004/2/19,5.6,13.3,-1.9
2004/2/20,6.0,13.3,1.9
2004/2/21,8.7,16.4,1.8
2004/2/22,13.0,21.2,3.4
2004/2/23,9.2,16.2,1.8
2004/2/24,5.5,11.9,-1.0
2004/2/25,7.6,15.4,-0.1
2004/2/26,7.9,18.9,0.9
2004/2/27,4.0,10.3,-1.5
2004/2/28,5.1,12.6,-1.3
2004/2/29,8.6,15.5,3.2
2004/3/1,4.0,7.0,0.6
2004/3/2,3.1,8.0,-0.9
2004/3/3,2.6,8.2,-1.9
2004/3/4,3.1,9.4,-0.8
2004/3/5,3.8,11.6,-4.1
2004/3/6,4.1,12.0,0.3
2004/3/7,1.9,8.3,-3.8
2004/3/8,2.7,10.5,-4.4
2004/3/9,6.1,14.3,-1.6
2004/3/10,9.5,16.8,1.0
2004/3/11,12.9,24.4,5.8
2004/3/12,7.9,11.1,4.4
2004/3/13,7.2,16.7,0.1
2004/3/14,7.9,15.1,0.6
2004/3/15,9.5,16.1,4.6
2004/3/16,10.4,16.4,5.2
2004/3/17,14.1,23.4,4.9
2004/3/18,7.9,13.8,3.0
2004/3/19,5.0,10.7,1.6
2004/3/20,2.8,5.7,0.8
2004/3/21,5.8,13.8,-1.0
2004/3/22,4.0,8.0,1.9
2004/3/23,5.4,7.6,2.8
2004/3/24,7.2,11.1,4.5
2004/3/25,9.3,12.5,5.4
2004/3/26,8.4,14.3,3.5
2004/3/27,8.3,15.4,0.4
2004/3/28,10.0,17.5,1.1
2004/3/29,13.1,21.7,3.3
2004/3/30,14.2,20.2,9.4
2004/3/31,14.5,21.3,7.6
