ダウンロードした時刻：2019/10/10 16:00:10

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,10.7,12.6,7.9
2002/12/2,10.2,16.8,5.8
2002/12/3,9.7,15.6,4.0
2002/12/4,11.7,15.1,10.1
2002/12/5,12.8,19.4,8.4
2002/12/6,11.2,16.3,6.0
2002/12/7,9.5,12.4,6.1
2002/12/8,9.4,11.2,7.4
2002/12/9,8.2,12.3,3.6
2002/12/10,6.4,9.5,3.5
2002/12/11,5.2,9.3,2.6
2002/12/12,6.6,12.5,2.1
2002/12/13,5.8,10.1,1.5
2002/12/14,4.5,10.5,-0.2
2002/12/15,6.0,13.5,0.7
2002/12/16,9.7,15.0,2.7
2002/12/17,11.0,15.1,4.5
2002/12/18,7.8,12.0,4.1
2002/12/19,8.7,10.8,7.1
2002/12/20,8.5,15.3,3.8
2002/12/21,9.4,11.3,7.4
2002/12/22,10.2,14.4,7.1
2002/12/23,8.9,14.1,3.9
2002/12/24,9.7,14.2,6.2
2002/12/25,9.4,17.1,3.9
2002/12/26,6.0,9.0,3.8
2002/12/27,5.1,9.1,0.1
2002/12/28,3.5,10.2,-1.6
2002/12/29,6.0,12.4,0.9
2002/12/30,5.1,11.8,0.4
2002/12/31,6.8,13.1,1.5
2003/1/1,8.3,12.6,3.6
2003/1/2,5.0,8.3,0.2
2003/1/3,4.9,8.3,0.9
2003/1/4,6.3,9.3,1.7
2003/1/5,2.3,5.1,0.9
2003/1/6,2.3,7.6,-1.6
2003/1/7,3.1,9.4,-1.4
2003/1/8,3.7,11.0,-1.2
2003/1/9,6.2,11.9,0.7
2003/1/10,7.1,13.1,1.2
2003/1/11,6.5,12.6,2.4
2003/1/12,6.5,13.7,1.2
2003/1/13,6.9,13.2,1.2
2003/1/14,8.6,16.3,2.8
2003/1/15,3.4,7.2,-1.3
2003/1/16,2.6,8.5,-2.6
2003/1/17,6.4,14.0,0.6
2003/1/18,7.6,14.7,2.9
2003/1/19,5.2,8.3,2.3
2003/1/20,6.6,13.8,1.8
2003/1/21,5.9,10.2,1.8
2003/1/22,5.1,10.0,-0.4
2003/1/23,8.0,12.8,5.3
2003/1/24,6.3,9.6,3.0
2003/1/25,4.6,9.8,0.3
2003/1/26,5.6,10.1,0.4
2003/1/27,10.8,17.9,6.5
2003/1/28,6.9,12.7,2.1
2003/1/29,1.4,6.0,-1.8
2003/1/30,2.2,7.6,-2.2
2003/1/31,3.5,10.1,-1.9
2003/2/1,4.3,10.2,-0.4
2003/2/2,3.3,9.2,-0.9
2003/2/3,3.9,9.8,-1.7
2003/2/4,3.5,9.7,-1.5
2003/2/5,5.3,12.0,-0.3
2003/2/6,5.2,9.7,0.4
2003/2/7,5.9,13.0,-0.5
2003/2/8,8.7,12.8,3.8
2003/2/9,12.3,19.2,6.8
2003/2/10,11.0,16.0,6.2
2003/2/11,11.1,15.6,6.8
2003/2/12,7.8,12.9,3.4
2003/2/13,6.5,12.4,1.5
2003/2/14,6.1,12.6,0.6
2003/2/15,7.3,13.3,0.7
2003/2/16,7.9,13.0,4.0
2003/2/17,7.0,14.3,1.0
2003/2/18,6.3,11.0,2.6
2003/2/19,6.4,11.1,1.8
2003/2/20,6.1,11.5,1.9
2003/2/21,6.7,13.7,-0.5
2003/2/22,8.7,13.1,6.4
2003/2/23,10.5,17.0,5.9
2003/2/24,8.0,12.4,3.9
2003/2/25,6.6,12.8,1.2
2003/2/26,8.1,12.9,2.6
2003/2/27,8.7,12.7,1.9
2003/2/28,6.8,12.9,-0.7
2003/3/1,9.6,13.7,7.7
2003/3/2,11.5,16.1,5.9
2003/3/3,11.3,18.8,5.1
2003/3/4,4.6,8.1,1.0
2003/3/5,4.7,9.6,0.3
2003/3/6,7.7,13.1,1.7
2003/3/7,13.6,18.9,9.6
2003/3/8,7.9,10.0,4.6
2003/3/9,5.6,10.5,0.5
2003/3/10,5.1,12.3,-1.3
2003/3/11,5.1,11.0,-0.6
2003/3/12,5.6,12.8,-0.5
2003/3/13,7.0,13.5,0.5
2003/3/14,7.7,14.0,1.8
2003/3/15,7.6,9.2,6.2
2003/3/16,8.4,10.1,6.6
2003/3/17,11.1,16.6,6.6
2003/3/18,9.3,15.6,3.3
2003/3/19,6.9,12.3,1.1
2003/3/20,7.6,14.3,1.2
2003/3/21,7.3,13.8,0.5
2003/3/22,7.3,8.4,6.3
2003/3/23,10.3,14.8,4.5
2003/3/24,12.2,16.9,7.5
2003/3/25,13.5,18.0,10.5
2003/3/26,13.6,19.4,8.6
2003/3/27,14.9,23.1,7.1
2003/3/28,13.3,17.8,8.6
2003/3/29,11.4,17.6,5.4
2003/3/30,10.1,17.2,2.7
2003/3/31,13.8,18.9,8.0
