ダウンロードした時刻：2017/07/24 15:36:53

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,0.3,2.1,-1.8
2009/1/2,1.1,4.8,-1.5
2009/1/3,1.0,3.0,0.1
2009/1/4,2.1,5.3,0.4
2009/1/5,1.6,3.8,-0.5
2009/1/6,0.2,1.6,-0.9
2009/1/7,0.4,3.5,-2.6
2009/1/8,-2.1,4.8,-7.2
2009/1/9,-1.4,4.6,-7.2
2009/1/10,0.0,3.3,-3.0
2009/1/11,-2.3,0.7,-4.6
2009/1/12,-1.4,3.5,-7.1
2009/1/13,-1.7,1.6,-8.0
2009/1/14,-0.9,4.0,-7.6
2009/1/15,-2.3,-0.2,-3.9
2009/1/16,-0.3,1.5,-1.8
2009/1/17,-0.8,1.0,-4.4
2009/1/18,-1.9,3.4,-9.8
2009/1/19,2.8,6.0,0.5
2009/1/20,1.5,3.1,-0.2
2009/1/21,0.8,2.5,-1.0
2009/1/22,1.4,5.7,-3.6
2009/1/23,3.5,6.9,0.3
2009/1/24,-2.0,0.3,-3.0
2009/1/25,-0.8,1.2,-3.8
2009/1/26,1.0,3.5,-0.5
2009/1/27,0.0,1.5,-4.5
2009/1/28,-4.4,1.3,-9.8
2009/1/29,-4.1,0.8,-8.2
2009/1/30,-0.6,5.5,-5.0
2009/1/31,0.5,1.6,-0.2
2009/2/1,-0.8,2.4,-4.8
2009/2/2,0.0,2.6,-2.2
2009/2/3,0.9,3.2,-0.9
2009/2/4,0.2,3.3,-3.1
2009/2/5,-1.9,3.7,-7.8
2009/2/6,0.5,3.7,-1.6
2009/2/7,0.0,3.6,-4.0
2009/2/8,1.3,3.3,-1.1
2009/2/9,1.2,5.6,-5.5
2009/2/10,0.1,5.7,-4.2
2009/2/11,1.1,6.4,-4.1
2009/2/12,2.1,6.4,-2.5
2009/2/13,1.1,5.9,-3.2
2009/2/14,5.4,9.6,1.8
2009/2/15,2.5,10.0,-0.8
2009/2/16,-2.8,-0.4,-4.7
2009/2/17,-2.8,-0.7,-4.5
2009/2/18,-2.5,0.2,-4.5
2009/2/19,-3.2,-0.7,-4.8
2009/2/20,-0.5,5.0,-4.1
2009/2/21,-2.7,0.1,-4.4
2009/2/22,-0.5,7.1,-10.0
2009/2/23,0.8,3.4,-2.4
2009/2/24,-0.5,4.0,-6.8
2009/2/25,2.0,4.2,0.3
2009/2/26,1.1,3.9,-4.3
2009/2/27,-1.5,4.3,-6.1
2009/2/28,-0.8,6.0,-6.1
2009/3/1,-0.8,6.2,-8.6
2009/3/2,-1.3,1.0,-3.0
2009/3/3,0.5,4.1,-2.4
2009/3/4,1.6,6.7,-1.2
2009/3/5,2.2,8.3,-1.6
2009/3/6,4.8,6.8,0.3
2009/3/7,2.4,4.4,-0.3
2009/3/8,3.3,8.5,-1.6
2009/3/9,1.6,8.3,-4.5
2009/3/10,2.6,10.2,-1.7
2009/3/11,-1.3,0.8,-2.5
2009/3/12,0.1,4.3,-3.7
2009/3/13,1.7,7.7,-4.8
2009/3/14,2.9,6.5,-0.4
2009/3/15,3.7,8.1,-0.1
2009/3/16,4.6,9.1,2.0
2009/3/17,4.6,9.6,-0.5
2009/3/18,6.2,18.2,-2.8
2009/3/19,7.7,10.7,5.1
2009/3/20,4.7,7.4,1.6
2009/3/21,3.7,8.1,-0.6
2009/3/22,2.3,7.3,-2.2
2009/3/23,3.0,8.3,0.4
2009/3/24,2.4,8.5,-2.4
2009/3/25,0.7,4.0,-1.9
2009/3/26,1.1,4.1,-1.9
2009/3/27,1.0,5.2,-1.1
2009/3/28,-0.5,3.4,-2.2
2009/3/29,0.6,4.9,-2.2
2009/3/30,1.1,7.8,-5.0
2009/3/31,2.9,8.9,-1.6
2009/4/1,2.7,7.2,-2.1
2009/4/2,5.3,9.9,1.0
2009/4/3,8.0,12.5,4.0
2009/4/4,6.9,14.8,-0.2
2009/4/5,8.7,15.1,4.9
2009/4/6,8.3,15.3,1.1
2009/4/7,7.1,15.5,-0.6
2009/4/8,8.1,18.5,-0.8
2009/4/9,11.8,19.9,4.6
2009/4/10,12.2,23.3,1.1
2009/4/11,12.6,21.3,5.9
2009/4/12,12.1,22.0,3.5
2009/4/13,12.5,22.1,5.1
2009/4/14,11.6,18.3,6.1
2009/4/15,9.5,11.5,7.3
2009/4/16,6.5,10.3,3.2
2009/4/17,8.0,14.8,3.4
2009/4/18,10.4,20.5,1.5
2009/4/19,12.5,19.4,8.8
2009/4/20,10.0,15.2,3.7
2009/4/21,13.5,15.7,11.4
2009/4/22,11.9,15.1,8.7
2009/4/23,6.0,9.2,4.2
2009/4/24,8.2,12.8,4.0
2009/4/25,8.9,11.4,7.6
2009/4/26,9.7,12.0,6.1
2009/4/27,6.2,8.5,5.2
2009/4/28,7.1,13.7,1.3
2009/4/29,7.8,17.1,-0.7
2009/4/30,10.7,21.0,2.1
2009/5/1,12.2,22.9,1.9
