ダウンロードした時刻：2019/10/10 16:25:10

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,13.5,15.4,11.6
2000/12/2,16.5,19.7,13.7
2000/12/3,14.6,18.6,10.8
2000/12/4,12.6,18.1,8.8
2000/12/5,11.9,17.7,6.7
2000/12/6,11.5,17.9,6.6
2000/12/7,13.2,18.0,7.2
2000/12/8,14.5,19.9,9.7
2000/12/9,15.9,21.4,8.9
2000/12/10,18.5,23.2,16.3
2000/12/11,10.9,16.4,4.6
2000/12/12,6.2,11.1,2.2
2000/12/13,8.1,10.5,5.8
2000/12/14,8.4,12.6,5.2
2000/12/15,8.8,16.4,3.2
2000/12/16,11.8,18.5,4.7
2000/12/17,14.8,16.9,12.6
2000/12/18,15.3,16.8,14.1
2000/12/19,14.2,18.2,11.8
2000/12/20,12.4,14.8,9.2
2000/12/21,10.7,14.5,6.9
2000/12/22,9.5,16.0,4.1
2000/12/23,11.0,18.8,4.6
2000/12/24,9.8,14.3,6.4
2000/12/25,10.3,14.8,6.0
2000/12/26,7.0,11.5,3.1
2000/12/27,7.3,14.0,2.0
2000/12/28,9.5,15.4,4.5
2000/12/29,9.5,16.5,3.9
2000/12/30,11.1,14.1,6.0
2000/12/31,11.3,14.9,6.4
2001/1/1,7.5,13.4,2.4
2001/1/2,9.6,16.3,4.3
2001/1/3,8.3,12.6,4.7
2001/1/4,6.9,11.9,3.5
2001/1/5,6.1,11.9,1.4
2001/1/6,8.6,13.4,2.7
2001/1/7,14.3,17.1,10.4
2001/1/8,14.1,17.5,10.8
2001/1/9,15.0,18.5,12.0
2001/1/10,10.7,14.5,5.5
2001/1/11,8.0,11.2,3.9
2001/1/12,6.8,11.7,2.8
2001/1/13,6.8,10.5,2.8
2001/1/14,3.0,5.4,0.8
2001/1/15,1.7,3.9,-0.4
2001/1/16,2.5,5.5,0.0
2001/1/17,3.6,8.2,0.3
2001/1/18,5.9,13.1,-0.5
2001/1/19,8.5,13.3,1.3
2001/1/20,13.4,18.3,9.6
2001/1/21,9.9,15.6,5.7
2001/1/22,8.7,12.8,3.9
2001/1/23,10.7,16.5,7.2
2001/1/24,10.9,14.2,7.1
2001/1/25,15.6,19.7,11.7
2001/1/26,13.1,14.1,12.1
2001/1/27,10.5,13.9,7.4
2001/1/28,8.4,14.9,4.5
2001/1/29,5.6,10.4,2.6
2001/1/30,6.9,12.1,2.0
2001/1/31,8.7,13.3,2.2
2001/2/1,10.0,13.4,5.8
2001/2/2,7.0,12.3,4.2
2001/2/3,9.0,13.2,4.5
2001/2/4,10.3,12.1,8.5
2001/2/5,13.9,15.9,11.5
2001/2/6,15.3,20.4,12.7
2001/2/7,12.0,13.6,9.2
2001/2/8,8.1,12.1,4.3
2001/2/9,7.0,12.7,1.1
2001/2/10,8.3,13.4,4.9
2001/2/11,8.8,14.6,2.3
2001/2/12,9.4,12.0,7.5
2001/2/13,8.4,9.3,7.1
2001/2/14,6.3,10.2,2.4
2001/2/15,6.2,13.0,0.9
2001/2/16,6.7,11.0,1.9
2001/2/17,5.9,12.4,-1.0
2001/2/18,10.1,15.4,5.8
2001/2/19,12.0,19.4,5.7
2001/2/20,13.3,19.0,7.0
2001/2/21,15.8,20.3,10.4
2001/2/22,17.6,22.6,14.4
2001/2/23,17.7,22.1,13.1
2001/2/24,16.9,21.9,10.5
2001/2/25,8.9,13.2,5.0
2001/2/26,9.1,14.1,4.9
2001/2/27,13.1,17.9,8.1
2001/2/28,15.8,18.6,14.1
2001/3/1,12.3,14.3,9.1
2001/3/2,11.0,16.7,6.2
2001/3/3,11.8,15.2,6.7
2001/3/4,8.0,14.1,4.8
2001/3/5,8.5,13.7,4.3
2001/3/6,11.6,16.2,5.4
2001/3/7,10.8,15.6,7.3
2001/3/8,5.3,9.7,1.6
2001/3/9,4.3,8.9,1.9
2001/3/10,7.5,14.7,0.0
2001/3/11,10.7,17.1,5.8
2001/3/12,9.4,14.9,5.5
2001/3/13,9.9,15.8,3.4
2001/3/14,13.3,18.5,6.2
2001/3/15,16.1,21.9,10.9
2001/3/16,12.9,17.8,7.5
2001/3/17,14.5,17.9,12.0
2001/3/18,14.4,18.9,10.2
2001/3/19,14.0,20.9,8.3
2001/3/20,12.5,14.7,9.2
2001/3/21,15.9,23.0,11.2
2001/3/22,16.5,24.0,10.6
2001/3/23,15.9,19.8,13.1
2001/3/24,16.4,21.3,12.7
2001/3/25,16.2,21.1,14.4
2001/3/26,16.4,21.8,11.3
2001/3/27,13.1,17.1,8.6
2001/3/28,15.8,23.3,11.6
2001/3/29,10.8,13.8,7.4
2001/3/30,12.3,17.6,5.0
2001/3/31,11.5,16.1,6.6
