ダウンロードした時刻：2019/10/10 16:10:37

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,12.0,17.4,7.6
2016/12/2,10.3,15.4,5.8
2016/12/3,9.0,16.1,3.2
2016/12/4,9.0,12.7,4.5
2016/12/5,12.0,17.0,7.8
2016/12/6,9.9,13.3,4.5
2016/12/7,7.3,13.8,1.3
2016/12/8,8.6,14.0,4.6
2016/12/9,9.4,16.9,4.6
2016/12/10,7.5,12.3,3.2
2016/12/11,6.5,11.5,1.9
2016/12/12,5.8,10.1,0.7
2016/12/13,8.7,10.4,6.7
2016/12/14,7.7,11.6,1.6
2016/12/15,5.2,9.1,1.2
2016/12/16,4.5,8.4,1.6
2016/12/17,6.5,12.5,1.1
2016/12/18,6.2,13.2,0.4
2016/12/19,7.6,14.5,1.6
2016/12/20,9.6,14.2,6.5
2016/12/21,10.8,16.4,6.5
2016/12/22,16.0,19.5,13.8
2016/12/23,9.4,13.9,5.5
2016/12/24,6.9,11.4,3.3
2016/12/25,7.8,13.0,5.1
2016/12/26,7.1,9.0,4.7
2016/12/27,9.9,15.4,5.5
2016/12/28,4.5,7.0,2.0
2016/12/29,3.8,8.5,0.0
2016/12/30,4.5,10.9,-0.7
2016/12/31,4.7,12.0,-1.0
2017/1/1,6.0,13.6,0.0
2017/1/2,6.4,12.6,0.5
2017/1/3,8.1,14.8,3.0
2017/1/4,7.8,15.4,0.7
2017/1/5,7.4,10.4,4.7
2017/1/6,5.9,10.7,2.2
2017/1/7,5.1,10.4,-0.7
2017/1/8,6.5,7.4,5.3
2017/1/9,7.9,12.5,4.5
2017/1/10,7.5,13.6,1.8
2017/1/11,5.8,10.6,2.2
2017/1/12,5.1,9.5,0.9
2017/1/13,4.4,8.0,1.4
2017/1/14,1.9,6.3,-1.6
2017/1/15,0.6,5.1,-3.2
2017/1/16,2.4,6.7,-1.2
2017/1/17,3.5,9.1,-1.5
2017/1/18,4.0,10.1,-1.8
2017/1/19,6.7,10.7,3.8
2017/1/20,3.5,8.6,0.8
2017/1/21,4.0,8.3,0.5
2017/1/22,3.0,9.5,-0.2
2017/1/23,1.5,5.5,-2.1
2017/1/24,2.3,7.4,-2.0
2017/1/25,2.1,8.9,-3.0
2017/1/26,2.7,10.1,-2.9
2017/1/27,5.2,12.7,-1.0
2017/1/28,5.2,11.7,-0.5
2017/1/29,5.2,8.7,0.6
2017/1/30,7.8,13.9,4.2
2017/1/31,3.2,7.0,-0.4
2017/2/1,3.2,10.3,-1.9
2017/2/2,4.8,11.1,-0.4
2017/2/3,7.0,13.6,2.2
2017/2/4,6.0,13.9,-1.0
2017/2/5,6.4,8.1,5.0
2017/2/6,6.6,11.0,2.9
2017/2/7,3.9,7.8,0.2
2017/2/8,5.1,10.2,0.8
2017/2/9,4.5,10.3,1.7
2017/2/10,2.0,6.4,-0.6
2017/2/11,1.3,7.2,-2.6
2017/2/12,2.1,8.8,-2.7
2017/2/13,3.5,10.2,-2.5
2017/2/14,3.5,9.9,-1.3
2017/2/15,4.7,11.8,-1.7
2017/2/16,5.8,13.6,-1.1
2017/2/17,7.3,12.6,3.7
2017/2/18,7.3,13.6,3.6
2017/2/19,6.0,11.7,0.0
2017/2/20,6.2,10.7,3.0
2017/2/21,4.3,8.1,0.4
2017/2/22,4.2,9.0,-1.9
2017/2/23,9.9,14.7,6.0
2017/2/24,5.9,10.2,1.4
2017/2/25,6.2,12.5,-0.4
2017/2/26,6.7,11.7,0.5
2017/2/27,6.4,11.7,1.7
2017/2/28,4.8,11.9,-1.0
2017/3/1,5.6,11.4,0.3
2017/3/2,7.6,13.9,2.8
2017/3/3,7.4,13.0,2.9
2017/3/4,7.8,16.6,1.7
2017/3/5,8.6,14.7,2.3
2017/3/6,8.7,16.4,4.5
2017/3/7,5.7,10.9,0.3
2017/3/8,4.0,10.3,-1.0
2017/3/9,5.1,12.1,-0.9
2017/3/10,8.5,15.3,2.0
2017/3/11,7.0,13.8,0.4
2017/3/12,7.1,14.9,0.1
2017/3/13,9.5,15.2,5.2
2017/3/14,8.7,12.6,4.6
2017/3/15,6.5,11.3,2.0
2017/3/16,7.3,12.5,1.9
2017/3/17,7.8,16.1,0.6
2017/3/18,7.5,14.1,0.7
2017/3/19,10.0,19.0,1.5
2017/3/20,10.3,15.8,4.3
2017/3/21,9.2,13.6,7.0
2017/3/22,8.7,14.7,2.9
2017/3/23,9.1,14.0,4.9
2017/3/24,8.3,13.1,4.1
2017/3/25,7.0,11.5,2.9
2017/3/26,8.9,15.1,1.8
2017/3/27,9.1,14.9,6.2
2017/3/28,8.1,14.2,3.3
2017/3/29,10.5,17.0,3.9
2017/3/30,13.8,21.2,8.8
2017/3/31,7.0,11.8,3.6
