ダウンロードした時刻：2019/10/10 15:56:59

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,13.2,19.2,8.4
1991/12/2,12.4,15.8,8.8
1991/12/3,9.7,14.3,4.7
1991/12/4,11.1,16.1,7.5
1991/12/5,9.4,13.4,5.0
1991/12/6,11.8,14.3,8.8
1991/12/7,13.2,18.1,9.2
1991/12/8,11.3,15.1,8.9
1991/12/9,8.8,10.9,6.4
1991/12/10,8.6,13.3,5.2
1991/12/11,9.6,14.5,5.6
1991/12/12,6.3,9.3,3.7
1991/12/13,6.0,11.1,2.6
1991/12/14,7.6,13.7,2.5
1991/12/15,7.5,11.1,2.1
1991/12/16,7.8,12.7,2.7
1991/12/17,10.8,13.5,7.0
1991/12/18,12.1,15.5,7.9
1991/12/19,8.1,12.0,5.8
1991/12/20,7.0,12.0,3.2
1991/12/21,6.5,11.6,1.0
1991/12/22,8.5,14.2,3.9
1991/12/23,11.0,13.5,8.1
1991/12/24,13.6,18.1,9.5
1991/12/25,10.3,13.5,7.5
1991/12/26,8.2,11.7,5.9
1991/12/27,5.0,6.9,3.2
1991/12/28,6.4,9.7,3.5
1991/12/29,3.4,6.8,1.4
1991/12/30,3.7,6.7,1.6
1991/12/31,6.5,11.3,2.9
1992/1/1,7.4,12.4,4.2
1992/1/2,7.7,12.9,3.7
1992/1/3,7.4,13.2,2.7
1992/1/4,6.5,10.3,3.6
1992/1/5,7.5,12.7,2.4
1992/1/6,6.6,8.3,4.8
1992/1/7,10.5,13.7,7.1
1992/1/8,10.0,13.0,8.2
1992/1/9,8.0,10.3,6.4
1992/1/10,7.7,10.6,4.6
1992/1/11,6.0,10.2,2.3
1992/1/12,6.3,11.5,1.7
1992/1/13,8.9,14.0,4.5
1992/1/14,6.2,9.2,2.1
1992/1/15,3.9,8.3,1.0
1992/1/16,3.6,8.0,-0.9
1992/1/17,6.0,10.3,2.5
1992/1/18,4.8,7.7,2.7
1992/1/19,3.7,6.1,1.4
1992/1/20,4.3,8.2,0.8
1992/1/21,3.9,6.6,-0.3
1992/1/22,7.0,11.5,2.3
1992/1/23,6.0,9.9,2.9
1992/1/24,4.7,8.9,1.9
1992/1/25,5.5,11.9,0.4
1992/1/26,6.0,10.8,1.5
1992/1/27,7.6,13.7,1.2
1992/1/28,8.0,13.4,4.0
1992/1/29,11.5,16.2,5.8
1992/1/30,9.0,11.9,7.1
1992/1/31,7.0,9.9,4.2
1992/2/1,3.4,5.8,0.6
1992/2/2,3.7,7.5,0.7
1992/2/3,4.1,5.7,1.8
1992/2/4,7.4,11.6,4.4
1992/2/5,5.4,7.8,2.9
1992/2/6,5.0,9.5,1.0
1992/2/7,6.4,11.1,2.0
1992/2/8,5.1,9.8,2.3
1992/2/9,4.2,8.4,1.0
1992/2/10,4.9,11.3,-0.8
1992/2/11,5.0,8.4,2.2
1992/2/12,5.2,9.0,-0.9
1992/2/13,8.3,13.8,3.2
1992/2/14,6.3,10.8,2.6
1992/2/15,4.7,7.8,0.7
1992/2/16,6.4,11.9,3.6
1992/2/17,5.3,9.1,2.8
1992/2/18,6.2,13.1,0.1
1992/2/19,5.7,8.0,2.8
1992/2/20,4.5,7.8,2.1
1992/2/21,3.3,6.9,1.4
1992/2/22,3.6,7.0,1.4
1992/2/23,5.7,10.9,2.2
1992/2/24,4.5,9.2,1.7
1992/2/25,3.8,6.9,2.1
1992/2/26,5.6,10.0,2.4
1992/2/27,9.1,17.0,1.6
1992/2/28,10.6,15.3,5.2
1992/2/29,11.4,13.1,10.5
1992/3/1,12.6,17.1,10.2
1992/3/2,8.6,12.2,6.2
1992/3/3,6.5,9.8,4.5
1992/3/4,6.8,10.4,3.2
1992/3/5,8.6,11.5,7.0
1992/3/6,8.1,11.6,4.9
1992/3/7,6.4,10.8,3.7
1992/3/8,6.0,11.0,0.4
1992/3/9,7.9,11.7,2.6
1992/3/10,11.4,15.8,8.2
1992/3/11,10.4,15.2,6.3
1992/3/12,10.1,14.7,4.8
1992/3/13,12.4,16.5,5.8
1992/3/14,12.3,18.8,6.2
1992/3/15,12.2,14.6,10.6
1992/3/16,10.7,12.4,7.5
1992/3/17,6.3,7.8,3.1
1992/3/18,8.5,11.6,5.9
1992/3/19,10.2,14.6,7.0
1992/3/20,10.8,14.7,7.6
1992/3/21,7.6,9.7,5.6
1992/3/22,6.9,10.6,3.8
1992/3/23,6.1,8.3,2.4
1992/3/24,11.1,15.1,7.7
1992/3/25,11.9,15.6,9.3
1992/3/26,11.2,13.7,9.8
1992/3/27,9.3,10.2,8.0
1992/3/28,10.3,12.2,8.2
1992/3/29,11.8,12.7,10.3
1992/3/30,13.3,17.8,9.9
1992/3/31,13.1,18.5,9.4
