ダウンロードした時刻：2017/07/24 15:37:07

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,-1.6,1.1,-4.0
1995/1/2,0.4,3.4,-3.5
1995/1/3,2.1,4.2,-1.9
1995/1/4,3.8,5.7,2.7
1995/1/5,2.0,3.9,-0.1
1995/1/6,-0.3,2.0,-2.4
1995/1/7,3.6,6.5,0.4
1995/1/8,3.2,6.2,-0.1
1995/1/9,4.1,12.6,-1.8
1995/1/10,0.5,4.4,-2.0
1995/1/11,-1.4,0.5,-3.8
1995/1/12,-3.1,-0.3,-4.8
1995/1/13,-3.5,0.1,-5.2
1995/1/14,-3.6,-1.5,-4.9
1995/1/15,-3.3,-1.2,-5.1
1995/1/16,-3.1,-1.2,-5.2
1995/1/17,-3.7,-1.0,-6.3
1995/1/18,-1.8,2.7,-4.9
1995/1/19,-2.0,0.5,-4.4
1995/1/20,-1.1,1.8,-3.9
1995/1/21,-2.6,1.5,-7.5
1995/1/22,1.2,5.4,-3.8
1995/1/23,3.4,4.9,2.1
1995/1/24,1.7,4.2,0.2
1995/1/25,0.2,0.8,-0.7
1995/1/26,1.3,3.9,-1.2
1995/1/27,-2.2,0.4,-3.8
1995/1/28,-2.4,0.2,-4.3
1995/1/29,-0.4,1.5,-3.7
1995/1/30,-2.2,0.2,-4.9
1995/1/31,-0.6,1.8,-5.2
1995/2/1,2.1,5.2,-0.2
1995/2/2,-0.8,0.9,-2.1
1995/2/3,-1.5,1.7,-4.6
1995/2/4,-0.5,3.1,-2.8
1995/2/5,-2.1,3.9,-6.9
1995/2/6,-2.2,1.7,-6.3
1995/2/7,0.7,4.0,-2.3
1995/2/8,3.3,5.3,1.2
1995/2/9,0.9,3.7,-2.1
1995/2/10,-0.5,2.8,-4.0
1995/2/11,2.5,5.4,-0.3
1995/2/12,4.1,7.5,1.3
1995/2/13,2.9,6.4,-0.5
1995/2/14,2.0,4.0,-0.3
1995/2/15,0.1,3.4,-1.9
1995/2/16,-0.2,2.1,-2.2
1995/2/17,0.7,2.9,-1.2
1995/2/18,0.5,1.8,-1.3
1995/2/19,1.7,3.8,0.0
1995/2/20,1.7,4.2,-0.6
1995/2/21,2.0,4.8,0.4
1995/2/22,1.9,3.8,0.1
1995/2/23,2.8,6.0,0.0
1995/2/24,1.3,3.3,-0.6
1995/2/25,0.3,3.7,-2.3
1995/2/26,2.1,7.4,-4.5
1995/2/27,2.7,6.5,0.4
1995/2/28,1.6,4.9,-1.5
1995/3/1,3.7,8.2,1.4
1995/3/2,0.6,2.4,-1.9
1995/3/3,0.6,3.5,-1.5
1995/3/4,0.2,4.8,-4.2
1995/3/5,-0.4,2.8,-3.2
1995/3/6,-0.1,2.7,-2.9
1995/3/7,2.3,6.3,-2.1
1995/3/8,3.2,7.8,0.4
1995/3/9,4.6,8.1,0.8
1995/3/10,3.4,9.5,-2.4
1995/3/11,3.1,4.2,0.0
1995/3/12,3.5,8.3,-1.5
1995/3/13,4.9,8.8,1.9
1995/3/14,5.4,10.4,1.4
1995/3/15,4.4,9.7,-0.9
1995/3/16,7.1,11.8,0.6
1995/3/17,8.0,14.1,0.5
1995/3/18,1.3,3.7,-0.5
1995/3/19,1.7,7.5,-1.8
1995/3/20,4.3,8.8,0.1
1995/3/21,10.5,12.9,6.4
1995/3/22,3.0,11.1,0.3
1995/3/23,2.8,6.4,-0.1
1995/3/24,4.6,8.4,2.0
1995/3/25,2.5,4.2,-0.8
1995/3/26,2.0,6.2,-2.9
1995/3/27,2.5,5.7,-0.6
1995/3/28,5.0,8.7,1.6
1995/3/29,6.1,11.9,0.0
1995/3/30,9.5,15.4,5.1
1995/3/31,8.6,11.2,7.1
1995/4/1,6.1,10.7,1.9
1995/4/2,4.0,6.9,0.7
1995/4/3,4.1,7.1,0.2
1995/4/4,8.4,11.7,3.7
1995/4/5,8.5,14.0,1.8
1995/4/6,12.6,18.6,5.0
1995/4/7,9.9,13.3,5.6
1995/4/8,9.8,18.2,0.8
1995/4/9,10.8,14.5,6.9
1995/4/10,5.4,8.7,2.0
1995/4/11,5.3,8.1,1.6
1995/4/12,4.9,8.0,1.6
1995/4/13,7.7,9.7,5.2
1995/4/14,11.4,16.4,6.7
1995/4/15,9.9,13.4,6.6
1995/4/16,10.0,16.3,3.9
1995/4/17,8.6,11.0,4.3
1995/4/18,11.6,17.7,2.7
1995/4/19,9.9,13.4,5.6
1995/4/20,8.4,11.6,4.6
1995/4/21,10.8,16.0,4.3
1995/4/22,12.5,16.5,9.3
1995/4/23,12.3,15.7,9.6
1995/4/24,10.9,14.1,8.1
1995/4/25,14.6,19.0,9.3
1995/4/26,11.7,15.0,8.5
1995/4/27,10.7,14.3,7.9
1995/4/28,14.2,21.8,7.8
1995/4/29,17.7,24.9,9.8
1995/4/30,17.5,22.2,14.3
1995/5/1,18.1,23.3,13.0
