ダウンロードした時刻：2019/10/10 16:07:38

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,10.4,14.7,5.5
1997/12/2,7.1,11.5,1.0
1997/12/3,3.4,6.8,0.4
1997/12/4,4.8,10.3,0.9
1997/12/5,6.5,14.1,0.4
1997/12/6,9.0,16.1,1.9
1997/12/7,15.9,21.1,11.8
1997/12/8,14.2,16.0,12.6
1997/12/9,9.9,13.2,4.8
1997/12/10,4.7,9.1,0.8
1997/12/11,3.9,8.7,-1.2
1997/12/12,4.8,9.9,1.2
1997/12/13,5.3,8.6,2.6
1997/12/14,6.0,11.6,1.5
1997/12/15,7.8,14.3,2.1
1997/12/16,8.8,14.5,4.6
1997/12/17,7.8,9.2,6.0
1997/12/18,10.3,16.0,6.6
1997/12/19,9.0,15.5,3.6
1997/12/20,11.0,14.9,7.0
1997/12/21,9.7,11.7,7.0
1997/12/22,7.4,10.3,5.9
1997/12/23,7.5,10.6,5.5
1997/12/24,6.6,12.8,2.3
1997/12/25,6.6,13.6,1.5
1997/12/26,7.9,11.0,3.7
1997/12/27,10.1,16.4,6.1
1997/12/28,7.5,12.3,4.1
1997/12/29,7.4,12.6,2.7
1997/12/30,7.6,10.5,5.2
1997/12/31,6.9,10.6,3.6
1998/1/1,5.0,8.3,2.8
1998/1/2,6.0,10.1,3.6
1998/1/3,6.3,12.7,1.0
1998/1/4,6.8,10.7,4.2
1998/1/5,4.8,8.9,1.5
1998/1/6,4.5,10.6,0.9
1998/1/7,5.1,9.8,1.9
1998/1/8,5.1,6.2,3.8
1998/1/9,5.9,9.7,1.5
1998/1/10,3.6,7.6,-0.2
1998/1/11,5.0,7.7,2.1
1998/1/12,5.1,8.5,3.9
1998/1/13,5.3,10.9,2.7
1998/1/14,5.8,8.4,3.1
1998/1/15,6.3,8.5,5.0
1998/1/16,7.3,11.8,4.3
1998/1/17,7.8,12.2,2.7
1998/1/18,9.7,11.3,7.4
1998/1/19,4.0,7.4,-0.8
1998/1/20,2.2,6.8,-1.8
1998/1/21,4.6,10.2,1.5
1998/1/22,4.3,9.5,-0.2
1998/1/23,3.7,4.8,2.3
1998/1/24,1.3,3.9,-1.7
1998/1/25,1.2,6.5,-2.2
1998/1/26,3.7,10.2,-1.6
1998/1/27,4.5,9.2,0.2
1998/1/28,4.3,9.0,1.3
1998/1/29,2.6,5.9,0.5
1998/1/30,4.2,9.9,-0.7
1998/1/31,4.8,10.3,0.3
1998/2/1,3.5,6.1,0.5
1998/2/2,4.5,11.2,-1.2
1998/2/3,4.8,8.2,0.2
1998/2/4,4.2,7.3,1.2
1998/2/5,3.2,8.2,-0.4
1998/2/6,4.7,11.4,-0.5
1998/2/7,4.4,10.0,0.4
1998/2/8,3.5,9.4,1.3
1998/2/9,2.7,6.9,0.3
1998/2/10,3.8,9.3,0.5
1998/2/11,4.1,10.6,-1.1
1998/2/12,10.9,19.2,2.8
1998/2/13,12.9,19.8,6.9
1998/2/14,10.8,16.2,7.0
1998/2/15,5.7,8.8,2.5
1998/2/16,6.0,11.6,0.0
1998/2/17,5.6,7.4,4.1
1998/2/18,6.5,11.4,3.5
1998/2/19,9.8,17.1,2.0
1998/2/20,12.2,13.3,10.7
1998/2/21,9.3,12.8,5.5
1998/2/22,7.0,13.4,3.0
1998/2/23,9.0,15.8,1.3
1998/2/24,10.0,11.4,8.9
1998/2/25,10.6,14.1,8.9
1998/2/26,9.7,12.8,8.2
1998/2/27,9.7,15.9,3.8
1998/2/28,7.8,13.1,4.7
1998/3/1,6.4,10.3,4.1
1998/3/2,7.9,14.1,3.5
1998/3/3,8.0,15.5,1.0
1998/3/4,9.7,16.9,3.8
1998/3/5,7.2,8.7,5.8
1998/3/6,8.7,13.9,4.1
1998/3/7,6.3,9.8,3.8
1998/3/8,8.1,13.5,3.5
1998/3/9,9.7,18.3,4.2
1998/3/10,8.0,12.7,5.3
1998/3/11,9.9,12.2,4.9
1998/3/12,10.7,13.1,7.4
1998/3/13,9.9,15.5,5.2
1998/3/14,9.7,16.7,3.7
1998/3/15,5.7,9.1,2.4
1998/3/16,6.8,12.6,0.8
1998/3/17,7.5,14.3,3.4
1998/3/18,7.9,14.7,2.9
1998/3/19,10.9,17.3,2.7
1998/3/20,11.3,17.1,7.1
1998/3/21,8.7,13.5,5.5
1998/3/22,7.5,11.1,3.9
1998/3/23,7.6,13.7,2.9
1998/3/24,9.4,15.3,5.1
1998/3/25,10.8,16.0,7.4
1998/3/26,12.4,19.2,5.3
1998/3/27,12.2,14.0,10.4
1998/3/28,14.9,20.8,10.6
1998/3/29,15.5,24.1,7.3
1998/3/30,16.6,25.2,8.6
1998/3/31,13.3,21.0,9.4
