ダウンロードした時刻：2019/10/10 15:45:19

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,9.8,15.5,4.0
1994/12/2,13.1,20.5,7.5
1994/12/3,7.5,11.4,4.9
1994/12/4,6.3,9.5,4.3
1994/12/5,4.9,7.3,3.6
1994/12/6,5.7,9.7,3.0
1994/12/7,8.1,12.9,5.1
1994/12/8,7.8,13.0,3.9
1994/12/9,11.3,14.5,7.7
1994/12/10,6.2,10.3,2.1
1994/12/11,5.0,7.8,1.6
1994/12/12,10.4,14.1,6.9
1994/12/13,8.9,10.7,6.7
1994/12/14,5.5,8.3,3.1
1994/12/15,4.3,7.1,2.0
1994/12/16,0.3,2.8,-1.6
1994/12/17,2.8,7.9,-2.2
1994/12/18,2.1,5.6,0.3
1994/12/19,0.1,1.1,-1.7
1994/12/20,1.4,5.8,-2.9
1994/12/21,3.5,5.2,1.0
1994/12/22,3.6,10.0,-0.6
1994/12/23,6.7,15.7,1.4
1994/12/24,9.3,16.2,3.5
1994/12/25,7.6,12.7,1.5
1994/12/26,5.0,9.3,0.1
1994/12/27,9.3,14.3,5.7
1994/12/28,6.6,10.1,4.2
1994/12/29,3.2,5.3,0.3
1994/12/30,4.8,9.5,0.1
1994/12/31,3.9,5.9,0.9
1995/1/1,0.7,1.8,-0.2
1995/1/2,1.9,5.8,-1.2
1995/1/3,4.6,9.5,-1.5
1995/1/4,6.6,7.7,5.5
1995/1/5,3.8,6.6,0.4
1995/1/6,0.6,2.2,0.1
1995/1/7,2.6,4.7,0.6
1995/1/8,2.7,7.5,-1.2
1995/1/9,8.2,13.7,3.5
1995/1/10,1.5,3.8,0.4
1995/1/11,0.9,1.9,0.2
1995/1/12,1.0,3.1,0.3
1995/1/13,0.7,1.4,-0.4
1995/1/14,-1.2,0.1,-2.7
1995/1/15,-1.2,0.5,-3.8
1995/1/16,-0.3,3.4,-3.2
1995/1/17,-1.4,4.4,-6.1
1995/1/18,1.6,5.7,-2.0
1995/1/19,-0.2,1.4,-2.6
1995/1/20,0.6,3.9,-3.3
1995/1/21,3.6,9.9,-0.5
1995/1/22,3.5,6.0,1.9
1995/1/23,4.0,6.2,2.2
1995/1/24,2.0,4.2,0.4
1995/1/25,1.3,5.2,-1.1
1995/1/26,1.6,5.5,-0.7
1995/1/27,0.7,2.3,-0.6
1995/1/28,2.6,6.0,0.1
1995/1/29,1.5,3.1,0.2
1995/1/30,-1.2,0.6,-2.2
1995/1/31,-1.0,0.9,-2.8
1995/2/1,0.0,2.6,-1.9
1995/2/2,1.7,5.3,-0.8
1995/2/3,1.3,4.6,-0.6
1995/2/4,0.4,4.3,-2.9
1995/2/5,0.4,2.7,-2.8
1995/2/6,1.4,3.4,-0.4
1995/2/7,2.0,5.5,-0.3
1995/2/8,5.2,9.8,2.8
1995/2/9,4.5,9.1,1.2
1995/2/10,1.6,4.5,-0.6
1995/2/11,1.4,6.0,-2.3
1995/2/12,4.2,10.0,-3.0
1995/2/13,4.7,7.8,2.9
1995/2/14,3.2,6.8,0.4
1995/2/15,2.9,6.1,0.6
1995/2/16,3.0,7.0,0.5
1995/2/17,1.6,4.4,-0.7
1995/2/18,2.3,5.5,0.2
1995/2/19,3.7,8.8,-1.2
1995/2/20,2.6,6.4,1.0
1995/2/21,1.1,3.9,-0.2
1995/2/22,2.2,6.2,0.0
1995/2/23,3.3,9.4,-1.8
1995/2/24,4.2,6.8,2.2
1995/2/25,3.5,6.9,0.2
1995/2/26,4.0,11.1,0.1
1995/2/27,4.3,7.2,1.5
1995/2/28,4.0,8.7,-0.4
1995/3/1,4.6,10.3,1.5
1995/3/2,2.9,5.1,0.4
1995/3/3,3.4,6.9,-1.7
1995/3/4,3.6,6.9,0.1
1995/3/5,2.8,7.4,-0.8
1995/3/6,4.5,9.1,0.8
1995/3/7,6.5,13.0,1.7
1995/3/8,5.9,12.4,2.1
1995/3/9,6.6,12.2,0.8
1995/3/10,7.4,11.8,3.4
1995/3/11,5.6,9.0,3.5
1995/3/12,6.7,12.7,3.0
1995/3/13,6.1,9.8,4.6
1995/3/14,5.4,8.5,2.3
1995/3/15,6.0,11.0,0.3
1995/3/16,10.5,15.7,2.3
1995/3/17,12.9,20.7,4.7
1995/3/18,4.5,6.6,1.9
1995/3/19,4.5,9.8,2.0
1995/3/20,8.2,14.9,0.5
1995/3/21,12.8,19.1,7.4
1995/3/22,8.4,12.8,6.3
1995/3/23,8.0,12.1,6.0
1995/3/24,8.4,12.5,5.4
1995/3/25,4.7,7.5,3.5
1995/3/26,4.7,9.3,1.4
1995/3/27,7.5,13.8,0.8
1995/3/28,4.9,8.7,2.0
1995/3/29,8.7,14.7,1.6
1995/3/30,10.8,12.5,9.7
1995/3/31,9.9,12.4,6.7
