ダウンロードした時刻：2019/10/10 16:21:01

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,9.7,13.9,7.1
2013/12/2,9.7,13.7,6.2
2013/12/3,9.8,13.7,6.1
2013/12/4,9.2,13.9,5.8
2013/12/5,9.7,15.7,4.8
2013/12/6,10.8,15.0,6.8
2013/12/7,9.1,14.3,5.3
2013/12/8,8.7,14.7,4.4
2013/12/9,11.4,15.3,6.9
2013/12/10,10.0,12.1,8.6
2013/12/11,9.2,12.2,7.6
2013/12/12,7.4,10.7,5.4
2013/12/13,10.6,14.0,7.6
2013/12/14,8.2,11.4,6.5
2013/12/15,8.6,12.2,5.9
2013/12/16,8.8,10.8,5.5
2013/12/17,7.1,9.0,6.4
2013/12/18,7.6,9.8,6.2
2013/12/19,7.7,9.6,4.8
2013/12/20,7.3,8.4,5.0
2013/12/21,5.7,8.9,3.4
2013/12/22,6.0,10.9,2.1
2013/12/23,5.4,7.5,2.6
2013/12/24,7.7,11.1,4.2
2013/12/25,7.2,9.8,4.4
2013/12/26,8.2,10.0,6.5
2013/12/27,6.2,8.5,4.3
2013/12/28,4.2,6.1,2.4
2013/12/29,4.9,7.6,2.0
2013/12/30,8.8,12.2,4.6
2013/12/31,12.3,14.5,10.8
2014/1/1,12.0,14.0,8.6
2014/1/2,9.4,15.1,6.0
2014/1/3,8.7,13.5,5.3
2014/1/4,9.5,14.7,6.2
2014/1/5,8.3,13.6,4.4
2014/1/6,6.9,11.4,3.2
2014/1/7,8.0,12.7,3.3
2014/1/8,9.4,11.8,8.6
2014/1/9,5.1,8.9,1.1
2014/1/10,3.0,5.3,0.6
2014/1/11,5.5,7.9,3.3
2014/1/12,5.1,8.6,1.9
2014/1/13,5.8,9.7,2.1
2014/1/14,6.1,10.3,2.6
2014/1/15,5.7,8.2,3.4
2014/1/16,5.0,10.5,0.2
2014/1/17,5.7,10.0,1.7
2014/1/18,6.3,9.5,2.8
2014/1/19,5.3,9.9,1.1
2014/1/20,9.9,14.7,3.0
2014/1/21,5.0,8.8,2.4
2014/1/22,4.2,8.7,0.5
2014/1/23,4.9,11.0,0.2
2014/1/24,9.1,14.5,2.9
2014/1/25,15.3,17.4,10.4
2014/1/26,10.2,15.2,5.8
2014/1/27,5.9,11.0,1.5
2014/1/28,9.5,15.3,4.5
2014/1/29,10.8,17.4,4.6
2014/1/30,14.7,17.2,12.1
2014/1/31,11.5,16.6,7.4
2014/2/1,13.8,19.2,7.6
2014/2/2,16.5,19.3,14.5
2014/2/3,14.2,16.5,11.1
2014/2/4,5.0,11.2,2.9
2014/2/5,5.1,8.9,1.4
2014/2/6,4.8,6.3,3.3
2014/2/7,5.9,6.9,5.0
2014/2/8,7.5,11.6,5.0
2014/2/9,6.9,10.5,4.0
2014/2/10,6.6,9.2,4.0
2014/2/11,4.8,9.2,2.3
2014/2/12,5.7,10.2,2.5
2014/2/13,5.1,6.5,3.8
2014/2/14,5.2,6.8,3.2
2014/2/15,7.0,10.4,4.2
2014/2/16,7.8,13.1,2.8
2014/2/17,7.7,10.1,6.2
2014/2/18,5.6,7.2,3.3
2014/2/19,5.9,10.2,3.2
2014/2/20,6.3,11.1,1.6
2014/2/21,7.3,12.4,2.9
2014/2/22,7.5,12.8,3.3
2014/2/23,8.4,14.5,3.4
2014/2/24,9.1,14.9,4.0
2014/2/25,9.9,16.1,4.1
2014/2/26,11.5,14.6,8.8
2014/2/27,13.6,15.7,8.9
2014/2/28,11.9,17.2,7.9
2014/3/1,12.0,14.6,11.0
2014/3/2,11.0,14.3,8.5
2014/3/3,9.2,14.2,6.3
2014/3/4,10.5,16.0,5.6
2014/3/5,10.3,13.7,6.6
2014/3/6,7.1,10.2,5.3
2014/3/7,6.5,10.2,3.6
2014/3/8,6.0,9.7,1.1
2014/3/9,7.9,11.7,3.4
2014/3/10,7.0,11.5,3.8
2014/3/11,8.0,14.2,2.5
2014/3/12,13.8,19.5,6.6
2014/3/13,12.2,17.4,7.6
2014/3/14,6.4,8.3,3.5
2014/3/15,9.4,15.0,2.1
2014/3/16,14.3,18.3,10.1
2014/3/17,14.3,19.4,8.5
2014/3/18,16.7,18.0,15.7
2014/3/19,15.6,19.6,13.2
2014/3/20,11.9,13.5,9.3
2014/3/21,8.5,12.9,5.1
2014/3/22,9.1,14.5,4.0
2014/3/23,11.3,17.1,6.0
2014/3/24,13.4,19.4,6.9
2014/3/25,17.1,18.4,15.4
2014/3/26,17.8,19.6,16.1
2014/3/27,17.0,21.8,13.4
2014/3/28,17.4,24.0,10.7
2014/3/29,16.9,20.0,15.1
2014/3/30,15.2,17.7,12.0
2014/3/31,13.6,20.2,8.7
