ダウンロードした時刻：2019/10/10 15:40:49

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,7.5,10.8,3.9
1999/12/2,7.5,12.0,5.8
1999/12/3,4.9,6.6,3.5
1999/12/4,6.8,12.0,1.0
1999/12/5,8.6,11.2,5.9
1999/12/6,5.8,11.1,3.9
1999/12/7,2.7,6.8,0.5
1999/12/8,4.8,9.4,0.4
1999/12/9,5.6,13.7,-1.2
1999/12/10,8.6,14.4,3.6
1999/12/11,5.8,11.0,2.2
1999/12/12,3.1,5.4,1.3
1999/12/13,3.4,6.9,0.4
1999/12/14,2.6,5.8,0.5
1999/12/15,0.0,1.3,-1.7
1999/12/16,1.2,4.4,-2.0
1999/12/17,4.2,8.7,2.2
1999/12/18,3.4,6.3,1.4
1999/12/19,1.8,6.8,-2.4
1999/12/20,2.1,5.7,-0.9
1999/12/21,2.2,6.5,-0.6
1999/12/22,1.7,6.4,-1.2
1999/12/23,2.1,5.7,-1.0
1999/12/24,2.6,10.7,-2.9
1999/12/25,3.5,11.2,-2.6
1999/12/26,3.3,5.7,1.0
1999/12/27,4.1,8.2,0.3
1999/12/28,5.6,13.2,-1.8
1999/12/29,6.5,8.7,2.4
1999/12/30,3.2,6.7,-0.3
1999/12/31,2.9,8.7,-1.8
2000/1/1,4.7,8.7,1.6
2000/1/2,3.8,7.0,2.1
2000/1/3,4.6,8.2,2.7
2000/1/4,6.2,9.9,3.6
2000/1/5,6.2,10.3,3.2
2000/1/6,4.8,5.9,3.3
2000/1/7,8.5,13.3,5.8
2000/1/8,6.2,10.3,1.9
2000/1/9,6.7,10.6,4.8
2000/1/10,6.3,13.0,2.2
2000/1/11,3.1,6.4,1.9
2000/1/12,2.5,6.2,0.4
2000/1/13,2.2,3.8,0.4
2000/1/14,7.2,12.9,2.8
2000/1/15,5.4,9.8,2.0
2000/1/16,3.1,8.1,-1.4
2000/1/17,5.4,10.3,1.3
2000/1/18,4.2,7.7,0.9
2000/1/19,3.3,9.3,-2.8
2000/1/20,4.0,9.0,0.3
2000/1/21,-0.7,1.9,-2.4
2000/1/22,-0.1,3.4,-2.8
2000/1/23,1.0,7.4,-5.2
2000/1/24,4.3,7.9,0.2
2000/1/25,-0.1,2.6,-2.5
2000/1/26,-1.4,2.5,-4.5
2000/1/27,-1.1,3.2,-5.5
2000/1/28,0.9,7.1,-5.5
2000/1/29,3.1,9.4,-1.6
2000/1/30,3.9,10.6,-1.2
2000/1/31,0.7,3.2,-0.7
2000/2/1,2.6,5.7,-0.8
2000/2/2,3.4,8.6,-1.2
2000/2/3,3.0,8.2,-1.6
2000/2/4,3.1,8.2,-1.5
2000/2/5,3.7,8.9,-0.9
2000/2/6,2.4,5.5,-1.2
2000/2/7,5.0,9.7,1.2
2000/2/8,4.2,10.5,0.6
2000/2/9,1.7,4.3,-0.4
2000/2/10,1.5,5.5,-1.3
2000/2/11,2.5,7.7,-3.1
2000/2/12,4.7,7.8,1.4
2000/2/13,3.0,6.3,-0.3
2000/2/14,2.7,7.9,-1.8
2000/2/15,0.1,4.3,-3.6
2000/2/16,-3.1,-0.7,-4.4
2000/2/17,-0.6,3.8,-5.5
2000/2/18,-0.6,2.3,-2.3
2000/2/19,2.3,6.4,-1.3
2000/2/20,2.6,5.1,0.0
2000/2/21,0.2,3.7,-2.5
2000/2/22,-0.6,1.8,-2.6
2000/2/23,1.1,4.9,-2.0
2000/2/24,0.1,4.0,-3.5
2000/2/25,-1.0,2.2,-3.9
2000/2/26,1.0,5.9,-3.2
2000/2/27,1.6,4.9,-0.5
2000/2/28,1.9,6.2,-0.7
2000/2/29,-0.6,2.8,-2.8
2000/3/1,0.3,4.5,-4.0
2000/3/2,4.3,11.4,-2.7
2000/3/3,6.4,13.3,0.8
2000/3/4,6.4,13.2,0.2
2000/3/5,7.9,11.4,2.9
2000/3/6,3.8,11.1,-1.2
2000/3/7,2.4,6.2,-1.6
2000/3/8,1.6,6.0,-0.8
2000/3/9,-1.4,0.9,-3.7
2000/3/10,0.2,3.9,-3.4
2000/3/11,4.3,10.9,-2.9
2000/3/12,5.1,10.1,1.2
2000/3/13,2.5,8.9,-2.0
2000/3/14,2.4,5.5,0.2
2000/3/15,4.2,9.1,0.0
2000/3/16,0.5,1.4,-0.4
2000/3/17,4.1,7.9,0.2
2000/3/18,6.7,11.9,0.2
2000/3/19,10.0,17.5,2.2
2000/3/20,5.6,9.4,1.1
2000/3/21,5.2,9.0,1.7
2000/3/22,5.2,9.6,1.3
2000/3/23,6.4,13.0,-0.4
2000/3/24,7.0,12.7,2.4
2000/3/25,2.3,5.5,0.2
2000/3/26,0.4,1.8,-0.8
2000/3/27,4.2,9.9,-1.0
2000/3/28,5.7,12.7,-0.1
2000/3/29,11.6,17.8,6.6
2000/3/30,8.9,12.6,5.9
2000/3/31,10.5,17.7,2.2
