ダウンロードした時刻：2019/10/10 16:04:29

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,9.7,13.3,7.0
2000/12/2,8.6,14.5,4.0
2000/12/3,10.6,15.0,6.4
2000/12/4,8.7,11.8,5.1
2000/12/5,10.1,13.9,5.1
2000/12/6,7.8,13.4,2.6
2000/12/7,7.5,12.7,3.9
2000/12/8,8.3,15.4,2.6
2000/12/9,9.3,17.3,2.0
2000/12/10,12.0,15.7,8.8
2000/12/11,6.6,11.8,1.5
2000/12/12,4.7,8.0,1.7
2000/12/13,6.1,8.2,2.9
2000/12/14,7.3,12.0,2.4
2000/12/15,8.6,15.1,1.3
2000/12/16,11.5,15.0,5.9
2000/12/17,7.5,11.9,4.3
2000/12/18,8.7,14.8,1.7
2000/12/19,12.3,15.0,9.9
2000/12/20,9.2,12.0,5.7
2000/12/21,8.7,11.8,4.7
2000/12/22,6.0,12.1,1.2
2000/12/23,9.0,16.5,1.9
2000/12/24,6.5,9.4,3.9
2000/12/25,4.0,7.8,2.2
2000/12/26,1.9,3.9,0.5
2000/12/27,3.2,5.7,1.4
2000/12/28,5.0,10.1,1.7
2000/12/29,5.2,9.3,2.0
2000/12/30,7.6,12.9,2.9
2000/12/31,8.3,10.2,6.2
2001/1/1,5.5,8.9,3.2
2001/1/2,7.0,9.0,4.8
2001/1/3,4.1,5.9,1.5
2001/1/4,2.2,4.4,0.3
2001/1/5,4.4,7.6,1.5
2001/1/6,4.0,6.5,2.2
2001/1/7,3.6,7.9,0.4
2001/1/8,8.1,10.8,4.8
2001/1/9,7.1,10.9,1.2
2001/1/10,6.8,10.3,1.0
2001/1/11,4.3,9.6,0.3
2001/1/12,2.8,4.5,1.6
2001/1/13,1.6,3.1,0.4
2001/1/14,-1.0,2.1,-2.9
2001/1/15,-2.4,0.4,-4.8
2001/1/16,-0.7,2.1,-3.3
2001/1/17,1.0,3.9,-1.2
2001/1/18,3.4,6.5,-1.7
2001/1/19,3.2,4.9,0.3
2001/1/20,2.9,4.8,0.8
2001/1/21,5.0,8.6,2.1
2001/1/22,4.4,8.2,1.3
2001/1/23,3.6,8.7,-1.2
2001/1/24,4.3,7.2,1.9
2001/1/25,5.2,8.1,2.1
2001/1/26,7.2,8.7,5.0
2001/1/27,5.6,8.9,3.2
2001/1/28,4.1,8.8,0.8
2001/1/29,2.8,6.5,0.0
2001/1/30,3.1,8.3,-0.2
2001/1/31,4.9,10.2,-1.3
2001/2/1,5.6,8.9,2.8
2001/2/2,2.4,6.5,-0.2
2001/2/3,4.1,9.4,-0.6
2001/2/4,4.8,8.2,0.6
2001/2/5,7.1,10.9,2.2
2001/2/6,6.6,8.4,5.1
2001/2/7,7.0,10.0,3.6
2001/2/8,4.1,7.8,1.7
2001/2/9,3.6,6.7,1.1
2001/2/10,3.8,7.7,-0.5
2001/2/11,3.6,9.0,-1.5
2001/2/12,3.5,6.5,0.7
2001/2/13,3.2,5.8,1.6
2001/2/14,1.9,5.0,-0.2
2001/2/15,3.2,7.7,-3.1
2001/2/16,1.8,5.4,0.3
2001/2/17,3.3,7.9,-1.6
2001/2/18,7.2,13.4,2.7
2001/2/19,7.4,13.6,1.2
2001/2/20,5.5,9.7,0.7
2001/2/21,8.4,15.2,0.2
2001/2/22,8.9,14.6,3.6
2001/2/23,7.5,12.9,1.9
2001/2/24,7.3,8.8,4.9
2001/2/25,3.7,6.2,1.0
2001/2/26,4.3,8.5,0.9
2001/2/27,7.4,12.8,0.2
2001/2/28,10.7,14.0,7.5
2001/3/1,6.9,7.7,5.8
2001/3/2,6.4,9.7,2.1
2001/3/3,8.4,15.1,1.3
2001/3/4,4.6,11.6,0.0
2001/3/5,4.8,9.2,-0.3
2001/3/6,10.9,16.7,3.4
2001/3/7,5.9,13.6,0.9
2001/3/8,1.2,3.7,-0.7
2001/3/9,0.0,1.5,-2.8
2001/3/10,2.8,7.7,-2.9
2001/3/11,2.4,5.5,-1.6
2001/3/12,3.0,7.7,-2.4
2001/3/13,3.9,6.9,-0.5
2001/3/14,11.4,18.8,-1.1
2001/3/15,10.1,16.6,2.9
2001/3/16,5.3,10.2,-0.7
2001/3/17,8.0,11.7,3.0
2001/3/18,11.0,16.3,6.3
2001/3/19,11.4,19.5,4.7
2001/3/20,14.3,22.3,6.1
2001/3/21,12.5,18.2,7.4
2001/3/22,14.7,23.9,5.2
2001/3/23,11.0,15.7,5.0
2001/3/24,11.0,17.8,2.0
2001/3/25,14.7,17.1,12.1
2001/3/26,11.0,13.6,6.1
2001/3/27,8.8,12.4,4.9
2001/3/28,8.2,11.2,3.6
2001/3/29,7.1,10.1,4.3
2001/3/30,5.2,10.5,2.0
2001/3/31,4.5,9.9,1.8
