ダウンロードした時刻：2019/10/10 16:15:58

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,9.5,15.7,3.2
1984/12/2,9.7,12.8,5.7
1984/12/3,7.6,13.8,2.9
1984/12/4,7.2,14.0,1.0
1984/12/5,10.4,16.0,2.0
1984/12/6,10.4,13.7,7.4
1984/12/7,6.2,11.2,1.5
1984/12/8,5.5,12.6,-0.8
1984/12/9,7.6,14.7,0.4
1984/12/10,14.8,20.2,5.7
1984/12/11,14.4,17.6,13.6
1984/12/12,14.6,18.6,12.4
1984/12/13,10.4,14.2,5.8
1984/12/14,10.1,12.4,5.8
1984/12/15,8.0,11.3,5.3
1984/12/16,6.7,8.4,5.6
1984/12/17,10.2,15.0,6.3
1984/12/18,7.6,12.0,4.9
1984/12/19,5.9,9.8,2.7
1984/12/20,6.1,11.4,0.1
1984/12/21,7.3,11.5,3.5
1984/12/22,4.8,8.2,1.9
1984/12/23,3.2,6.3,0.4
1984/12/24,2.4,4.5,0.8
1984/12/25,2.6,5.6,0.9
1984/12/26,4.9,7.6,1.2
1984/12/27,5.8,9.4,2.9
1984/12/28,4.0,7.1,2.1
1984/12/29,2.5,5.5,0.4
1984/12/30,2.3,6.2,-0.8
1984/12/31,3.2,9.1,-1.9
1985/1/1,4.9,10.7,-0.9
1985/1/2,5.2,10.5,-0.6
1985/1/3,5.8,8.5,3.4
1985/1/4,5.6,9.9,2.7
1985/1/5,4.2,7.4,1.4
1985/1/6,5.0,8.5,2.5
1985/1/7,3.8,8.4,-0.2
1985/1/8,2.5,7.2,-1.7
1985/1/9,3.6,9.5,-0.4
1985/1/10,5.8,9.7,0.4
1985/1/11,3.7,7.7,-1.4
1985/1/12,5.3,11.9,-1.2
1985/1/13,2.9,5.8,-0.4
1985/1/14,-0.7,2.7,-1.9
1985/1/15,2.1,6.5,-1.9
1985/1/16,6.4,9.8,1.4
1985/1/17,3.0,6.6,-0.2
1985/1/18,1.8,5.7,-2.4
1985/1/19,3.2,8.4,-3.1
1985/1/20,6.5,9.7,2.5
1985/1/21,3.9,8.9,-2.3
1985/1/22,3.7,10.8,-4.3
1985/1/23,7.2,12.3,3.8
1985/1/24,4.7,9.6,-0.2
1985/1/25,3.9,8.6,0.3
1985/1/26,4.3,8.9,-0.7
1985/1/27,3.8,8.4,-3.5
1985/1/28,5.4,8.9,1.8
1985/1/29,2.6,5.8,0.2
1985/1/30,0.6,3.3,-1.6
1985/1/31,2.3,7.1,-4.0
1985/2/1,8.7,12.2,2.4
1985/2/2,8.5,11.8,5.5
1985/2/3,8.1,13.9,1.5
1985/2/4,7.1,12.1,2.2
1985/2/5,7.2,8.2,6.0
1985/2/6,6.6,7.6,3.8
1985/2/7,8.2,13.6,3.4
1985/2/8,6.7,8.9,3.9
1985/2/9,11.4,14.8,7.2
1985/2/10,7.9,11.9,5.1
1985/2/11,6.4,11.1,2.4
1985/2/12,5.7,10.2,-0.1
1985/2/13,6.1,12.0,3.4
1985/2/14,4.2,6.5,0.1
1985/2/15,4.0,10.4,-2.0
1985/2/16,4.8,7.6,1.0
1985/2/17,5.5,9.3,0.9
1985/2/18,3.9,7.4,-1.1
1985/2/19,6.2,7.7,4.2
1985/2/20,6.8,10.5,2.7
1985/2/21,2.5,6.3,0.1
1985/2/22,2.5,5.5,0.4
1985/2/23,3.5,7.2,-0.2
1985/2/24,2.5,6.4,-0.5
1985/2/25,3.5,7.6,-1.1
1985/2/26,3.8,7.3,0.4
1985/2/27,5.0,8.0,2.2
1985/2/28,6.3,7.6,2.7
1985/3/1,9.1,12.4,5.9
1985/3/2,6.7,8.6,3.9
1985/3/3,7.5,10.8,4.2
1985/3/4,4.8,9.5,-0.2
1985/3/5,7.9,11.6,3.6
1985/3/6,8.2,13.8,3.4
1985/3/7,7.7,12.2,1.8
1985/3/8,11.5,14.8,7.2
1985/3/9,10.0,12.9,8.2
1985/3/10,7.4,10.7,4.8
1985/3/11,5.3,6.1,4.7
1985/3/12,7.1,11.5,4.4
1985/3/13,6.1,10.1,1.8
1985/3/14,7.3,10.2,5.2
1985/3/15,7.0,10.1,3.7
1985/3/16,8.5,14.1,0.6
1985/3/17,10.9,12.8,9.2
1985/3/18,11.1,16.4,7.7
1985/3/19,7.8,9.1,5.7
1985/3/20,7.8,11.2,2.9
1985/3/21,9.1,14.0,5.7
1985/3/22,8.8,14.3,2.8
1985/3/23,8.4,12.2,5.1
1985/3/24,9.0,15.2,1.7
1985/3/25,11.5,17.5,3.0
1985/3/26,12.7,16.2,9.8
1985/3/27,10.3,12.9,8.2
1985/3/28,12.9,19.0,9.2
1985/3/29,11.9,17.0,6.5
1985/3/30,9.5,12.9,6.6
1985/3/31,7.2,11.4,3.9
