ダウンロードした時刻：2019/10/10 16:03:03

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,16.4,19.7,13.9
1999/12/2,14.6,16.0,13.5
1999/12/3,14.1,16.4,12.0
1999/12/4,15.0,16.7,12.7
1999/12/5,17.3,19.0,15.8
1999/12/6,15.7,16.9,13.1
1999/12/7,11.8,13.2,10.4
1999/12/8,12.5,16.2,8.1
1999/12/9,14.8,17.0,12.6
1999/12/10,15.6,17.9,12.4
1999/12/11,15.6,17.9,11.6
1999/12/12,11.7,13.1,10.6
1999/12/13,12.9,15.2,11.5
1999/12/14,13.2,16.0,10.8
1999/12/15,12.6,16.2,10.9
1999/12/16,12.4,14.8,10.1
1999/12/17,14.7,17.4,12.6
1999/12/18,12.9,14.9,10.4
1999/12/19,9.8,11.6,9.1
1999/12/20,8.8,10.3,7.4
1999/12/21,8.1,9.9,6.8
1999/12/22,9.4,12.7,7.4
1999/12/23,9.8,13.2,6.3
1999/12/24,10.8,13.9,7.1
1999/12/25,12.6,15.0,9.0
1999/12/26,9.9,11.5,7.9
1999/12/27,9.8,12.9,7.6
1999/12/28,11.7,15.0,7.4
1999/12/29,13.5,15.6,11.6
1999/12/30,13.1,15.8,11.0
1999/12/31,13.6,16.4,10.8
2000/1/1,12.1,15.4,9.4
2000/1/2,12.0,15.5,8.9
2000/1/3,14.0,17.6,10.3
2000/1/4,12.3,14.7,10.8
2000/1/5,11.8,16.3,7.3
2000/1/6,15.9,19.2,10.1
2000/1/7,15.9,18.7,11.6
2000/1/8,11.7,14.5,10.0
2000/1/9,11.7,14.6,9.7
2000/1/10,14.6,18.1,10.2
2000/1/11,13.2,15.5,10.3
2000/1/12,14.1,16.0,12.2
2000/1/13,17.2,19.1,15.0
2000/1/14,14.0,16.7,11.8
2000/1/15,12.6,15.0,10.6
2000/1/16,13.8,16.3,12.1
2000/1/17,13.7,17.3,11.7
2000/1/18,12.1,14.4,10.7
2000/1/19,12.3,16.0,10.1
2000/1/20,9.5,13.3,5.6
2000/1/21,5.9,7.6,4.6
2000/1/22,6.5,9.8,3.0
2000/1/23,13.3,16.2,9.4
2000/1/24,14.4,17.9,12.3
2000/1/25,10.6,12.6,8.8
2000/1/26,8.2,10.8,5.9
2000/1/27,5.3,6.5,3.4
2000/1/28,6.5,10.0,3.5
2000/1/29,7.9,12.8,2.1
2000/1/30,11.9,16.6,5.0
2000/1/31,9.8,11.3,8.2
2000/2/1,8.9,11.8,7.0
2000/2/2,10.1,12.3,8.6
2000/2/3,11.0,14.7,8.4
2000/2/4,10.1,12.4,8.9
2000/2/5,9.7,14.0,5.3
2000/2/6,13.7,16.3,10.2
2000/2/7,11.6,16.2,9.8
2000/2/8,10.8,14.2,4.6
2000/2/9,7.4,10.1,5.9
2000/2/10,8.0,11.2,5.9
2000/2/11,11.4,14.9,9.2
2000/2/12,11.7,14.2,10.3
2000/2/13,11.4,15.2,8.1
2000/2/14,11.1,15.9,7.8
2000/2/15,9.1,13.2,2.7
2000/2/16,4.7,8.9,1.6
2000/2/17,6.3,9.2,3.2
2000/2/18,7.1,10.1,5.4
2000/2/19,8.4,11.0,6.7
2000/2/20,12.6,18.9,9.5
2000/2/21,8.6,11.6,5.8
2000/2/22,7.5,9.3,5.3
2000/2/23,9.1,12.1,7.1
2000/2/24,11.2,14.5,8.1
2000/2/25,6.5,9.8,4.2
2000/2/26,7.2,10.5,4.3
2000/2/27,8.4,11.6,5.3
2000/2/28,9.9,13.1,7.2
2000/2/29,6.7,9.1,4.5
2000/3/1,7.4,9.9,5.1
2000/3/2,11.8,16.0,6.4
2000/3/3,13.4,17.1,9.5
2000/3/4,16.1,18.6,12.4
2000/3/5,14.8,18.5,12.1
2000/3/6,13.7,17.2,10.3
2000/3/7,14.5,18.0,11.5
2000/3/8,10.3,13.5,8.0
2000/3/9,9.3,12.9,7.3
2000/3/10,8.7,11.1,6.9
2000/3/11,10.4,13.6,8.5
2000/3/12,10.0,11.0,7.8
2000/3/13,12.2,15.9,8.3
2000/3/14,11.0,14.6,8.0
2000/3/15,10.3,14.4,7.4
2000/3/16,14.2,17.8,10.0
2000/3/17,11.2,14.6,8.6
2000/3/18,11.5,15.3,7.3
2000/3/19,12.0,13.9,9.8
2000/3/20,12.0,15.7,9.3
2000/3/21,12.1,16.9,9.2
2000/3/22,12.1,15.6,7.1
2000/3/23,12.9,17.5,5.9
2000/3/24,13.7,17.2,10.0
2000/3/25,11.3,14.0,9.1
2000/3/26,11.2,15.5,8.6
2000/3/27,13.0,16.5,8.5
2000/3/28,15.8,18.1,12.5
2000/3/29,15.4,18.4,11.4
2000/3/30,13.7,16.7,11.6
2000/3/31,16.7,19.4,13.8
