ダウンロードした時刻：2019/10/10 15:54:36

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,3.4,9.7,-1.6
1981/12/2,0.8,5.2,-4.2
1981/12/3,-1.0,7.7,-7.4
1981/12/4,0.5,11.3,-6.2
1981/12/5,2.1,10.1,-5.8
1981/12/6,1.7,10.0,-3.7
1981/12/7,1.2,9.8,-4.4
1981/12/8,1.6,9.1,-3.9
1981/12/9,1.5,7.9,-4.4
1981/12/10,1.9,9.8,-4.5
1981/12/11,2.9,11.2,-3.7
1981/12/12,4.5,11.1,0.4
1981/12/13,3.3,7.4,-2.5
1981/12/14,-1.2,3.8,-5.6
1981/12/15,-0.9,5.6,-6.0
1981/12/16,-1.1,8.2,-8.0
1981/12/17,-0.3,9.0,-7.1
1981/12/18,-0.1,8.6,-7.0
1981/12/19,1.4,8.5,-4.4
1981/12/20,3.1,8.1,-1.8
1981/12/21,0.9,9.2,-5.0
1981/12/22,1.4,10.8,-5.5
1981/12/23,3.9,12.0,-3.7
1981/12/24,4.1,8.3,-3.4
1981/12/25,0.8,8.7,-5.1
1981/12/26,2.4,14.2,-5.6
1981/12/27,4.9,16.0,-3.1
1981/12/28,3.3,13.3,-3.1
1981/12/29,2.6,9.0,-2.5
1981/12/30,5.1,10.0,1.7
1981/12/31,2.0,4.4,1.0
1982/1/1,2.7,9.5,-2.2
1982/1/2,1.4,9.0,-3.9
1982/1/3,1.2,9.7,-5.7
1982/1/4,3.3,5.7,0.1
1982/1/5,6.2,11.6,2.9
1982/1/6,2.7,6.9,-1.2
1982/1/7,0.4,6.0,-5.0
1982/1/8,-2.4,5.5,-8.2
1982/1/9,0.8,6.3,-5.8
1982/1/10,1.7,9.6,-3.4
1982/1/11,1.5,10.6,-5.9
1982/1/12,6.0,10.9,-0.1
1982/1/13,3.2,7.7,0.0
1982/1/14,0.8,6.2,-4.3
1982/1/15,0.5,7.2,-5.9
1982/1/16,0.5,5.8,-3.3
1982/1/17,-1.2,6.4,-5.0
1982/1/18,-2.5,2.4,-8.4
1982/1/19,-0.5,3.2,-2.6
1982/1/20,-1.7,3.8,-7.5
1982/1/21,0.4,8.0,-5.9
1982/1/22,2.9,11.7,-5.6
1982/1/23,3.4,10.4,-2.8
1982/1/24,0.5,7.9,-7.1
1982/1/25,2.5,7.6,-2.5
1982/1/26,0.8,9.2,-6.1
1982/1/27,0.8,8.1,-5.3
1982/1/28,0.7,6.6,-3.9
1982/1/29,-3.9,-0.6,-6.6
1982/1/30,-4.2,2.9,-10.6
1982/1/31,-2.2,6.3,-10.9
1982/2/1,0.2,5.7,-3.3
1982/2/2,-1.5,6.3,-7.2
1982/2/3,-2.5,5.0,-8.3
1982/2/4,0.4,7.3,-2.5
1982/2/5,-2.0,4.3,-6.8
1982/2/6,-1.2,5.6,-6.8
1982/2/7,-2.1,2.7,-6.8
1982/2/8,-3.2,4.8,-10.2
1982/2/9,-1.5,6.1,-9.5
1982/2/10,0.2,5.3,-4.7
1982/2/11,-0.4,8.3,-8.7
1982/2/12,2.2,11.3,-2.5
1982/2/13,1.0,10.0,-5.6
1982/2/14,0.0,7.6,-6.3
1982/2/15,-0.6,8.3,-7.9
1982/2/16,1.8,11.5,-7.8
1982/2/17,-0.1,1.9,-1.8
1982/2/18,1.6,8.4,-3.2
1982/2/19,3.4,10.4,-2.7
1982/2/20,7.5,16.4,4.3
1982/2/21,4.2,7.0,0.4
1982/2/22,4.5,11.0,-1.8
1982/2/23,3.4,12.1,-2.4
1982/2/24,1.6,5.5,-0.9
1982/2/25,1.5,8.3,-1.7
1982/2/26,-0.5,6.5,-6.6
1982/2/27,1.8,12.3,-6.8
1982/2/28,5.3,13.0,-3.1
1982/3/1,3.5,6.4,1.1
1982/3/2,1.4,6.8,-3.5
1982/3/3,0.6,8.8,-6.8
1982/3/4,4.8,13.6,-5.7
1982/3/5,6.3,12.5,2.1
1982/3/6,6.9,12.2,3.1
1982/3/7,2.7,8.0,-1.9
1982/3/8,2.0,10.4,-5.3
1982/3/9,2.6,10.2,-4.0
1982/3/10,4.2,14.9,-4.4
1982/3/11,6.7,17.1,-3.7
1982/3/12,5.5,11.3,-1.6
1982/3/13,8.4,15.5,3.3
1982/3/14,7.6,15.3,0.1
1982/3/15,8.9,12.3,6.3
1982/3/16,13.5,21.9,9.5
1982/3/17,10.5,18.9,3.5
1982/3/18,8.3,14.3,2.0
1982/3/19,6.5,13.9,-0.5
1982/3/20,6.5,9.0,3.9
1982/3/21,7.0,11.3,3.0
1982/3/22,8.4,19.2,-1.1
1982/3/23,11.8,23.0,0.4
1982/3/24,10.5,18.1,0.8
1982/3/25,2.9,10.3,-1.6
1982/3/26,2.4,11.1,-5.1
1982/3/27,3.9,13.6,-3.6
1982/3/28,5.2,15.9,-3.4
1982/3/29,6.7,17.7,-2.8
1982/3/30,9.7,20.5,-1.8
1982/3/31,9.7,12.5,4.2
