ダウンロードした時刻：2019/10/10 16:10:00

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,5.2,9.4,1.1
1987/12/2,3.7,8.2,-0.2
1987/12/3,5.1,10.2,1.1
1987/12/4,4.9,9.3,1.1
1987/12/5,5.1,8.6,1.7
1987/12/6,5.1,8.8,2.5
1987/12/7,4.7,9.4,-0.2
1987/12/8,6.2,11.8,0.1
1987/12/9,7.9,9.4,6.6
1987/12/10,9.0,12.3,4.9
1987/12/11,9.1,12.2,6.7
1987/12/12,9.3,12.6,6.7
1987/12/13,8.2,12.9,4.8
1987/12/14,6.9,12.1,1.7
1987/12/15,7.6,12.1,2.6
1987/12/16,9.1,12.2,4.6
1987/12/17,7.1,12.0,2.1
1987/12/18,6.0,9.8,1.7
1987/12/19,7.5,13.6,2.2
1987/12/20,7.9,13.2,2.7
1987/12/21,7.5,11.4,3.5
1987/12/22,6.6,12.0,0.5
1987/12/23,8.0,13.7,2.7
1987/12/24,7.4,14.0,1.5
1987/12/25,8.0,15.2,2.2
1987/12/26,11.1,18.0,5.4
1987/12/27,10.4,17.4,4.8
1987/12/28,10.8,18.2,5.0
1987/12/29,11.0,17.3,5.4
1987/12/30,8.4,14.8,4.8
1987/12/31,6.2,10.5,2.9
1988/1/1,6.0,12.2,0.1
1988/1/2,8.1,11.5,4.6
1988/1/3,8.7,12.0,5.2
1988/1/4,7.0,8.8,4.0
1988/1/5,6.5,8.1,4.5
1988/1/6,4.5,8.8,0.9
1988/1/7,3.0,4.4,0.6
1988/1/8,7.5,11.8,3.8
1988/1/9,6.0,8.7,2.0
1988/1/10,2.9,6.4,0.2
1988/1/11,2.9,7.3,-2.3
1988/1/12,3.2,7.7,-1.8
1988/1/13,5.2,11.0,-0.8
1988/1/14,6.1,12.7,0.0
1988/1/15,6.6,8.0,3.9
1988/1/16,9.1,13.2,6.6
1988/1/17,6.5,10.8,2.5
1988/1/18,5.6,8.2,3.6
1988/1/19,4.4,8.2,0.8
1988/1/20,5.1,11.7,-0.5
1988/1/21,7.4,12.5,1.5
1988/1/22,11.1,14.6,8.5
1988/1/23,4.2,12.0,-0.4
1988/1/24,1.3,4.2,-1.9
1988/1/25,4.3,8.3,0.4
1988/1/26,5.2,9.0,1.4
1988/1/27,4.8,9.8,0.3
1988/1/28,6.4,11.0,2.6
1988/1/29,6.9,12.9,1.7
1988/1/30,6.9,11.4,1.3
1988/1/31,4.8,8.8,1.6
1988/2/1,4.6,9.0,0.1
1988/2/2,3.5,11.0,-0.8
1988/2/3,-0.3,2.6,-2.4
1988/2/4,3.9,8.0,-1.3
1988/2/5,7.6,12.4,2.2
1988/2/6,7.2,11.9,2.3
1988/2/7,1.2,4.3,-1.1
1988/2/8,3.2,7.5,-0.4
1988/2/9,2.9,8.2,-0.9
1988/2/10,2.6,7.2,-0.8
1988/2/11,3.6,6.8,-0.1
1988/2/12,5.5,10.4,1.4
1988/2/13,5.7,11.4,0.4
1988/2/14,5.2,10.3,-0.3
1988/2/15,4.8,8.1,2.2
1988/2/16,3.5,8.0,0.9
1988/2/17,3.1,6.2,0.0
1988/2/18,2.6,7.1,-0.8
1988/2/19,4.1,9.6,-0.7
1988/2/20,5.4,10.2,-0.3
1988/2/21,4.7,7.6,1.8
1988/2/22,4.3,8.6,-2.0
1988/2/23,7.0,8.7,4.5
1988/2/24,7.3,11.6,4.3
1988/2/25,6.2,11.0,0.3
1988/2/26,6.8,9.0,4.8
1988/2/27,4.7,5.7,3.3
1988/2/28,5.8,10.2,1.7
1988/2/29,5.1,7.8,2.3
1988/3/1,6.8,8.2,4.8
1988/3/2,9.0,13.3,6.1
1988/3/3,4.1,7.7,0.0
1988/3/4,3.1,8.1,-1.8
1988/3/5,4.2,8.9,-0.3
1988/3/6,5.7,10.6,0.2
1988/3/7,3.8,8.5,-0.2
1988/3/8,3.6,8.3,-1.1
1988/3/9,4.7,9.8,-0.7
1988/3/10,7.3,13.8,0.5
1988/3/11,9.2,15.1,1.5
1988/3/12,11.6,14.0,7.7
1988/3/13,10.7,16.9,4.3
1988/3/14,11.8,15.0,7.4
1988/3/15,8.8,13.3,3.9
1988/3/16,4.4,5.9,2.6
1988/3/17,4.1,6.2,0.9
1988/3/18,8.2,13.7,4.8
1988/3/19,9.3,15.2,2.8
1988/3/20,9.3,12.1,5.6
1988/3/21,8.9,11.3,6.8
1988/3/22,10.8,14.0,8.4
1988/3/23,10.0,13.8,7.2
1988/3/24,8.7,13.9,2.9
1988/3/25,7.3,8.8,5.2
1988/3/26,7.9,9.5,6.2
1988/3/27,7.7,13.2,3.2
1988/3/28,9.1,14.0,1.2
1988/3/29,10.4,14.9,8.2
1988/3/30,9.3,12.2,6.7
1988/3/31,9.3,15.5,3.4
