ダウンロードした時刻：2019/10/10 16:23:29

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,10.3,12.8,8.2
2012/12/2,10.7,14.2,6.9
2012/12/3,12.1,16.8,5.4
2012/12/4,8.8,11.2,7.0
2012/12/5,9.3,12.7,7.2
2012/12/6,6.1,9.3,3.5
2012/12/7,9.5,15.4,2.0
2012/12/8,8.6,11.6,5.8
2012/12/9,6.4,8.9,4.5
2012/12/10,6.4,7.6,5.6
2012/12/11,7.0,8.2,6.1
2012/12/12,6.0,9.4,0.3
2012/12/13,7.3,13.8,-0.3
2012/12/14,16.4,18.6,13.6
2012/12/15,14.6,17.0,13.3
2012/12/16,12.5,15.7,8.4
2012/12/17,10.7,12.5,9.1
2012/12/18,6.4,9.6,5.1
2012/12/19,4.4,6.7,1.3
2012/12/20,5.8,11.3,0.7
2012/12/21,12.7,17.5,4.4
2012/12/22,10.5,14.1,8.4
2012/12/23,5.0,8.9,1.0
2012/12/24,3.5,5.7,1.6
2012/12/25,7.3,9.6,4.2
2012/12/26,5.8,8.7,1.5
2012/12/27,6.4,10.9,0.6
2012/12/28,11.2,17.5,7.0
2012/12/29,10.9,14.1,6.8
2012/12/30,6.6,13.4,4.0
2012/12/31,2.4,4.6,0.4
2013/1/1,6.9,11.5,2.2
2013/1/2,7.4,11.3,3.8
2013/1/3,3.1,6.3,2.0
2013/1/4,3.3,7.0,0.2
2013/1/5,4.7,7.4,0.8
2013/1/6,5.9,8.7,2.5
2013/1/7,6.6,9.6,2.6
2013/1/8,8.7,12.2,6.5
2013/1/9,6.1,8.0,3.5
2013/1/10,3.5,4.8,1.6
2013/1/11,3.8,9.6,-1.8
2013/1/12,7.2,14.3,1.1
2013/1/13,7.6,10.8,2.5
2013/1/14,10.0,12.4,7.7
2013/1/15,7.3,12.1,1.8
2013/1/16,7.6,10.9,1.2
2013/1/17,5.5,8.1,4.1
2013/1/18,5.1,8.8,1.5
2013/1/19,6.7,9.6,0.8
2013/1/20,8.0,12.3,2.8
2013/1/21,13.4,16.8,7.5
2013/1/22,10.6,15.2,9.3
2013/1/23,9.2,10.2,7.9
2013/1/24,9.0,12.5,5.1
2013/1/25,5.3,8.3,4.2
2013/1/26,5.3,7.4,3.9
2013/1/27,4.1,6.1,2.9
2013/1/28,4.8,8.8,1.2
2013/1/29,5.9,11.8,-0.1
2013/1/30,7.4,13.8,1.3
2013/1/31,10.6,15.6,1.9
2013/2/1,15.5,18.0,14.2
2013/2/2,11.5,14.2,9.2
2013/2/3,10.4,14.4,4.7
2013/2/4,14.4,19.6,9.7
2013/2/5,10.3,11.9,9.0
2013/2/6,8.8,11.2,7.3
2013/2/7,5.1,7.9,0.8
2013/2/8,0.6,3.5,-0.5
2013/2/9,4.2,6.8,2.3
2013/2/10,6.8,9.8,4.0
2013/2/11,6.7,11.4,1.8
2013/2/12,5.9,8.9,0.6
2013/2/13,5.7,9.1,2.0
2013/2/14,6.4,10.4,1.2
2013/2/15,8.4,12.6,6.2
2013/2/16,5.6,8.9,1.3
2013/2/17,9.6,15.1,1.0
2013/2/18,12.6,17.0,8.6
2013/2/19,7.5,8.7,6.5
2013/2/20,5.4,8.5,2.1
2013/2/21,6.3,9.7,2.2
2013/2/22,7.6,12.4,2.7
2013/2/23,8.1,9.9,6.4
2013/2/24,7.3,11.5,3.3
2013/2/25,8.8,12.2,2.8
2013/2/26,11.5,13.9,8.0
2013/2/27,11.8,15.5,5.8
2013/2/28,12.5,17.5,5.6
2013/3/1,12.3,18.1,6.6
2013/3/2,6.5,8.6,5.3
2013/3/3,7.6,11.4,5.3
2013/3/4,10.6,13.7,6.2
2013/3/5,9.4,15.5,3.3
2013/3/6,10.0,17.4,2.6
2013/3/7,14.7,19.6,6.1
2013/3/8,15.6,20.9,7.3
2013/3/9,16.5,21.6,9.6
2013/3/10,14.9,19.9,9.9
2013/3/11,9.9,14.9,5.0
2013/3/12,12.9,18.1,4.0
2013/3/13,14.9,19.3,10.7
2013/3/14,9.2,12.2,6.9
2013/3/15,9.6,14.6,5.0
2013/3/16,10.6,17.3,4.2
2013/3/17,12.5,17.9,5.2
2013/3/18,15.4,18.5,9.3
2013/3/19,14.6,18.5,9.0
2013/3/20,13.3,16.6,7.9
2013/3/21,8.2,13.1,2.9
2013/3/22,9.1,13.6,1.3
2013/3/23,11.8,15.3,7.6
2013/3/24,12.6,16.3,9.8
2013/3/25,10.1,12.6,6.4
2013/3/26,9.2,13.2,3.0
2013/3/27,11.7,15.4,8.9
2013/3/28,14.5,19.8,9.2
2013/3/29,13.3,15.8,10.3
2013/3/30,13.0,18.1,7.9
2013/3/31,13.3,17.0,10.7
