ダウンロードした時刻：2019/10/10 16:13:31

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,10.7,15.7,6.9
2015/12/2,12.8,19.4,5.7
2015/12/3,12.6,14.6,10.3
2015/12/4,10.4,12.3,7.3
2015/12/5,11.0,13.3,8.4
2015/12/6,10.3,13.1,7.3
2015/12/7,11.1,14.7,8.0
2015/12/8,9.8,14.7,4.4
2015/12/9,9.9,16.0,4.8
2015/12/10,12.9,15.5,9.6
2015/12/11,17.0,23.6,12.7
2015/12/12,12.3,14.5,10.9
2015/12/13,11.7,15.5,8.9
2015/12/14,12.2,16.3,9.2
2015/12/15,13.8,18.4,10.2
2015/12/16,12.6,14.6,9.6
2015/12/17,8.4,10.4,6.7
2015/12/18,7.6,9.4,6.0
2015/12/19,8.1,11.3,5.1
2015/12/20,7.5,12.6,2.0
2015/12/21,9.6,12.1,7.3
2015/12/22,10.4,14.7,6.9
2015/12/23,9.1,11.1,6.2
2015/12/24,12.0,15.3,9.6
2015/12/25,10.9,13.8,9.2
2015/12/26,10.3,12.7,7.5
2015/12/27,9.6,11.8,5.4
2015/12/28,6.9,10.8,2.4
2015/12/29,7.3,9.6,4.5
2015/12/30,6.0,11.3,1.5
2015/12/31,7.6,12.4,3.3
2016/1/1,7.8,11.1,3.9
2016/1/2,7.7,13.5,2.2
2016/1/3,11.2,16.1,8.1
2016/1/4,11.4,16.6,6.1
2016/1/5,9.9,12.9,6.9
2016/1/6,9.8,11.9,8.0
2016/1/7,9.7,12.1,7.8
2016/1/8,7.9,11.9,5.2
2016/1/9,7.1,10.2,4.2
2016/1/10,7.1,11.2,3.7
2016/1/11,7.4,11.8,3.4
2016/1/12,7.5,10.2,4.3
2016/1/13,6.1,11.5,1.4
2016/1/14,6.1,9.0,2.4
2016/1/15,6.3,9.7,2.2
2016/1/16,5.4,10.3,1.3
2016/1/17,6.5,10.4,1.9
2016/1/18,8.7,12.4,6.1
2016/1/19,3.7,6.7,0.5
2016/1/20,5.2,8.8,1.6
2016/1/21,5.2,7.9,1.7
2016/1/22,5.6,9.1,3.7
2016/1/23,4.5,7.3,2.6
2016/1/24,-0.4,2.8,-2.7
2016/1/25,2.9,6.3,-1.6
2016/1/26,4.4,8.4,-0.8
2016/1/27,8.0,10.8,4.6
2016/1/28,7.9,13.1,2.3
2016/1/29,9.2,10.9,7.7
2016/1/30,8.5,10.2,7.4
2016/1/31,8.2,11.8,5.6
2016/2/1,6.9,9.4,5.2
2016/2/2,6.7,9.8,4.1
2016/2/3,5.0,9.4,1.0
2016/2/4,5.6,10.5,0.6
2016/2/5,6.0,10.7,2.0
2016/2/6,5.8,9.0,1.7
2016/2/7,4.9,8.0,2.1
2016/2/8,5.4,10.9,0.1
2016/2/9,7.7,11.8,4.2
2016/2/10,6.5,9.6,3.6
2016/2/11,6.6,12.3,1.2
2016/2/12,11.5,17.7,3.8
2016/2/13,17.7,20.2,14.1
2016/2/14,16.2,20.3,10.5
2016/2/15,6.5,10.7,2.8
2016/2/16,5.1,8.2,2.4
2016/2/17,6.9,9.8,4.0
2016/2/18,6.2,10.9,0.5
2016/2/19,9.7,15.5,4.2
2016/2/20,9.2,10.6,8.1
2016/2/21,8.5,11.1,5.2
2016/2/22,6.3,9.0,3.1
2016/2/23,7.9,9.9,6.2
2016/2/24,6.1,8.9,3.1
2016/2/25,5.0,8.8,0.9
2016/2/26,5.4,9.9,0.7
2016/2/27,8.3,14.6,1.4
2016/2/28,10.6,15.7,5.0
2016/2/29,8.6,14.7,2.8
2016/3/1,4.1,7.4,1.5
2016/3/2,6.9,11.0,3.1
2016/3/3,8.8,15.5,1.9
2016/3/4,10.9,16.8,4.7
2016/3/5,15.3,21.2,9.5
2016/3/6,17.8,20.2,16.0
2016/3/7,17.2,21.6,14.4
2016/3/8,16.0,21.5,11.3
2016/3/9,9.9,14.2,6.9
2016/3/10,7.8,9.6,6.0
2016/3/11,7.7,11.8,5.0
2016/3/12,7.1,11.8,2.0
2016/3/13,8.4,13.6,4.0
2016/3/14,6.8,8.2,4.6
2016/3/15,8.7,12.4,5.8
2016/3/16,9.2,14.6,3.3
2016/3/17,12.6,19.8,6.0
2016/3/18,15.1,20.9,9.6
2016/3/19,15.1,18.7,11.4
2016/3/20,11.3,15.0,9.0
2016/3/21,10.0,13.8,7.2
2016/3/22,10.7,17.2,3.4
2016/3/23,12.6,19.1,6.9
2016/3/24,9.6,12.6,6.8
2016/3/25,7.9,11.5,5.2
2016/3/26,8.0,12.7,2.1
2016/3/27,9.7,16.0,4.5
2016/3/28,10.9,15.8,6.0
2016/3/29,12.0,17.2,5.7
2016/3/30,14.4,19.3,9.2
2016/3/31,16.0,22.3,11.2
