ダウンロードした時刻：2019/10/10 15:44:20

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,5.5,8.1,1.9
1987/12/2,1.9,4.3,0.5
1987/12/3,3.9,6.2,0.9
1987/12/4,2.6,5.3,1.3
1987/12/5,5.0,8.4,2.7
1987/12/6,2.7,5.3,1.0
1987/12/7,2.7,7.4,0.1
1987/12/8,5.1,12.0,-0.7
1987/12/9,7.2,11.6,2.9
1987/12/10,9.1,15.5,5.3
1987/12/11,8.8,14.0,4.3
1987/12/12,5.6,8.0,3.8
1987/12/13,5.7,10.8,3.0
1987/12/14,6.5,12.0,1.0
1987/12/15,9.2,14.0,6.3
1987/12/16,8.2,11.1,6.1
1987/12/17,4.6,9.5,1.3
1987/12/18,3.0,6.8,0.3
1987/12/19,7.3,12.4,0.2
1987/12/20,7.0,9.8,5.6
1987/12/21,6.0,8.2,3.9
1987/12/22,9.2,12.9,3.8
1987/12/23,7.8,11.7,4.8
1987/12/24,8.9,14.6,4.0
1987/12/25,12.4,19.3,5.1
1987/12/26,12.6,17.8,8.3
1987/12/27,14.7,17.9,11.3
1987/12/28,14.5,19.3,8.4
1987/12/29,15.1,19.3,10.3
1987/12/30,8.8,16.8,2.5
1987/12/31,2.8,7.4,0.8
1988/1/1,7.5,12.7,0.0
1988/1/2,8.7,13.0,5.0
1988/1/3,5.6,8.4,3.5
1988/1/4,6.3,11.9,1.4
1988/1/5,2.3,3.7,1.6
1988/1/6,2.1,5.8,-0.8
1988/1/7,4.0,8.3,-1.6
1988/1/8,7.8,10.4,6.0
1988/1/9,3.6,8.0,0.7
1988/1/10,0.3,1.4,-0.4
1988/1/11,1.6,3.8,-0.2
1988/1/12,4.0,7.9,1.8
1988/1/13,6.0,10.5,2.7
1988/1/14,7.4,14.4,2.6
1988/1/15,8.3,12.3,4.3
1988/1/16,5.8,12.3,1.8
1988/1/17,5.0,8.8,2.6
1988/1/18,3.2,6.2,0.6
1988/1/19,3.2,7.5,0.6
1988/1/20,7.1,13.8,0.4
1988/1/21,7.7,16.6,1.7
1988/1/22,11.9,15.4,8.5
1988/1/23,3.4,11.4,-0.3
1988/1/24,0.9,3.0,-0.5
1988/1/25,2.1,4.2,0.3
1988/1/26,2.8,4.5,1.4
1988/1/27,3.3,5.7,1.3
1988/1/28,4.6,7.3,2.5
1988/1/29,7.5,11.2,3.0
1988/1/30,3.8,5.9,0.5
1988/1/31,2.4,5.0,0.8
1988/2/1,3.5,6.9,0.4
1988/2/2,3.9,7.8,-1.7
1988/2/3,-1.9,-0.3,-3.3
1988/2/4,2.7,5.6,-1.7
1988/2/5,10.0,13.1,2.8
1988/2/6,4.6,8.1,1.7
1988/2/7,-0.2,2.7,-1.6
1988/2/8,0.7,3.1,-0.9
1988/2/9,1.7,4.9,-0.6
1988/2/10,0.0,3.0,-1.1
1988/2/11,0.4,3.2,-1.1
1988/2/12,2.4,6.3,-1.3
1988/2/13,2.3,5.8,0.1
1988/2/14,0.6,4.6,-0.9
1988/2/15,-0.3,2.2,-1.9
1988/2/16,-1.6,0.6,-2.8
1988/2/17,-0.6,2.8,-2.9
1988/2/18,-0.6,3.7,-3.5
1988/2/19,1.8,4.8,-2.0
1988/2/20,2.3,6.5,0.5
1988/2/21,0.0,3.0,-2.6
1988/2/22,0.7,6.6,-5.5
1988/2/23,4.8,9.6,1.0
1988/2/24,3.1,6.2,1.0
1988/2/25,2.7,5.8,-1.0
1988/2/26,4.3,7.7,2.0
1988/2/27,3.7,5.8,1.2
1988/2/28,3.2,7.5,0.2
1988/2/29,4.4,7.7,0.4
1988/3/1,4.8,5.7,3.7
1988/3/2,6.5,10.8,4.2
1988/3/3,3.1,6.1,-0.5
1988/3/4,1.9,5.3,-1.6
1988/3/5,4.2,6.8,0.7
1988/3/6,2.8,4.8,0.8
1988/3/7,1.5,4.2,-0.2
1988/3/8,1.2,4.2,-0.7
1988/3/9,3.0,6.0,0.6
1988/3/10,5.2,9.9,1.4
1988/3/11,9.7,17.1,1.1
1988/3/12,9.3,17.5,5.1
1988/3/13,9.4,15.6,3.9
1988/3/14,10.2,15.8,4.2
1988/3/15,3.7,8.1,-0.7
1988/3/16,2.1,5.6,-1.7
1988/3/17,3.7,5.8,2.1
1988/3/18,5.7,9.2,2.5
1988/3/19,7.2,11.7,2.0
1988/3/20,5.6,8.7,3.8
1988/3/21,6.1,7.5,4.6
1988/3/22,8.5,11.2,5.6
1988/3/23,7.5,10.2,5.3
1988/3/24,5.1,10.0,1.6
1988/3/25,6.0,10.6,2.3
1988/3/26,4.9,6.1,3.5
1988/3/27,4.7,8.6,1.3
1988/3/28,6.6,12.4,-0.6
1988/3/29,8.1,11.8,4.7
1988/3/30,8.5,11.8,6.8
1988/3/31,7.3,9.9,3.4
