ダウンロードした時刻：2017/07/24 15:38:41

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,1.5,5.9,-0.6
1987/1/2,1.6,3.3,-0.4
1987/1/3,5.7,10.2,2.8
1987/1/4,1.4,4.8,0.3
1987/1/5,0.8,2.4,-0.9
1987/1/6,2.1,5.0,-0.2
1987/1/7,3.0,5.2,0.2
1987/1/8,5.6,9.4,2.1
1987/1/9,1.8,8.7,-1.3
1987/1/10,-2.0,-0.8,-3.8
1987/1/11,-0.6,1.6,-3.2
1987/1/12,1.7,3.8,-2.1
1987/1/13,3.0,5.4,0.2
1987/1/14,2.1,5.7,0.0
1987/1/15,3.7,6.3,2.5
1987/1/16,5.2,9.5,1.2
1987/1/17,6.6,11.7,2.6
1987/1/18,2.4,4.5,0.0
1987/1/19,-0.1,3.1,-2.0
1987/1/20,-1.0,0.3,-2.4
1987/1/21,-0.2,0.9,-1.1
1987/1/22,1.6,5.5,-1.7
1987/1/23,3.9,8.2,-1.1
1987/1/24,4.8,10.0,1.3
1987/1/25,-0.8,1.9,-3.3
1987/1/26,-0.2,1.9,-3.2
1987/1/27,2.1,4.2,0.8
1987/1/28,4.6,8.5,1.2
1987/1/29,7.5,12.3,3.8
1987/1/30,3.7,10.3,0.1
1987/1/31,-0.2,1.3,-1.5
1987/2/1,-1.0,1.7,-3.5
1987/2/2,0.1,3.6,-4.7
1987/2/3,1.4,2.4,0.4
1987/2/4,1.9,3.2,-0.1
1987/2/5,5.2,7.4,2.7
1987/2/6,4.6,7.7,1.4
1987/2/7,5.7,11.2,1.2
1987/2/8,5.3,8.1,0.4
1987/2/9,7.2,11.9,-0.7
1987/2/10,10.3,15.7,5.9
1987/2/11,9.6,12.6,7.2
1987/2/12,3.5,8.7,0.9
1987/2/13,2.2,5.1,-0.3
1987/2/14,2.9,8.0,-0.2
1987/2/15,0.2,0.7,-0.4
1987/2/16,0.5,1.7,-0.6
1987/2/17,1.8,3.4,-0.7
1987/2/18,2.3,4.7,0.4
1987/2/19,0.5,2.5,-0.7
1987/2/20,0.6,2.0,-1.3
1987/2/21,1.8,5.2,-1.1
1987/2/22,3.2,7.6,-2.4
1987/2/23,5.3,10.1,0.3
1987/2/24,8.1,14.5,4.7
1987/2/25,1.8,7.7,-1.4
1987/2/26,0.4,2.4,-1.6
1987/2/27,1.5,3.9,-1.2
1987/2/28,0.6,2.6,-0.9
1987/3/1,-0.1,2.1,-2.0
1987/3/2,1.7,3.7,-2.7
1987/3/3,4.5,7.1,0.4
1987/3/4,6.9,10.2,3.5
1987/3/5,7.4,11.7,3.0
1987/3/6,0.7,4.9,0.0
1987/3/7,1.2,2.4,-0.7
1987/3/8,2.7,6.7,-0.2
1987/3/9,3.7,9.3,0.3
1987/3/10,2.0,4.7,-0.5
1987/3/11,2.6,4.3,0.1
1987/3/12,5.9,8.3,2.7
1987/3/13,8.0,11.7,0.9
1987/3/14,8.3,15.1,4.6
1987/3/15,3.8,6.1,2.5
1987/3/16,4.2,5.9,2.8
1987/3/17,4.7,7.8,-1.2
1987/3/18,6.7,10.0,4.3
1987/3/19,7.5,10.1,3.7
1987/3/20,7.4,9.6,5.0
1987/3/21,7.9,13.8,3.3
1987/3/22,9.2,11.3,7.4
1987/3/23,11.2,15.5,9.2
1987/3/24,11.9,16.1,7.9
1987/3/25,5.0,9.7,0.4
1987/3/26,1.7,4.9,0.1
1987/3/27,4.9,10.0,0.7
1987/3/28,6.9,11.4,1.2
1987/3/29,8.9,15.7,3.0
1987/3/30,10.2,17.0,3.3
1987/3/31,2.7,11.0,1.1
1987/4/1,3.3,6.5,-0.9
1987/4/2,5.9,11.0,0.6
1987/4/3,7.9,12.9,3.1
1987/4/4,9.8,13.3,4.8
1987/4/5,10.3,14.9,4.4
1987/4/6,12.4,16.4,5.7
1987/4/7,13.5,15.6,11.9
1987/4/8,9.8,12.9,7.1
1987/4/9,14.0,22.1,5.0
1987/4/10,13.4,15.9,10.8
1987/4/11,5.9,10.8,3.5
1987/4/12,4.0,8.9,2.3
1987/4/13,3.2,5.2,0.9
1987/4/14,4.8,9.6,0.4
1987/4/15,7.4,12.9,0.4
1987/4/16,9.0,13.2,2.3
1987/4/17,13.3,19.4,7.3
1987/4/18,15.3,22.6,8.5
1987/4/19,14.3,21.0,9.2
1987/4/20,15.9,21.9,9.2
1987/4/21,20.8,30.7,11.7
1987/4/22,14.9,23.5,12.2
1987/4/23,14.8,18.2,9.9
1987/4/24,10.6,14.0,7.0
1987/4/25,7.3,9.9,5.1
1987/4/26,6.6,7.8,5.3
1987/4/27,8.8,12.5,5.7
1987/4/28,12.3,19.1,5.7
1987/4/29,14.5,21.2,8.1
1987/4/30,18.3,26.6,11.0
1987/5/1,18.4,24.7,14.3
