ダウンロードした時刻：2017/07/24 15:46:28

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,11.9,19.0,2.5
1997/1/2,2.9,5.5,1.1
1997/1/3,3.6,5.6,1.7
1997/1/4,4.3,8.8,0.4
1997/1/5,6.7,10.9,2.2
1997/1/6,1.9,3.3,0.5
1997/1/7,3.0,6.0,0.0
1997/1/8,3.6,7.1,-0.2
1997/1/9,4.2,7.8,0.4
1997/1/10,3.5,7.7,0.2
1997/1/11,6.3,10.1,0.8
1997/1/12,7.5,9.5,6.2
1997/1/13,8.2,13.2,3.2
1997/1/14,8.4,12.0,1.8
1997/1/15,4.9,9.7,0.2
1997/1/16,5.3,11.0,1.7
1997/1/17,7.3,11.4,1.6
1997/1/18,6.1,9.6,1.5
1997/1/19,4.6,7.9,0.5
1997/1/20,7.0,10.1,1.3
1997/1/21,3.3,8.4,-1.9
1997/1/22,0.1,4.9,-2.9
1997/1/23,3.2,7.7,-1.5
1997/1/24,4.3,5.1,3.3
1997/1/25,4.1,6.6,1.6
1997/1/26,6.8,9.9,3.1
1997/1/27,7.7,10.4,5.9
1997/1/28,5.7,7.9,2.5
1997/1/29,3.4,4.8,2.2
1997/1/30,4.1,8.1,-1.4
1997/1/31,6.8,10.4,2.8
1997/2/1,5.5,8.3,1.0
1997/2/2,5.9,8.4,1.7
1997/2/3,4.6,8.4,1.4
1997/2/4,4.6,8.8,0.4
1997/2/5,6.1,9.9,1.9
1997/2/6,5.2,7.6,2.2
1997/2/7,7.4,9.9,3.4
1997/2/8,6.7,12.0,2.9
1997/2/9,8.1,12.9,3.1
1997/2/10,7.7,12.7,2.9
1997/2/11,3.9,5.8,2.3
1997/2/12,2.7,6.3,-0.8
1997/2/13,2.7,6.8,-0.9
1997/2/14,4.4,9.7,-1.2
1997/2/15,7.5,11.2,3.6
1997/2/16,5.1,8.6,1.6
1997/2/17,4.0,6.6,1.4
1997/2/18,4.2,6.2,2.3
1997/2/19,4.2,6.8,0.9
1997/2/20,9.3,13.2,3.5
1997/2/21,6.8,9.8,2.6
1997/2/22,5.4,9.0,2.0
1997/2/23,6.7,10.8,3.2
1997/2/24,9.5,15.2,3.3
1997/2/25,15.1,18.2,9.4
1997/2/26,11.5,14.8,9.9
1997/2/27,10.9,13.4,7.2
1997/2/28,13.7,17.9,7.0
1997/3/1,10.1,13.9,4.6
1997/3/2,9.0,13.7,4.3
1997/3/3,5.9,8.8,1.9
1997/3/4,8.4,12.5,0.9
1997/3/5,11.4,15.8,7.0
1997/3/6,12.3,15.4,6.6
1997/3/7,13.5,16.6,11.4
1997/3/8,12.2,16.5,5.6
1997/3/9,13.2,16.9,8.6
1997/3/10,13.1,16.9,8.7
1997/3/11,12.2,14.3,10.2
1997/3/12,11.4,12.9,10.1
1997/3/13,12.0,13.3,9.4
1997/3/14,12.2,13.6,10.1
1997/3/15,9.6,10.4,8.6
1997/3/16,8.2,10.2,6.2
1997/3/17,8.1,10.5,6.3
1997/3/18,9.0,13.1,5.2
1997/3/19,10.0,14.2,5.1
1997/3/20,11.0,12.9,9.9
1997/3/21,10.9,14.3,5.8
1997/3/22,11.3,15.0,7.6
1997/3/23,8.9,14.5,4.8
1997/3/24,7.2,11.2,3.2
1997/3/25,12.4,16.7,8.4
1997/3/26,10.6,14.0,6.1
1997/3/27,11.0,16.4,5.9
1997/3/28,13.1,18.4,7.4
1997/3/29,12.9,14.6,11.0
1997/3/30,9.3,12.5,7.5
1997/3/31,7.9,12.2,3.9
1997/4/1,10.7,16.0,3.5
1997/4/2,16.0,19.0,11.0
1997/4/3,12.6,16.9,12.2
1997/4/4,12.0,12.5,11.6
1997/4/5,11.9,12.3,11.3
1997/4/6,12.3,14.4,9.0
1997/4/7,12.1,17.8,7.0
1997/4/8,14.4,17.3,10.2
1997/4/9,13.9,16.5,11.5
1997/4/10,12.5,16.6,7.5
1997/4/11,14.4,17.9,11.2
1997/4/12,15.3,18.5,11.2
1997/4/13,16.9,19.9,12.4
1997/4/14,18.1,21.9,14.1
1997/4/15,13.6,15.5,12.6
1997/4/16,12.2,16.4,8.3
1997/4/17,14.1,18.1,7.7
1997/4/18,13.7,16.0,9.7
1997/4/19,12.5,17.6,7.6
1997/4/20,13.7,19.3,8.2
1997/4/21,14.8,16.7,11.2
1997/4/22,14.4,15.9,13.2
1997/4/23,13.0,14.7,11.8
1997/4/24,12.6,17.2,7.6
1997/4/25,15.0,20.8,9.3
1997/4/26,15.8,22.3,10.1
1997/4/27,15.1,20.7,11.1
1997/4/28,16.1,19.2,11.2
1997/4/29,18.8,21.3,16.5
1997/4/30,17.3,20.4,13.0
1997/5/1,17.6,24.0,11.3
