ダウンロードした時刻：2017/07/24 15:43:15

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,7.0,9.2,5.8
1989/1/2,5.4,11.7,2.0
1989/1/3,7.4,9.6,2.2
1989/1/4,5.6,8.1,4.8
1989/1/5,4.7,8.9,-0.3
1989/1/6,4.2,10.4,-2.3
1989/1/7,10.2,13.5,4.3
1989/1/8,12.7,15.2,11.1
1989/1/9,11.1,13.0,10.1
1989/1/10,9.4,13.0,5.4
1989/1/11,6.5,9.1,2.9
1989/1/12,6.5,9.3,4.6
1989/1/13,4.9,7.5,2.0
1989/1/14,5.0,8.9,2.7
1989/1/15,2.2,4.5,-0.9
1989/1/16,4.1,10.1,-1.9
1989/1/17,5.2,11.7,0.8
1989/1/18,6.1,12.8,-0.3
1989/1/19,15.0,18.0,12.4
1989/1/20,12.6,18.0,8.6
1989/1/21,8.7,10.5,7.0
1989/1/22,6.3,8.1,4.1
1989/1/23,5.6,8.3,3.3
1989/1/24,6.4,9.4,2.8
1989/1/25,5.7,11.7,0.4
1989/1/26,6.2,10.6,2.1
1989/1/27,3.0,7.6,-0.7
1989/1/28,1.4,2.9,-0.1
1989/1/29,2.5,5.7,0.2
1989/1/30,4.3,11.1,-0.7
1989/1/31,7.9,13.8,0.3
1989/2/1,4.9,9.0,0.4
1989/2/2,1.5,4.4,0.0
1989/2/3,2.6,5.2,0.9
1989/2/4,2.1,4.3,0.5
1989/2/5,3.2,9.2,-0.3
1989/2/6,5.8,12.6,-0.6
1989/2/7,5.3,10.4,1.3
1989/2/8,7.1,8.9,1.3
1989/2/9,8.2,9.9,5.5
1989/2/10,2.9,5.6,0.5
1989/2/11,3.5,7.0,0.7
1989/2/12,2.4,5.0,0.7
1989/2/13,2.7,7.4,0.8
1989/2/14,4.1,10.3,0.6
1989/2/15,7.3,14.3,-1.6
1989/2/16,10.7,15.2,7.2
1989/2/17,8.9,11.0,7.9
1989/2/18,6.8,8.0,5.9
1989/2/19,4.8,8.8,-0.3
1989/2/20,8.0,13.6,-1.2
1989/2/21,7.1,8.2,6.2
1989/2/22,5.2,7.1,2.4
1989/2/23,5.1,8.3,1.8
1989/2/24,6.7,8.4,4.5
1989/2/25,7.4,8.9,6.2
1989/2/26,4.8,7.5,0.5
1989/2/27,6.6,14.6,-1.1
1989/2/28,12.7,16.7,5.6
1989/3/1,8.8,15.9,3.8
1989/3/2,8.9,16.1,-0.8
1989/3/3,15.7,18.6,12.8
1989/3/4,11.6,18.9,6.5
1989/3/5,6.0,8.4,2.0
1989/3/6,5.9,13.2,-0.5
1989/3/7,4.6,10.0,1.3
1989/3/8,3.7,6.5,2.0
1989/3/9,4.3,9.7,1.3
1989/3/10,5.6,11.9,-0.1
1989/3/11,7.2,13.1,1.0
1989/3/12,9.7,17.1,1.3
1989/3/13,11.7,15.1,8.6
1989/3/14,11.0,15.8,6.5
1989/3/15,8.2,12.8,4.1
1989/3/16,7.4,12.5,1.9
1989/3/17,6.3,9.4,3.5
1989/3/18,6.6,10.8,2.3
1989/3/19,5.4,11.1,0.5
1989/3/20,5.4,10.3,-0.5
1989/3/21,6.7,11.1,3.5
1989/3/22,6.8,9.3,5.1
1989/3/23,6.9,9.7,4.3
1989/3/24,10.2,13.7,4.5
1989/3/25,8.9,11.0,6.8
1989/3/26,6.6,11.9,2.0
1989/3/27,7.2,14.6,1.1
1989/3/28,6.6,9.7,3.1
1989/3/29,7.4,13.9,1.1
1989/3/30,10.9,19.1,2.5
1989/3/31,13.9,18.4,10.3
1989/4/1,11.6,20.8,5.2
1989/4/2,13.2,21.9,1.9
1989/4/3,15.5,23.6,10.0
1989/4/4,10.1,16.3,4.6
1989/4/5,9.2,17.0,1.6
1989/4/6,10.6,19.7,2.5
1989/4/7,16.9,24.5,6.2
1989/4/8,13.6,16.8,10.6
1989/4/9,12.8,17.6,8.8
1989/4/10,14.0,20.8,9.1
1989/4/11,8.6,11.8,5.9
1989/4/12,9.9,14.1,5.0
1989/4/13,12.1,18.2,7.2
1989/4/14,15.1,23.7,4.7
1989/4/15,15.8,18.7,13.6
1989/4/16,14.3,22.0,10.3
1989/4/17,13.4,18.8,8.1
1989/4/18,15.1,20.6,9.4
1989/4/19,16.3,23.9,9.4
1989/4/20,16.6,24.4,10.4
1989/4/21,17.7,29.0,8.0
1989/4/22,19.4,25.5,16.1
1989/4/23,15.9,17.6,14.6
1989/4/24,12.6,14.6,10.7
1989/4/25,11.1,15.4,5.8
1989/4/26,13.1,23.0,4.5
1989/4/27,15.6,25.4,9.1
1989/4/28,10.0,13.9,4.4
1989/4/29,10.7,17.7,1.9
1989/4/30,14.8,21.7,5.4
1989/5/1,15.2,18.5,12.2
