ダウンロードした時刻：2019/10/10 16:00:45

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,9.9,12.0,9.0
2002/12/2,10.3,13.8,7.6
2002/12/3,10.3,14.5,7.0
2002/12/4,9.3,10.3,8.5
2002/12/5,13.4,19.1,7.8
2002/12/6,11.7,13.9,9.2
2002/12/7,6.4,9.2,4.1
2002/12/8,5.8,7.1,3.2
2002/12/9,1.3,3.2,0.4
2002/12/10,4.2,7.8,2.2
2002/12/11,4.9,9.8,1.0
2002/12/12,5.0,9.3,1.6
2002/12/13,5.6,9.8,3.0
2002/12/14,4.9,7.9,2.2
2002/12/15,5.8,9.9,1.9
2002/12/16,10.8,17.3,3.8
2002/12/17,11.3,16.8,6.3
2002/12/18,7.7,11.9,5.0
2002/12/19,8.8,10.7,6.7
2002/12/20,8.8,11.3,6.7
2002/12/21,4.7,7.6,3.0
2002/12/22,6.5,8.2,4.7
2002/12/23,6.8,9.5,4.0
2002/12/24,6.1,7.4,4.9
2002/12/25,7.9,14.7,2.8
2002/12/26,6.2,10.0,2.6
2002/12/27,4.0,8.9,1.4
2002/12/28,3.5,6.6,1.1
2002/12/29,5.2,10.3,0.6
2002/12/30,5.3,8.1,3.6
2002/12/31,5.3,9.7,1.1
2003/1/1,4.7,6.8,3.1
2003/1/2,3.5,6.5,0.6
2003/1/3,0.5,2.3,-0.5
2003/1/4,5.9,11.8,0.6
2003/1/5,3.9,8.5,1.2
2003/1/6,3.6,8.2,-1.2
2003/1/7,4.2,8.2,1.0
2003/1/8,5.2,9.3,2.1
2003/1/9,4.6,9.2,0.5
2003/1/10,7.2,12.9,2.3
2003/1/11,7.5,10.7,5.0
2003/1/12,7.2,12.5,2.5
2003/1/13,7.7,13.1,3.6
2003/1/14,9.0,14.9,3.2
2003/1/15,3.8,7.0,0.1
2003/1/16,3.2,7.1,-1.6
2003/1/17,6.7,12.4,1.0
2003/1/18,7.2,11.2,4.7
2003/1/19,5.0,7.7,3.0
2003/1/20,6.0,9.5,3.1
2003/1/21,5.3,9.1,2.8
2003/1/22,5.2,9.4,1.2
2003/1/23,2.9,6.4,0.9
2003/1/24,5.5,8.9,2.4
2003/1/25,5.1,10.8,0.5
2003/1/26,5.5,8.0,2.6
2003/1/27,3.3,4.6,2.3
2003/1/28,10.0,14.6,4.4
2003/1/29,3.5,7.5,-1.1
2003/1/30,3.5,8.7,-1.2
2003/1/31,4.7,9.0,-0.2
2003/2/1,4.8,8.8,2.4
2003/2/2,3.5,5.7,1.6
2003/2/3,4.4,7.6,1.0
2003/2/4,4.1,6.2,2.3
2003/2/5,4.7,7.7,2.4
2003/2/6,5.1,9.9,1.6
2003/2/7,5.9,11.1,1.0
2003/2/8,7.0,11.1,2.5
2003/2/9,8.5,13.3,4.5
2003/2/10,9.4,11.2,7.9
2003/2/11,8.6,10.1,7.8
2003/2/12,6.2,8.6,3.9
2003/2/13,6.1,10.3,2.3
2003/2/14,7.1,12.3,3.0
2003/2/15,6.6,10.2,3.5
2003/2/16,4.6,7.3,2.2
2003/2/17,7.3,13.8,2.3
2003/2/18,5.2,7.1,3.0
2003/2/19,5.7,9.5,2.2
2003/2/20,5.5,7.8,2.8
2003/2/21,7.2,11.6,3.7
2003/2/22,5.8,7.7,4.3
2003/2/23,6.2,8.3,4.6
2003/2/24,3.2,5.6,1.8
2003/2/25,5.5,9.9,1.0
2003/2/26,9.1,15.0,4.5
2003/2/27,7.7,11.5,3.4
2003/2/28,6.1,9.7,1.7
2003/3/1,4.5,8.6,2.8
2003/3/2,11.1,15.5,4.9
2003/3/3,9.7,15.3,4.8
2003/3/4,5.0,8.2,1.7
2003/3/5,4.7,8.6,0.0
2003/3/6,4.5,6.5,2.8
2003/3/7,5.0,10.6,2.1
2003/3/8,10.0,16.0,6.0
2003/3/9,7.0,10.6,3.8
2003/3/10,5.8,10.7,2.8
2003/3/11,4.7,9.1,2.3
2003/3/12,5.6,10.5,1.4
2003/3/13,5.9,9.5,2.6
2003/3/14,7.0,10.5,3.8
2003/3/15,7.4,9.4,6.3
2003/3/16,8.2,11.9,4.9
2003/3/17,5.7,8.2,4.1
2003/3/18,6.5,9.4,4.0
2003/3/19,6.9,11.9,3.6
2003/3/20,8.0,13.0,4.2
2003/3/21,7.2,10.7,3.7
2003/3/22,6.9,8.9,4.8
2003/3/23,10.1,15.8,5.2
2003/3/24,13.6,18.5,8.5
2003/3/25,10.6,13.3,9.2
2003/3/26,13.2,18.5,8.9
2003/3/27,14.6,19.2,8.5
2003/3/28,14.2,18.3,10.6
2003/3/29,10.2,14.3,7.1
2003/3/30,10.5,15.5,6.0
2003/3/31,14.0,21.5,7.3
