ダウンロードした時刻：2019/10/10 16:25:42

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,8.0,12.1,3.6
1987/12/2,4.9,9.6,0.7
1987/12/3,6.6,11.7,-0.1
1987/12/4,7.0,11.3,2.4
1987/12/5,5.9,7.6,2.3
1987/12/6,7.4,14.0,3.2
1987/12/7,6.1,13.2,0.6
1987/12/8,9.1,14.3,1.9
1987/12/9,12.0,14.8,9.3
1987/12/10,10.9,16.2,7.6
1987/12/11,9.5,12.5,6.5
1987/12/12,8.0,13.3,3.9
1987/12/13,8.2,13.7,3.7
1987/12/14,7.2,13.6,0.7
1987/12/15,9.9,14.6,4.9
1987/12/16,9.6,13.3,4.5
1987/12/17,6.7,14.0,0.3
1987/12/18,6.9,12.8,1.6
1987/12/19,8.4,15.6,2.0
1987/12/20,10.8,16.1,6.0
1987/12/21,9.2,15.2,3.6
1987/12/22,8.2,15.9,1.7
1987/12/23,9.2,16.9,4.0
1987/12/24,8.4,17.4,1.7
1987/12/25,12.2,20.5,2.6
1987/12/26,15.6,22.3,9.1
1987/12/27,16.2,21.8,10.7
1987/12/28,14.3,22.6,8.0
1987/12/29,15.4,21.0,9.0
1987/12/30,13.1,17.2,5.0
1987/12/31,6.3,12.4,1.6
1988/1/1,9.7,16.0,2.9
1988/1/2,11.4,16.3,6.9
1988/1/3,10.9,16.1,7.4
1988/1/4,12.1,18.7,6.9
1988/1/5,9.7,12.3,6.9
1988/1/6,7.3,12.4,2.1
1988/1/7,10.7,15.6,5.7
1988/1/8,11.9,16.4,8.2
1988/1/9,9.2,12.7,5.2
1988/1/10,5.1,9.3,2.3
1988/1/11,3.9,10.3,-1.8
1988/1/12,5.1,11.3,-0.8
1988/1/13,6.6,14.1,0.3
1988/1/14,9.6,18.0,1.4
1988/1/15,12.4,16.6,9.6
1988/1/16,12.0,18.5,7.3
1988/1/17,8.3,11.7,5.6
1988/1/18,8.2,12.0,3.6
1988/1/19,6.7,10.6,1.4
1988/1/20,7.8,14.6,1.9
1988/1/21,12.0,17.3,4.3
1988/1/22,14.7,17.8,12.2
1988/1/23,6.6,12.6,2.3
1988/1/24,4.1,8.6,0.0
1988/1/25,6.6,12.3,0.1
1988/1/26,8.9,12.9,4.9
1988/1/27,9.0,15.5,4.0
1988/1/28,7.8,14.5,0.5
1988/1/29,11.5,18.4,7.7
1988/1/30,10.9,16.7,5.0
1988/1/31,7.9,13.3,2.9
1988/2/1,6.0,12.8,-0.7
1988/2/2,8.3,13.9,3.7
1988/2/3,3.1,7.5,0.6
1988/2/4,6.4,14.7,-2.3
1988/2/5,15.3,23.5,5.2
1988/2/6,10.5,15.8,4.3
1988/2/7,4.2,8.5,1.5
1988/2/8,4.5,9.7,-1.3
1988/2/9,5.7,11.9,-1.2
1988/2/10,5.7,11.2,1.6
1988/2/11,4.3,9.5,-1.7
1988/2/12,7.3,13.7,1.4
1988/2/13,8.4,13.0,2.8
1988/2/14,6.7,9.5,3.1
1988/2/15,6.6,12.8,1.0
1988/2/16,7.0,14.2,0.4
1988/2/17,5.9,12.1,2.4
1988/2/18,4.2,9.0,0.8
1988/2/19,4.1,10.4,-2.9
1988/2/20,7.4,11.3,3.0
1988/2/21,7.9,12.7,2.2
1988/2/22,8.0,12.5,0.1
1988/2/23,13.5,21.2,9.4
1988/2/24,12.7,14.2,11.1
1988/2/25,11.1,15.1,7.5
1988/2/26,8.9,9.9,7.7
1988/2/27,8.9,9.9,7.9
1988/2/28,10.6,15.0,6.7
1988/2/29,10.1,12.4,7.9
1988/3/1,11.9,13.1,10.3
1988/3/2,10.7,14.2,7.0
1988/3/3,6.2,11.0,0.9
1988/3/4,3.4,7.8,-1.7
1988/3/5,5.3,9.4,2.2
1988/3/6,6.5,10.4,0.9
1988/3/7,6.3,9.8,2.2
1988/3/8,5.9,11.3,-0.1
1988/3/9,7.4,13.5,0.8
1988/3/10,9.1,16.2,1.9
1988/3/11,12.9,19.1,4.3
1988/3/12,15.0,19.2,9.1
1988/3/13,12.8,18.1,6.5
1988/3/14,15.6,22.4,11.5
1988/3/15,15.3,21.4,9.9
1988/3/16,7.0,9.9,5.1
1988/3/17,9.8,12.1,7.0
1988/3/18,11.0,15.7,5.9
1988/3/19,11.1,16.4,4.6
1988/3/20,11.8,15.7,8.6
1988/3/21,12.6,15.2,9.1
1988/3/22,15.4,19.2,11.6
1988/3/23,11.8,16.1,8.7
1988/3/24,11.0,16.6,4.8
1988/3/25,14.0,18.1,10.2
1988/3/26,14.3,18.7,9.0
1988/3/27,10.7,15.2,5.2
1988/3/28,11.0,14.5,8.1
1988/3/29,10.8,13.5,8.2
1988/3/30,9.2,10.0,8.4
1988/3/31,11.5,17.1,7.2
