ダウンロードした時刻：2019/10/10 16:06:10

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,6.4,8.9,2.9
1986/12/2,8.8,12.7,3.7
1986/12/3,8.6,16.1,1.4
1986/12/4,8.2,12.0,5.1
1986/12/5,6.5,11.1,4.1
1986/12/6,8.7,15.0,1.7
1986/12/7,8.9,12.9,6.2
1986/12/8,8.2,11.2,4.8
1986/12/9,5.6,13.2,1.2
1986/12/10,6.0,9.4,1.5
1986/12/11,6.9,13.3,2.8
1986/12/12,6.5,12.5,1.9
1986/12/13,8.0,13.9,4.1
1986/12/14,10.9,12.6,5.8
1986/12/15,10.2,12.8,7.9
1986/12/16,7.0,9.9,4.6
1986/12/17,7.5,10.2,3.2
1986/12/18,9.5,15.9,0.8
1986/12/19,10.5,14.4,5.5
1986/12/20,5.0,6.8,1.5
1986/12/21,4.7,11.1,-0.6
1986/12/22,4.4,6.6,0.6
1986/12/23,3.6,8.3,-0.7
1986/12/24,6.9,11.2,3.2
1986/12/25,7.9,10.7,4.3
1986/12/26,5.9,9.7,3.7
1986/12/27,4.0,7.4,1.3
1986/12/28,3.3,8.6,0.9
1986/12/29,2.2,5.8,0.4
1986/12/30,5.3,8.8,2.1
1986/12/31,10.4,15.6,4.4
1987/1/1,5.6,11.4,4.4
1987/1/2,5.8,11.5,3.7
1987/1/3,9.1,12.0,6.3
1987/1/4,5.6,7.6,3.9
1987/1/5,3.5,5.7,1.9
1987/1/6,4.9,8.5,0.8
1987/1/7,7.4,11.0,2.9
1987/1/8,5.8,10.0,0.9
1987/1/9,5.2,11.4,0.2
1987/1/10,2.2,4.7,-0.3
1987/1/11,0.6,2.6,-0.9
1987/1/12,1.6,3.7,-0.8
1987/1/13,1.1,4.1,-1.5
1987/1/14,1.2,4.7,-1.0
1987/1/15,3.6,9.3,1.2
1987/1/16,6.6,11.1,-0.2
1987/1/17,8.2,13.1,2.6
1987/1/18,2.0,5.1,-0.2
1987/1/19,1.7,3.8,0.0
1987/1/20,1.4,3.6,0.1
1987/1/21,1.1,5.2,-1.4
1987/1/22,1.8,9.2,-2.3
1987/1/23,9.9,15.4,0.4
1987/1/24,4.4,10.0,1.3
1987/1/25,-0.2,1.5,-1.7
1987/1/26,0.6,3.3,-1.8
1987/1/27,2.6,8.0,0.0
1987/1/28,2.8,10.4,-0.5
1987/1/29,5.0,13.2,-2.2
1987/1/30,5.1,9.3,2.9
1987/1/31,2.6,4.0,0.6
1987/2/1,1.1,4.3,-2.1
1987/2/2,0.1,2.4,-2.8
1987/2/3,1.9,5.3,0.4
1987/2/4,2.5,4.6,0.0
1987/2/5,3.6,8.5,1.4
1987/2/6,5.3,10.8,2.0
1987/2/7,6.3,14.7,0.1
1987/2/8,5.1,11.9,1.2
1987/2/9,5.9,16.2,-0.8
1987/2/10,9.3,19.8,0.8
1987/2/11,16.5,20.6,10.6
1987/2/12,8.8,17.9,5.8
1987/2/13,6.4,10.9,2.9
1987/2/14,6.1,11.3,3.1
1987/2/15,3.2,5.0,2.0
1987/2/16,2.9,5.8,1.0
1987/2/17,1.8,4.6,0.5
1987/2/18,4.6,8.4,0.9
1987/2/19,2.9,5.1,1.7
1987/2/20,4.0,7.0,2.1
1987/2/21,3.5,7.1,0.5
1987/2/22,2.7,5.3,-0.9
1987/2/23,5.6,12.8,2.4
1987/2/24,7.8,14.6,1.0
1987/2/25,0.7,6.9,-1.3
1987/2/26,-0.2,2.9,-1.7
1987/2/27,0.3,5.1,-2.6
1987/2/28,0.7,5.8,-3.2
1987/3/1,1.0,2.8,-0.2
1987/3/2,0.1,2.2,-1.4
1987/3/3,1.5,7.1,-0.7
1987/3/4,5.6,12.4,-1.3
1987/3/5,11.5,18.6,4.1
1987/3/6,7.4,11.5,5.2
1987/3/7,3.1,5.5,0.8
1987/3/8,3.4,6.9,1.6
1987/3/9,4.0,6.7,1.6
1987/3/10,4.1,5.6,2.5
1987/3/11,5.2,9.0,1.2
1987/3/12,5.6,10.4,0.4
1987/3/13,8.9,11.8,2.6
1987/3/14,10.2,12.6,6.2
1987/3/15,6.0,9.8,2.0
1987/3/16,4.4,9.0,0.8
1987/3/17,4.6,6.8,1.7
1987/3/18,8.1,12.1,5.8
1987/3/19,9.3,16.2,2.8
1987/3/20,9.1,12.6,5.3
1987/3/21,9.3,21.8,1.6
1987/3/22,10.6,16.9,6.6
1987/3/23,12.9,15.8,9.2
1987/3/24,13.7,19.1,9.1
1987/3/25,4.1,9.3,0.7
1987/3/26,2.1,7.7,-0.3
1987/3/27,5.3,13.3,-1.7
1987/3/28,6.5,11.5,1.4
1987/3/29,8.1,13.7,4.1
1987/3/30,10.3,16.6,2.6
1987/3/31,5.3,11.1,1.8
