ダウンロードした時刻：2019/10/10 16:17:42

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,12.1,17.3,8.6
2002/12/2,10.5,16.8,5.6
2002/12/3,10.6,17.1,4.2
2002/12/4,14.1,19.9,10.5
2002/12/5,15.0,20.8,10.8
2002/12/6,14.1,18.4,10.9
2002/12/7,11.4,13.2,10.1
2002/12/8,10.5,12.6,8.3
2002/12/9,8.3,13.5,3.0
2002/12/10,5.1,9.6,1.4
2002/12/11,4.5,9.9,-0.6
2002/12/12,6.3,11.8,3.5
2002/12/13,5.9,11.4,0.8
2002/12/14,6.4,13.0,1.1
2002/12/15,8.1,15.1,2.3
2002/12/16,9.7,12.9,6.1
2002/12/17,11.4,14.5,7.2
2002/12/18,10.5,14.7,7.4
2002/12/19,10.3,12.0,7.5
2002/12/20,9.8,14.5,5.5
2002/12/21,11.5,14.2,8.4
2002/12/22,13.0,17.4,10.1
2002/12/23,10.3,13.7,6.8
2002/12/24,11.1,17.5,6.1
2002/12/25,8.9,14.2,6.3
2002/12/26,5.4,9.8,1.8
2002/12/27,4.6,8.4,0.7
2002/12/28,5.0,11.0,-0.2
2002/12/29,5.7,12.5,0.7
2002/12/30,6.0,13.0,0.4
2002/12/31,7.1,13.7,1.8
2003/1/1,6.4,12.4,1.4
2003/1/2,6.3,10.1,2.8
2003/1/3,6.6,8.3,4.4
2003/1/4,4.2,8.3,0.2
2003/1/5,0.7,4.5,-2.2
2003/1/6,1.9,7.6,-3.0
2003/1/7,3.8,9.2,-0.4
2003/1/8,6.0,12.4,0.3
2003/1/9,8.1,13.7,4.3
2003/1/10,8.1,14.8,2.2
2003/1/11,8.0,13.6,3.6
2003/1/12,6.8,14.0,1.1
2003/1/13,7.0,14.5,1.3
2003/1/14,8.0,15.7,2.1
2003/1/15,4.7,7.9,0.7
2003/1/16,4.4,10.3,-1.3
2003/1/17,7.6,15.0,1.1
2003/1/18,9.0,16.6,3.4
2003/1/19,7.0,11.1,4.4
2003/1/20,6.9,11.9,3.7
2003/1/21,5.4,10.9,1.9
2003/1/22,5.0,10.7,-1.0
2003/1/23,8.5,15.2,5.5
2003/1/24,6.6,11.8,2.1
2003/1/25,6.1,12.5,0.0
2003/1/26,6.8,9.9,3.8
2003/1/27,10.8,14.4,8.0
2003/1/28,5.1,9.6,1.2
2003/1/29,0.2,2.9,-2.5
2003/1/30,1.2,8.0,-4.4
2003/1/31,4.6,12.1,-0.7
2003/2/1,6.3,10.7,3.1
2003/2/2,5.6,9.4,2.0
2003/2/3,4.5,11.5,-0.7
2003/2/4,4.9,9.8,0.9
2003/2/5,6.0,12.5,0.1
2003/2/6,6.3,12.0,1.9
2003/2/7,6.5,13.9,-0.6
2003/2/8,7.1,9.3,4.1
2003/2/9,12.2,19.8,6.4
2003/2/10,13.3,18.7,8.4
2003/2/11,11.8,14.4,7.6
2003/2/12,9.4,13.8,5.9
2003/2/13,7.2,13.3,2.8
2003/2/14,6.7,12.4,1.2
2003/2/15,8.3,14.2,2.5
2003/2/16,10.4,14.1,7.9
2003/2/17,9.2,16.3,2.6
2003/2/18,9.7,16.7,5.3
2003/2/19,8.0,13.1,2.7
2003/2/20,6.5,9.3,4.0
2003/2/21,7.7,12.4,2.5
2003/2/22,7.0,9.0,5.0
2003/2/23,12.1,17.0,8.9
2003/2/24,10.5,16.7,6.5
2003/2/25,9.4,15.2,3.7
2003/2/26,11.8,16.5,7.7
2003/2/27,10.0,13.3,5.2
2003/2/28,8.3,14.1,2.2
2003/3/1,9.9,12.1,7.8
2003/3/2,12.2,17.3,8.1
2003/3/3,10.0,17.1,6.5
2003/3/4,6.0,10.3,3.4
2003/3/5,6.3,10.7,1.9
2003/3/6,7.7,9.7,5.7
2003/3/7,13.5,18.8,9.5
2003/3/8,8.3,11.3,5.5
2003/3/9,6.7,10.0,4.4
2003/3/10,5.8,9.8,1.7
2003/3/11,6.5,10.9,3.1
2003/3/12,8.0,15.0,1.6
2003/3/13,9.8,15.7,3.5
2003/3/14,10.6,14.6,7.3
2003/3/15,10.4,12.6,8.8
2003/3/16,11.0,12.1,9.6
2003/3/17,13.1,17.7,10.6
2003/3/18,11.2,15.0,6.8
2003/3/19,9.3,15.4,5.1
2003/3/20,9.3,16.4,2.8
2003/3/21,10.4,15.7,5.3
2003/3/22,9.1,14.0,5.8
2003/3/23,10.1,16.5,2.7
2003/3/24,10.8,14.2,8.0
2003/3/25,14.3,21.4,9.4
2003/3/26,12.7,20.0,6.3
2003/3/27,13.5,19.0,7.8
2003/3/28,13.8,19.1,8.8
2003/3/29,13.6,19.3,9.1
2003/3/30,12.8,18.2,6.0
2003/3/31,15.3,20.3,9.2
