ダウンロードした時刻：2019/10/10 15:37:30

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/12/1,9.4,12.6,6.9
2014/12/2,1.5,6.9,0.0
2014/12/3,0.3,0.9,-0.5
2014/12/4,1.5,3.0,0.3
2014/12/5,0.0,2.3,-1.9
2014/12/6,-2.3,0.0,-4.3
2014/12/7,-2.3,2.4,-5.4
2014/12/8,-1.1,2.5,-4.3
2014/12/9,-0.3,3.3,-3.6
2014/12/10,1.2,4.5,-1.3
2014/12/11,1.4,4.3,-1.2
2014/12/12,0.7,3.1,-3.0
2014/12/13,-2.9,-1.1,-4.6
2014/12/14,-3.8,-1.9,-5.2
2014/12/15,-3.6,0.2,-6.3
2014/12/16,-2.6,1.1,-5.5
2014/12/17,-2.1,3.1,-4.9
2014/12/18,-0.7,2.9,-4.6
2014/12/19,0.1,2.9,-2.2
2014/12/20,0.1,1.3,-1.6
2014/12/21,-0.7,5.4,-4.2
2014/12/22,-3.3,-0.9,-5.5
2014/12/23,-2.3,1.2,-6.9
2014/12/24,0.0,1.6,-1.6
2014/12/25,-1.6,1.5,-4.1
2014/12/26,-3.7,-0.6,-6.3
2014/12/27,-4.3,1.3,-10.3
2014/12/28,-2.2,2.3,-5.6
2014/12/29,-1.6,1.7,-4.4
2014/12/30,-0.3,4.1,-3.2
2014/12/31,0.1,2.5,-2.9
2015/1/1,-1.7,0.9,-4.4
2015/1/2,-2.7,1.0,-4.9
2015/1/3,-2.5,-0.2,-4.9
2015/1/4,0.1,2.0,-3.5
2015/1/5,0.8,5.8,-2.5
2015/1/6,1.2,4.0,-2.8
2015/1/7,-3.8,-2.5,-4.9
2015/1/8,-0.4,1.5,-3.1
2015/1/9,-0.2,3.0,-2.1
2015/1/10,-0.6,1.6,-2.0
2015/1/11,-0.9,2.0,-2.9
2015/1/12,0.1,3.3,-3.1
2015/1/13,1.6,4.2,-1.2
2015/1/14,1.8,6.8,-2.8
2015/1/15,1.6,4.5,-1.1
2015/1/16,2.4,5.2,0.5
2015/1/17,-1.5,2.8,-6.1
2015/1/18,-2.3,-0.5,-6.0
2015/1/19,-1.6,3.0,-5.1
2015/1/20,-2.2,0.4,-5.3
2015/1/21,-4.0,1.1,-9.8
2015/1/22,-0.2,2.8,-3.0
2015/1/23,2.4,5.7,0.7
2015/1/24,0.1,3.7,-4.8
2015/1/25,-2.2,4.0,-8.2
2015/1/26,1.4,4.2,-2.2
2015/1/27,2.1,6.2,-2.2
2015/1/28,-3.1,-0.6,-6.6
2015/1/29,-2.9,1.5,-7.3
2015/1/30,-2.1,-0.3,-5.0
2015/1/31,0.7,4.2,-1.7
2015/2/1,-0.8,1.8,-2.2
2015/2/2,-1.6,1.5,-6.3
2015/2/3,-0.5,2.0,-2.4
2015/2/4,-0.8,4.0,-4.7
2015/2/5,-1.7,2.7,-6.6
2015/2/6,0.1,4.1,-3.0
2015/2/7,0.4,5.0,-4.4
2015/2/8,1.8,3.5,-1.8
2015/2/9,-5.1,1.7,-6.8
2015/2/10,-4.3,-2.2,-7.0
2015/2/11,-1.3,1.7,-4.6
2015/2/12,1.4,5.2,-1.5
2015/2/13,-0.2,2.0,-1.7
2015/2/14,-1.0,2.2,-3.0
2015/2/15,0.2,2.8,-2.9
2015/2/16,3.7,7.3,1.2
2015/2/17,2.6,7.0,-1.4
2015/2/18,1.4,3.6,-0.2
2015/2/19,2.0,5.4,0.2
2015/2/20,1.3,4.7,-1.8
2015/2/21,2.1,7.5,-1.1
2015/2/22,3.8,7.5,0.9
2015/2/23,6.1,10.1,3.2
2015/2/24,3.6,7.7,-1.5
2015/2/25,0.7,6.1,-4.1
2015/2/26,-1.0,2.5,-5.9
2015/2/27,1.2,4.2,-0.6
2015/2/28,2.2,6.4,-2.0
2015/3/1,-0.6,1.0,-3.3
2015/3/2,1.9,4.3,0.3
2015/3/3,1.8,4.9,-2.2
2015/3/4,2.1,6.6,0.0
2015/3/5,3.0,6.9,0.4
2015/3/6,3.4,8.3,-0.7
2015/3/7,3.7,7.7,0.6
2015/3/8,5.3,12.5,-1.5
2015/3/9,6.1,10.1,2.2
2015/3/10,2.4,6.1,-3.0
2015/3/11,-2.6,-0.3,-3.7
2015/3/12,-1.5,0.9,-3.5
2015/3/13,0.6,5.0,-2.5
2015/3/14,1.2,5.5,-1.9
2015/3/15,2.4,7.1,-1.0
2015/3/16,5.7,13.3,-0.6
2015/3/17,7.0,16.2,-1.0
2015/3/18,9.6,15.3,5.0
2015/3/19,6.3,9.8,4.2
2015/3/20,7.2,12.3,1.4
2015/3/21,4.8,12.0,-1.7
2015/3/22,6.6,13.2,-1.1
2015/3/23,1.2,6.5,-2.4
2015/3/24,1.3,5.5,-2.4
2015/3/25,3.6,6.9,0.7
2015/3/26,4.7,9.2,-1.9
2015/3/27,9.5,13.2,6.2
2015/3/28,10.1,17.2,3.8
2015/3/29,9.7,18.2,2.4
2015/3/30,8.4,12.3,4.0
2015/3/31,10.2,18.9,1.6
