ダウンロードした時刻：2019/10/10 15:50:04

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,7.7,11.7,3.7
1984/12/2,9.6,16.1,3.7
1984/12/3,7.6,12.2,3.6
1984/12/4,5.9,12.1,1.2
1984/12/5,8.3,15.4,2.6
1984/12/6,7.7,12.6,3.9
1984/12/7,5.0,11.2,0.9
1984/12/8,3.6,9.9,-1.2
1984/12/9,6.8,14.7,1.2
1984/12/10,7.7,13.7,2.6
1984/12/11,8.0,10.2,5.4
1984/12/12,12.6,19.1,8.8
1984/12/13,10.2,15.0,5.6
1984/12/14,9.0,14.7,3.2
1984/12/15,4.5,7.4,0.9
1984/12/16,3.4,8.3,-0.4
1984/12/17,5.3,8.7,0.4
1984/12/18,5.3,7.9,1.7
1984/12/19,3.9,7.6,1.7
1984/12/20,3.7,8.8,-0.5
1984/12/21,4.4,8.5,0.5
1984/12/22,5.1,11.5,1.7
1984/12/23,2.7,6.6,-0.9
1984/12/24,1.4,7.3,-1.7
1984/12/25,-0.8,3.5,-4.2
1984/12/26,0.1,5.2,-4.3
1984/12/27,1.7,5.3,-2.7
1984/12/28,1.9,8.5,-3.8
1984/12/29,0.6,5.6,-3.7
1984/12/30,1.0,8.2,-4.5
1984/12/31,2.6,9.4,-2.7
1985/1/1,2.9,8.6,-1.3
1985/1/2,2.3,7.5,-1.6
1985/1/3,2.9,7.5,-0.8
1985/1/4,1.9,7.0,-2.6
1985/1/5,-0.6,3.8,-4.6
1985/1/6,-0.2,3.5,-4.4
1985/1/7,0.1,5.4,-5.1
1985/1/8,1.1,7.4,-4.4
1985/1/9,1.9,7.8,-2.6
1985/1/10,4.8,10.4,-0.3
1985/1/11,6.0,10.5,0.7
1985/1/12,2.1,5.5,1.1
1985/1/13,3.1,9.1,-1.0
1985/1/14,-0.8,6.0,-4.3
1985/1/15,-0.6,4.8,-6.2
1985/1/16,2.5,10.9,-3.6
1985/1/17,-0.1,3.0,-3.4
1985/1/18,-0.5,5.2,-6.0
1985/1/19,-0.1,5.2,-6.0
1985/1/20,4.6,12.7,-0.7
1985/1/21,3.1,7.1,0.4
1985/1/22,2.7,7.6,-2.0
1985/1/23,3.8,8.5,0.5
1985/1/24,1.5,5.6,-1.5
1985/1/25,-0.7,3.3,-4.3
1985/1/26,-0.6,3.8,-5.3
1985/1/27,0.1,5.0,-5.4
1985/1/28,3.7,11.8,-0.9
1985/1/29,0.2,4.6,-4.4
1985/1/30,-1.9,2.3,-6.3
1985/1/31,-0.5,7.1,-7.9
1985/2/1,4.8,12.8,-2.4
1985/2/2,4.7,9.2,1.6
1985/2/3,5.0,10.1,0.4
1985/2/4,5.9,12.2,-0.4
1985/2/5,3.3,5.4,1.9
1985/2/6,5.0,9.1,0.6
1985/2/7,8.3,15.2,2.4
1985/2/8,4.7,6.4,4.1
1985/2/9,3.1,6.5,0.6
1985/2/10,8.0,13.7,4.1
1985/2/11,4.6,8.9,1.0
1985/2/12,4.4,9.2,0.1
1985/2/13,5.2,12.7,0.5
1985/2/14,1.6,6.0,-1.3
1985/2/15,2.5,7.7,-2.9
1985/2/16,5.4,10.1,1.5
1985/2/17,5.5,9.5,2.4
1985/2/18,5.1,9.7,0.1
1985/2/19,1.9,3.6,0.3
1985/2/20,3.7,5.9,0.8
1985/2/21,4.7,12.5,-0.3
1985/2/22,1.8,6.7,-3.1
1985/2/23,2.9,7.9,-0.6
1985/2/24,2.3,6.4,-2.2
1985/2/25,2.4,8.0,-1.5
1985/2/26,3.5,9.3,-1.4
1985/2/27,5.3,10.3,0.3
1985/2/28,1.4,4.4,0.5
1985/3/1,6.9,12.8,1.5
1985/3/2,5.5,7.7,2.6
1985/3/3,5.9,11.4,2.1
1985/3/4,5.0,11.9,1.0
1985/3/5,4.6,7.2,1.9
1985/3/6,5.9,10.9,2.4
1985/3/7,6.1,10.0,3.1
1985/3/8,6.6,9.6,2.4
1985/3/9,8.8,12.7,4.9
1985/3/10,5.4,9.5,2.5
1985/3/11,1.4,4.4,0.4
1985/3/12,4.8,9.1,1.6
1985/3/13,5.8,10.1,1.1
1985/3/14,4.1,7.5,2.9
1985/3/15,5.6,10.3,1.8
1985/3/16,3.9,7.7,1.8
1985/3/17,4.9,6.9,1.3
1985/3/18,12.1,19.4,4.5
1985/3/19,5.6,9.6,3.5
1985/3/20,7.7,12.4,2.9
1985/3/21,6.7,9.2,4.7
1985/3/22,8.3,15.3,2.5
1985/3/23,5.7,8.2,3.3
1985/3/24,7.4,12.2,4.3
1985/3/25,8.5,12.4,2.0
1985/3/26,11.6,18.2,7.7
1985/3/27,6.1,8.7,4.0
1985/3/28,8.6,13.7,3.1
1985/3/29,10.1,14.0,7.2
1985/3/30,8.0,12.5,4.8
1985/3/31,5.5,11.2,2.5
