ダウンロードした時刻：2017/07/24 15:40:26

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,6.0,11.9,0.8
1982/1/2,4.6,11.9,-0.4
1982/1/3,1.7,7.7,-4.2
1982/1/4,6.8,10.3,0.6
1982/1/5,10.3,16.2,5.6
1982/1/6,4.1,8.4,-0.5
1982/1/7,0.9,8.7,-3.0
1982/1/8,0.4,5.5,-6.5
1982/1/9,3.0,9.4,-1.8
1982/1/10,3.9,11.2,-1.1
1982/1/11,2.8,6.1,-0.6
1982/1/12,7.1,15.7,1.3
1982/1/13,5.9,10.2,1.6
1982/1/14,3.4,8.0,-1.2
1982/1/15,2.5,10.0,-2.3
1982/1/16,0.3,2.5,-1.1
1982/1/17,0.6,6.0,-3.7
1982/1/18,0.8,6.7,-6.0
1982/1/19,2.4,8.3,-1.3
1982/1/20,1.0,6.4,-3.9
1982/1/21,1.8,11.0,-6.1
1982/1/22,4.3,12.2,-3.1
1982/1/23,5.0,12.3,-0.6
1982/1/24,3.4,10.3,-1.1
1982/1/25,4.0,10.1,-2.1
1982/1/26,2.9,8.3,-2.7
1982/1/27,2.4,7.4,-1.1
1982/1/28,2.7,9.1,-1.4
1982/1/29,0.4,5.0,-2.8
1982/1/30,-0.1,5.3,-4.8
1982/1/31,0.3,7.6,-8.1
1982/2/1,2.5,9.6,-2.1
1982/2/2,-0.2,6.6,-6.5
1982/2/3,0.8,8.7,-6.1
1982/2/4,2.3,9.5,-2.6
1982/2/5,0.5,6.4,-3.4
1982/2/6,0.0,7.0,-6.8
1982/2/7,-0.3,3.5,-5.4
1982/2/8,-1.2,6.1,-8.5
1982/2/9,0.2,6.3,-7.7
1982/2/10,1.7,7.7,-2.8
1982/2/11,1.7,9.2,-5.7
1982/2/12,3.5,8.1,-2.7
1982/2/13,3.0,7.2,-2.5
1982/2/14,1.7,9.4,-4.9
1982/2/15,2.0,8.9,-4.3
1982/2/16,5.5,13.1,-2.3
1982/2/17,4.2,6.8,1.4
1982/2/18,4.4,9.9,-0.1
1982/2/19,5.7,10.6,0.1
1982/2/20,7.7,11.6,4.4
1982/2/21,6.3,9.8,3.8
1982/2/22,5.6,11.6,1.5
1982/2/23,4.0,10.0,-0.5
1982/2/24,2.6,4.2,0.8
1982/2/25,2.9,7.3,-1.4
1982/2/26,1.6,7.9,-3.4
1982/2/27,3.1,9.2,-4.7
1982/2/28,6.7,13.6,-1.8
1982/3/1,4.6,7.3,1.5
1982/3/2,3.2,9.4,0.0
1982/3/3,3.7,10.7,-1.9
1982/3/4,5.7,12.3,-2.0
1982/3/5,8.0,12.5,3.9
1982/3/6,6.5,10.1,3.3
1982/3/7,3.4,9.1,-0.5
1982/3/8,2.8,7.2,-1.4
1982/3/9,5.3,13.0,-2.0
1982/3/10,5.2,11.6,-1.6
1982/3/11,8.2,16.8,-0.1
1982/3/12,8.7,14.3,1.8
1982/3/13,9.5,15.4,5.7
1982/3/14,5.8,10.3,0.5
1982/3/15,9.4,14.3,4.1
1982/3/16,13.6,20.2,9.3
1982/3/17,8.3,13.8,4.8
1982/3/18,7.0,14.7,2.3
1982/3/19,5.8,12.9,-2.0
1982/3/20,6.8,9.2,3.3
1982/3/21,9.6,13.2,7.3
1982/3/22,9.4,15.2,4.0
1982/3/23,8.8,15.6,1.7
1982/3/24,9.0,17.1,4.9
1982/3/25,6.1,11.9,2.8
1982/3/26,4.8,11.0,-0.5
1982/3/27,4.0,10.3,-0.5
1982/3/28,4.4,9.9,-0.6
1982/3/29,5.0,12.1,-3.0
1982/3/30,10.0,19.2,-0.3
1982/3/31,10.7,16.8,5.1
1982/4/1,8.4,14.7,4.4
1982/4/2,7.5,10.9,3.6
1982/4/3,11.9,22.2,6.3
1982/4/4,6.4,11.7,1.6
1982/4/5,7.5,14.9,-0.7
1982/4/6,10.5,18.6,0.0
1982/4/7,12.0,15.8,7.1
1982/4/8,12.3,13.4,9.7
1982/4/9,11.9,17.5,6.2
1982/4/10,9.5,14.0,5.8
1982/4/11,9.5,16.4,1.3
1982/4/12,9.7,15.4,0.5
1982/4/13,12.4,16.6,9.0
1982/4/14,12.9,17.8,6.6
1982/4/15,14.0,17.2,11.5
1982/4/16,15.3,22.6,8.2
1982/4/17,10.6,17.7,5.5
1982/4/18,11.5,18.1,6.5
1982/4/19,11.8,18.9,2.8
1982/4/20,14.0,22.2,2.9
1982/4/21,11.4,14.2,9.1
1982/4/22,8.6,11.9,4.8
1982/4/23,9.5,15.4,1.7
1982/4/24,14.0,18.9,8.1
1982/4/25,15.9,22.0,8.8
1982/4/26,17.2,24.6,9.6
1982/4/27,12.0,15.7,9.4
1982/4/28,11.3,12.6,9.9
1982/4/29,15.7,18.3,11.3
1982/4/30,18.8,24.7,15.1
1982/5/1,19.6,23.0,17.2
