ダウンロードした時刻：2017/07/24 15:43:25

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,8.7,11.5,6.4
1991/1/2,8.6,11.1,6.3
1991/1/3,4.7,7.9,2.1
1991/1/4,2.9,4.4,1.5
1991/1/5,2.3,6.9,-0.9
1991/1/6,0.7,2.9,-1.6
1991/1/7,2.0,5.4,0.5
1991/1/8,1.9,7.1,0.6
1991/1/9,2.7,5.8,0.5
1991/1/10,3.7,7.0,0.4
1991/1/11,3.6,6.8,2.0
1991/1/12,3.5,9.8,1.4
1991/1/13,1.7,4.6,0.4
1991/1/14,1.4,4.6,0.4
1991/1/15,2.2,6.5,0.4
1991/1/16,3.3,9.4,0.7
1991/1/17,4.0,11.8,0.8
1991/1/18,3.7,5.9,1.3
1991/1/19,4.7,9.0,0.8
1991/1/20,4.1,12.8,-0.7
1991/1/21,5.6,8.4,3.1
1991/1/22,6.9,9.5,4.0
1991/1/23,3.2,5.5,-0.3
1991/1/24,3.9,8.5,-1.5
1991/1/25,5.9,10.7,2.8
1991/1/26,3.4,7.5,0.9
1991/1/27,1.8,4.9,0.4
1991/1/28,1.8,4.3,0.4
1991/1/29,1.6,5.0,0.4
1991/1/30,3.3,5.8,1.2
1991/1/31,2.9,8.4,0.7
1991/2/1,2.4,8.1,0.2
1991/2/2,1.3,5.0,0.4
1991/2/3,2.5,7.7,0.1
1991/2/4,2.6,8.1,0.1
1991/2/5,3.7,6.4,1.2
1991/2/6,4.3,9.7,-1.0
1991/2/7,4.2,8.9,0.9
1991/2/8,3.3,7.6,-0.8
1991/2/9,2.9,9.2,-2.5
1991/2/10,8.2,13.0,1.5
1991/2/11,7.4,11.0,4.5
1991/2/12,5.8,9.2,4.0
1991/2/13,5.0,8.1,1.4
1991/2/14,4.9,11.7,-1.4
1991/2/15,10.0,15.2,5.2
1991/2/16,5.6,9.0,2.4
1991/2/17,2.8,4.8,0.7
1991/2/18,3.4,5.7,0.4
1991/2/19,1.7,6.3,-0.7
1991/2/20,0.7,5.6,-1.9
1991/2/21,0.0,5.1,-3.0
1991/2/22,-0.6,3.4,-3.7
1991/2/23,-1.1,2.2,-4.7
1991/2/24,-2.3,0.2,-3.8
1991/2/25,0.9,5.3,-3.5
1991/2/26,0.6,8.9,-6.2
1991/2/27,2.9,12.8,-4.7
1991/2/28,5.8,9.0,3.4
1991/3/1,3.5,6.3,0.4
1991/3/2,3.5,10.0,-0.9
1991/3/3,3.0,9.4,-0.9
1991/3/4,5.1,14.3,-1.4
1991/3/5,10.1,17.8,4.7
1991/3/6,10.8,18.6,5.4
1991/3/7,7.0,10.0,5.0
1991/3/8,5.1,11.3,3.2
1991/3/9,10.0,13.1,6.6
1991/3/10,7.2,10.0,5.4
1991/3/11,6.0,7.2,4.4
1991/3/12,7.3,11.3,2.5
1991/3/13,7.2,14.2,1.5
1991/3/14,3.4,7.8,0.7
1991/3/15,3.5,6.5,1.0
1991/3/16,3.8,7.1,1.0
1991/3/17,5.2,8.1,2.7
1991/3/18,5.4,13.5,1.1
1991/3/19,10.2,21.1,-0.3
1991/3/20,12.9,19.0,8.1
1991/3/21,6.7,8.1,4.5
1991/3/22,7.6,10.8,4.1
1991/3/23,10.6,12.4,9.5
1991/3/24,9.8,15.0,6.8
1991/3/25,9.5,15.5,5.2
1991/3/26,10.4,15.8,5.7
1991/3/27,13.6,21.2,9.3
1991/3/28,8.1,9.6,6.8
1991/3/29,7.9,10.5,3.8
1991/3/30,7.9,11.1,3.5
1991/3/31,7.9,10.7,4.4
1991/4/1,5.3,8.4,3.2
1991/4/2,4.5,8.4,0.4
1991/4/3,5.0,13.9,-2.6
1991/4/4,8.5,20.3,-1.2
1991/4/5,12.8,21.9,4.7
1991/4/6,13.8,16.9,12.1
1991/4/7,12.1,13.5,10.9
1991/4/8,12.2,14.7,10.9
1991/4/9,11.7,16.2,7.3
1991/4/10,16.6,25.1,7.0
1991/4/11,16.5,20.1,13.4
1991/4/12,18.2,25.4,12.4
1991/4/13,17.6,20.7,12.5
1991/4/14,10.8,12.5,7.0
1991/4/15,12.7,21.4,6.3
1991/4/16,13.9,22.5,7.1
1991/4/17,17.4,27.8,5.7
1991/4/18,15.2,23.1,8.8
1991/4/19,10.6,17.0,6.2
1991/4/20,8.4,13.7,3.1
1991/4/21,10.6,19.3,0.7
1991/4/22,13.3,22.4,6.4
1991/4/23,15.4,24.2,5.6
1991/4/24,13.7,17.5,10.9
1991/4/25,15.3,20.8,11.8
1991/4/26,14.5,22.2,10.2
1991/4/27,13.5,20.4,9.0
1991/4/28,18.5,27.3,7.3
1991/4/29,16.4,24.4,11.7
1991/4/30,13.4,18.6,8.8
1991/5/1,12.0,17.7,7.9
