ダウンロードした時刻：2019/10/10 15:35:36

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,4.0,6.2,-0.1
1989/12/2,7.2,12.5,4.5
1989/12/3,9.5,14.6,4.1
1989/12/4,11.2,17.5,3.4
1989/12/5,3.1,6.6,0.9
1989/12/6,2.6,6.0,-0.5
1989/12/7,3.4,7.7,-1.3
1989/12/8,4.0,7.9,0.0
1989/12/9,-0.8,3.3,-2.5
1989/12/10,0.7,3.6,-2.5
1989/12/11,4.0,8.6,0.2
1989/12/12,-0.4,2.5,-1.4
1989/12/13,-0.4,2.4,-3.6
1989/12/14,-0.2,6.3,-4.9
1989/12/15,5.2,6.8,3.3
1989/12/16,4.6,8.1,0.7
1989/12/17,2.2,6.9,-1.9
1989/12/18,-2.0,1.2,-5.5
1989/12/19,-5.3,-3.0,-6.2
1989/12/20,-2.8,-1.1,-5.2
1989/12/21,2.1,5.8,-1.1
1989/12/22,2.9,6.9,0.7
1989/12/23,1.8,6.2,-1.3
1989/12/24,0.5,5.2,-3.5
1989/12/25,2.1,7.3,-1.1
1989/12/26,3.8,10.5,-2.6
1989/12/27,2.5,7.0,-0.7
1989/12/28,-0.2,3.0,-2.7
1989/12/29,1.0,4.0,-1.1
1989/12/30,0.5,4.8,-2.4
1989/12/31,-1.1,1.4,-4.2
1990/1/1,-1.1,2.4,-4.6
1990/1/2,-0.8,3.7,-4.9
1990/1/3,-0.5,4.9,-4.5
1990/1/4,-0.9,2.5,-4.1
1990/1/5,-0.8,3.1,-3.6
1990/1/6,0.6,4.7,-3.3
1990/1/7,0.2,2.8,-1.8
1990/1/8,2.6,5.4,-0.7
1990/1/9,4.6,8.7,1.4
1990/1/10,4.1,7.6,0.6
1990/1/11,1.6,9.1,-0.3
1990/1/12,3.3,8.2,-1.4
1990/1/13,-2.6,1.7,-5.7
1990/1/14,-3.0,0.4,-6.6
1990/1/15,-3.3,-1.2,-4.5
1990/1/16,-3.1,0.5,-7.2
1990/1/17,-3.6,-0.6,-7.2
1990/1/18,1.4,6.0,-3.3
1990/1/19,0.4,3.0,-2.2
1990/1/20,-4.2,-1.6,-6.6
1990/1/21,-3.9,-0.2,-7.2
1990/1/22,-1.8,5.9,-7.5
1990/1/23,-6.1,-3.2,-9.6
1990/1/24,-5.8,-1.4,-11.2
1990/1/25,-7.1,-4.9,-10.1
1990/1/26,-6.4,-2.2,-10.6
1990/1/27,-5.2,-1.1,-8.5
1990/1/28,-4.0,0.2,-7.6
1990/1/29,-1.9,1.3,-4.3
1990/1/30,-3.1,-1.0,-5.5
1990/1/31,-4.5,0.1,-9.3
1990/2/1,-3.7,-0.5,-5.6
1990/2/2,-2.4,2.7,-7.1
1990/2/3,0.3,6.5,-7.1
1990/2/4,-0.1,2.6,-2.4
1990/2/5,-0.9,2.3,-3.5
1990/2/6,0.2,5.4,-3.9
1990/2/7,3.0,8.3,-1.5
1990/2/8,0.3,3.7,-2.2
1990/2/9,-0.3,3.4,-2.8
1990/2/10,2.1,6.8,-4.7
1990/2/11,6.1,11.8,1.5
1990/2/12,1.2,5.6,-1.7
1990/2/13,-0.5,2.0,-2.3
1990/2/14,-0.2,3.6,-2.2
1990/2/15,2.1,7.2,-4.1
1990/2/16,3.1,5.0,0.9
1990/2/17,2.7,6.2,0.7
1990/2/18,1.2,5.3,-2.2
1990/2/19,3.2,6.6,-3.3
1990/2/20,7.3,9.5,4.1
1990/2/21,6.0,10.3,3.6
1990/2/22,6.6,11.3,3.9
1990/2/23,4.9,5.9,4.0
1990/2/24,4.4,5.8,3.6
1990/2/25,4.8,7.7,3.4
1990/2/26,3.8,8.2,1.5
1990/2/27,1.3,5.1,-1.4
1990/2/28,0.7,5.9,-2.8
1990/3/1,0.6,6.5,-5.1
1990/3/2,2.0,5.1,-1.8
1990/3/3,3.3,7.5,-2.6
1990/3/4,4.7,9.7,1.3
1990/3/5,2.8,7.3,-0.1
1990/3/6,3.3,9.1,-0.1
1990/3/7,4.9,10.4,1.4
1990/3/8,1.8,5.3,-0.1
1990/3/9,5.6,11.1,0.4
1990/3/10,6.8,14.0,0.7
1990/3/11,8.3,14.5,1.3
1990/3/12,8.9,14.2,3.2
1990/3/13,1.7,4.9,0.4
1990/3/14,4.1,9.3,-1.2
1990/3/15,2.6,4.2,0.7
1990/3/16,4.1,9.7,0.3
1990/3/17,3.7,7.8,0.0
1990/3/18,3.6,11.1,-2.2
1990/3/19,5.8,11.2,-1.9
1990/3/20,7.3,11.3,3.9
1990/3/21,3.6,6.7,1.4
1990/3/22,5.1,11.6,-1.6
1990/3/23,7.2,12.1,2.6
1990/3/24,3.7,6.3,0.6
1990/3/25,0.6,3.4,-2.0
1990/3/26,0.7,5.0,-3.8
1990/3/27,4.0,9.1,-1.7
1990/3/28,6.0,10.2,2.4
1990/3/29,4.0,8.4,0.0
1990/3/30,4.1,10.3,-2.0
1990/3/31,9.8,15.3,0.5
