ダウンロードした時刻：2019/10/10 15:58:27

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,12.7,17.8,7.5
1998/12/2,12.1,14.7,9.1
1998/12/3,8.8,11.1,6.8
1998/12/4,8.9,12.0,6.3
1998/12/5,10.4,12.4,7.5
1998/12/6,11.9,15.7,6.3
1998/12/7,11.7,13.8,10.0
1998/12/8,12.5,15.7,9.9
1998/12/9,10.4,14.8,6.3
1998/12/10,8.7,13.3,4.9
1998/12/11,8.6,14.1,4.0
1998/12/12,7.2,10.5,2.3
1998/12/13,7.3,13.0,2.4
1998/12/14,9.6,15.3,1.3
1998/12/15,14.1,18.7,9.0
1998/12/16,10.1,14.9,4.6
1998/12/17,9.3,16.4,2.7
1998/12/18,10.2,14.9,5.7
1998/12/19,10.0,15.6,3.3
1998/12/20,13.7,18.1,6.8
1998/12/21,8.3,13.8,4.0
1998/12/22,9.2,17.8,2.9
1998/12/23,9.1,15.5,3.7
1998/12/24,9.2,14.2,4.5
1998/12/25,8.1,12.4,4.7
1998/12/26,8.3,14.5,1.8
1998/12/27,9.3,13.5,3.8
1998/12/28,8.9,14.0,3.2
1998/12/29,10.3,17.6,3.1
1998/12/30,11.1,15.6,5.2
1998/12/31,6.9,12.5,1.8
1999/1/1,4.7,9.7,-0.1
1999/1/2,6.1,12.5,-1.0
1999/1/3,7.3,12.1,1.0
1999/1/4,6.8,11.9,1.2
1999/1/5,7.2,11.3,3.3
1999/1/6,7.2,13.1,1.3
1999/1/7,9.9,14.9,4.5
1999/1/8,3.4,6.7,0.9
1999/1/9,3.0,7.9,0.0
1999/1/10,5.1,11.1,-2.2
1999/1/11,6.4,11.9,1.2
1999/1/12,5.2,11.4,-1.8
1999/1/13,6.2,12.0,-0.5
1999/1/14,7.9,13.8,3.2
1999/1/15,4.6,6.9,0.4
1999/1/16,5.7,12.8,-1.5
1999/1/17,6.3,11.5,-0.1
1999/1/18,8.6,15.9,3.0
1999/1/19,7.9,12.6,2.7
1999/1/20,9.7,14.9,3.1
1999/1/21,7.7,12.1,1.5
1999/1/22,5.7,11.7,0.6
1999/1/23,7.0,13.4,-0.5
1999/1/24,7.5,10.6,5.8
1999/1/25,8.7,11.7,6.2
1999/1/26,9.1,15.2,2.9
1999/1/27,9.6,13.7,4.3
1999/1/28,11.7,17.4,6.0
1999/1/29,6.1,10.4,2.8
1999/1/30,4.3,9.3,-1.5
1999/1/31,5.1,11.6,-1.6
1999/2/1,6.8,10.3,2.9
1999/2/2,6.8,13.5,1.9
1999/2/3,3.4,6.5,0.0
1999/2/4,2.0,6.7,-4.2
1999/2/5,4.7,10.7,-2.8
1999/2/6,5.3,10.9,-0.9
1999/2/7,5.7,11.4,-0.9
1999/2/8,7.0,13.8,-0.4
1999/2/9,8.1,12.7,1.9
1999/2/10,11.6,16.4,7.6
1999/2/11,6.4,7.7,5.4
1999/2/12,6.2,11.3,1.0
1999/2/13,4.0,8.8,-1.4
1999/2/14,2.8,9.0,-4.2
1999/2/15,5.1,10.4,-1.3
1999/2/16,6.7,13.1,0.1
1999/2/17,9.6,19.3,0.3
1999/2/18,11.4,19.5,2.9
1999/2/19,10.6,16.0,3.4
1999/2/20,6.1,12.7,-0.1
1999/2/21,5.4,12.5,-1.5
1999/2/22,5.1,11.6,-1.4
1999/2/23,7.0,13.7,-1.2
1999/2/24,6.6,9.2,3.4
1999/2/25,11.9,17.8,6.0
1999/2/26,11.1,14.8,5.7
1999/2/27,13.2,20.1,5.7
1999/2/28,6.3,11.7,-0.4
1999/3/1,9.3,18.2,1.0
1999/3/2,12.6,19.5,6.2
1999/3/3,10.6,14.8,6.0
1999/3/4,10.4,16.0,2.9
1999/3/5,12.9,18.3,7.2
1999/3/6,13.7,17.9,8.9
1999/3/7,10.3,12.0,7.8
1999/3/8,9.6,11.4,8.4
1999/3/9,8.4,11.5,6.9
1999/3/10,7.9,9.7,6.3
1999/3/11,6.8,9.8,4.7
1999/3/12,8.4,12.4,4.4
1999/3/13,9.7,13.5,3.9
1999/3/14,13.6,20.0,5.6
1999/3/15,14.0,15.8,12.8
1999/3/16,15.5,21.3,11.6
1999/3/17,14.6,17.7,11.2
1999/3/18,16.2,21.1,11.0
1999/3/19,15.2,15.9,14.3
1999/3/20,9.7,15.2,6.0
1999/3/21,6.6,8.3,4.7
1999/3/22,9.9,14.7,4.1
1999/3/23,7.8,12.7,1.2
1999/3/24,11.6,16.9,5.5
1999/3/25,13.9,19.0,9.0
1999/3/26,15.0,17.5,12.7
1999/3/27,14.6,17.1,10.7
1999/3/28,9.5,14.8,6.0
1999/3/29,8.2,12.3,4.8
1999/3/30,8.6,11.5,6.7
1999/3/31,11.2,16.2,7.4
