ダウンロードした時刻：2019/10/10 15:40:52

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,7.6,10.5,4.1
2001/12/2,6.8,10.6,2.4
2001/12/3,6.8,12.5,1.4
2001/12/4,7.1,9.7,4.5
2001/12/5,5.1,8.3,1.3
2001/12/6,3.5,5.3,1.6
2001/12/7,4.5,7.0,3.0
2001/12/8,5.1,8.4,3.2
2001/12/9,4.5,5.3,3.1
2001/12/10,2.5,5.6,0.3
2001/12/11,2.4,4.7,-0.4
2001/12/12,4.3,8.5,0.0
2001/12/13,4.9,10.2,-0.5
2001/12/14,3.3,6.4,1.0
2001/12/15,0.4,1.8,-1.0
2001/12/16,1.5,4.7,-1.3
2001/12/17,1.9,7.0,-2.2
2001/12/18,2.0,4.6,-0.5
2001/12/19,1.6,4.2,-1.3
2001/12/20,2.7,5.9,-0.8
2001/12/21,0.3,1.5,-1.4
2001/12/22,2.7,6.1,1.0
2001/12/23,1.5,6.1,-1.2
2001/12/24,2.7,9.5,-3.3
2001/12/25,2.9,7.5,-1.5
2001/12/26,3.4,6.8,1.0
2001/12/27,3.1,7.2,0.7
2001/12/28,2.3,5.2,0.0
2001/12/29,3.1,7.0,-1.3
2001/12/30,1.0,7.6,-1.9
2001/12/31,0.3,3.7,-2.1
2002/1/1,2.9,10.2,-2.9
2002/1/2,0.2,3.1,-3.0
2002/1/3,-1.4,0.3,-3.4
2002/1/4,0.9,5.9,-3.6
2002/1/5,1.8,5.2,-0.3
2002/1/6,1.2,5.5,-2.4
2002/1/7,1.5,5.4,-3.8
2002/1/8,4.3,7.7,0.3
2002/1/9,2.3,4.6,0.2
2002/1/10,5.0,8.7,2.2
2002/1/11,4.4,9.4,0.6
2002/1/12,6.2,11.9,1.3
2002/1/13,5.9,8.2,4.2
2002/1/14,3.4,8.4,-0.4
2002/1/15,6.1,15.0,-1.5
2002/1/16,5.7,10.0,1.9
2002/1/17,3.0,5.1,1.6
2002/1/18,2.4,6.4,-1.0
2002/1/19,2.4,6.0,-1.6
2002/1/20,0.3,4.8,-4.6
2002/1/21,4.2,10.4,1.4
2002/1/22,6.5,9.5,2.6
2002/1/23,4.0,7.6,0.5
2002/1/24,2.7,6.4,-0.1
2002/1/25,1.9,4.0,0.6
2002/1/26,2.7,6.9,0.1
2002/1/27,3.3,6.4,0.2
2002/1/28,3.2,5.5,-0.2
2002/1/29,1.4,5.0,-1.0
2002/1/30,1.4,7.1,-3.8
2002/1/31,1.4,4.9,-0.9
2002/2/1,1.3,6.8,-2.9
2002/2/2,3.9,10.5,-1.2
2002/2/3,5.0,7.3,2.3
2002/2/4,4.2,9.4,-0.2
2002/2/5,2.9,6.9,-0.6
2002/2/6,6.2,12.9,2.1
2002/2/7,4.4,11.5,-0.6
2002/2/8,7.4,11.8,3.0
2002/2/9,2.6,9.2,-1.9
2002/2/10,-0.2,3.8,-2.7
2002/2/11,-1.1,3.0,-4.1
2002/2/12,0.0,4.2,-2.6
2002/2/13,0.2,5.3,-3.6
2002/2/14,-0.1,4.8,-4.1
2002/2/15,0.8,3.5,-1.2
2002/2/16,2.7,8.7,-0.7
2002/2/17,5.5,11.3,0.0
2002/2/18,2.2,6.4,-0.5
2002/2/19,2.7,6.9,-1.3
2002/2/20,6.2,9.5,2.9
2002/2/21,9.4,14.4,5.4
2002/2/22,6.9,9.9,3.5
2002/2/23,5.3,9.1,2.6
2002/2/24,3.6,7.5,-0.8
2002/2/25,3.1,10.3,-3.3
2002/2/26,3.8,10.3,-0.8
2002/2/27,5.9,11.6,-0.1
2002/2/28,6.0,7.9,4.0
2002/3/1,9.3,13.5,5.9
2002/3/2,5.0,13.0,0.9
2002/3/3,1.6,5.5,-1.1
2002/3/4,4.2,11.3,-3.5
2002/3/5,5.8,11.7,0.3
2002/3/6,7.0,12.1,4.2
2002/3/7,6.5,10.8,2.2
2002/3/8,3.7,7.2,1.1
2002/3/9,7.1,15.8,-0.7
2002/3/10,8.5,15.9,1.8
2002/3/11,7.9,11.8,4.6
2002/3/12,8.8,12.8,4.3
2002/3/13,6.3,10.8,2.7
2002/3/14,9.7,20.0,-0.9
2002/3/15,11.9,17.2,9.2
2002/3/16,8.8,13.0,4.2
2002/3/17,11.5,20.9,2.4
2002/3/18,10.7,16.9,5.7
2002/3/19,9.1,14.2,4.5
2002/3/20,8.1,13.4,4.0
2002/3/21,11.4,19.6,1.3
2002/3/22,10.4,15.3,6.7
2002/3/23,6.3,10.7,2.3
2002/3/24,4.8,9.7,0.9
2002/3/25,6.5,11.8,2.7
2002/3/26,7.7,14.6,0.0
2002/3/27,8.4,10.5,4.2
2002/3/28,6.5,12.3,2.9
2002/3/29,8.5,13.4,1.7
2002/3/30,11.3,15.1,6.3
2002/3/31,7.6,10.8,3.9
