ダウンロードした時刻：2019/10/10 15:41:02

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/12/1,5.6,14.1,0.6
2009/12/2,7.3,15.6,1.5
2009/12/3,7.0,8.5,5.4
2009/12/4,7.3,12.5,3.6
2009/12/5,5.6,9.1,2.5
2009/12/6,8.7,14.6,5.3
2009/12/7,6.8,10.0,5.0
2009/12/8,6.9,11.2,2.7
2009/12/9,7.3,12.3,2.3
2009/12/10,6.5,10.8,3.8
2009/12/11,5.3,6.1,4.1
2009/12/12,8.9,13.2,5.7
2009/12/13,7.7,9.0,6.1
2009/12/14,4.9,10.2,1.8
2009/12/15,3.8,7.9,0.1
2009/12/16,2.2,4.0,0.3
2009/12/17,1.0,4.8,-2.3
2009/12/18,0.3,3.2,-1.3
2009/12/19,-0.2,2.7,-2.4
2009/12/20,2.2,5.9,-0.3
2009/12/21,0.2,3.3,-2.0
2009/12/22,3.0,8.8,-3.3
2009/12/23,5.8,9.5,3.3
2009/12/24,5.3,8.8,1.3
2009/12/25,4.9,9.4,-0.1
2009/12/26,5.0,11.6,-0.2
2009/12/27,5.5,9.0,2.6
2009/12/28,3.5,8.6,1.5
2009/12/29,2.9,6.5,-0.9
2009/12/30,1.7,8.3,-3.2
2009/12/31,1.8,7.5,-2.7
2010/1/1,-1.1,1.5,-2.8
2010/1/2,1.3,4.2,-1.0
2010/1/3,1.2,3.9,-0.9
2010/1/4,1.8,5.7,-1.0
2010/1/5,3.3,8.3,-0.7
2010/1/6,4.1,7.7,1.2
2010/1/7,2.2,6.8,0.1
2010/1/8,2.3,6.4,-0.4
2010/1/9,2.2,7.0,-1.3
2010/1/10,2.8,6.5,-0.1
2010/1/11,3.6,8.0,-0.5
2010/1/12,2.4,4.2,0.2
2010/1/13,0.9,5.0,-1.6
2010/1/14,-1.7,-1.0,-3.1
2010/1/15,-0.9,2.2,-4.0
2010/1/16,-0.8,1.8,-3.2
2010/1/17,0.9,4.6,-2.9
2010/1/18,1.2,8.0,-5.6
2010/1/19,4.9,9.8,-0.1
2010/1/20,7.1,15.1,-1.2
2010/1/21,6.7,13.1,0.2
2010/1/22,0.4,3.5,-1.2
2010/1/23,1.5,5.5,-1.4
2010/1/24,3.5,8.8,-0.2
2010/1/25,5.1,13.0,0.1
2010/1/26,1.4,3.6,-0.5
2010/1/27,3.4,10.8,-2.3
2010/1/28,5.3,14.1,-0.1
2010/1/29,3.9,6.1,2.1
2010/1/30,4.3,7.9,0.8
2010/1/31,5.4,11.1,1.2
2010/2/1,4.3,8.0,-0.7
2010/2/2,1.4,4.6,-2.2
2010/2/3,-1.9,1.0,-4.6
2010/2/4,-1.6,4.3,-6.2
2010/2/5,-1.0,4.5,-3.4
2010/2/6,-4.2,-2.1,-6.2
2010/2/7,1.4,4.4,-4.9
2010/2/8,3.5,9.0,-2.2
2010/2/9,6.5,12.9,1.2
2010/2/10,3.0,6.5,0.9
2010/2/11,0.9,2.9,-1.0
2010/2/12,0.4,3.4,-1.5
2010/2/13,0.0,3.6,-2.1
2010/2/14,1.1,6.8,-4.2
2010/2/15,2.9,6.8,0.1
2010/2/16,1.8,6.7,-0.5
2010/2/17,0.5,3.4,-2.4
2010/2/18,0.6,4.1,-1.7
2010/2/19,1.7,7.3,-2.7
2010/2/20,2.0,5.9,-0.9
2010/2/21,2.3,6.8,-1.5
2010/2/22,2.9,10.2,-3.5
2010/2/23,7.9,15.5,2.2
2010/2/24,6.6,15.9,-0.4
2010/2/25,10.0,20.1,3.1
2010/2/26,10.6,15.4,6.3
2010/2/27,6.4,10.2,3.2
2010/2/28,4.8,9.0,3.1
2010/3/1,4.9,11.4,0.5
2010/3/2,1.0,2.1,0.3
2010/3/3,4.6,9.9,1.1
2010/3/4,4.0,7.9,0.4
2010/3/5,9.3,18.9,1.1
2010/3/6,8.6,10.6,7.0
2010/3/7,4.0,7.3,1.1
2010/3/8,3.1,7.7,-0.5
2010/3/9,-0.6,2.1,-2.3
2010/3/10,0.8,2.7,-1.5
2010/3/11,4.2,7.9,0.1
2010/3/12,6.6,13.6,-1.8
2010/3/13,6.3,11.5,2.3
2010/3/14,5.5,10.3,1.0
2010/3/15,8.2,15.2,-0.7
2010/3/16,10.6,17.0,5.3
2010/3/17,3.7,6.4,0.9
2010/3/18,5.2,10.2,1.9
2010/3/19,6.3,12.6,1.3
2010/3/20,13.0,22.9,3.1
2010/3/21,8.1,14.7,0.6
2010/3/22,4.8,9.5,0.0
2010/3/23,6.7,9.7,3.4
2010/3/24,6.8,10.8,2.1
2010/3/25,2.2,4.9,0.5
2010/3/26,4.7,8.7,1.2
2010/3/27,3.6,11.0,-0.5
2010/3/28,1.7,4.5,-0.6
2010/3/29,1.2,6.0,-1.6
2010/3/30,2.3,7.8,-3.0
2010/3/31,6.1,13.5,-1.8
