ダウンロードした時刻：2019/10/10 15:34:42

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,1.7,7.0,-2.3
2002/12/2,1.3,5.4,-2.4
2002/12/3,2.0,7.6,-4.3
2002/12/4,5.4,11.4,-1.1
2002/12/5,3.6,9.8,-0.4
2002/12/6,-0.7,0.7,-1.4
2002/12/7,-1.8,0.6,-5.3
2002/12/8,-5.1,-2.8,-6.4
2002/12/9,-4.4,-1.1,-6.4
2002/12/10,-6.0,-3.7,-8.9
2002/12/11,-7.9,-6.9,-9.4
2002/12/12,-6.1,-3.6,-9.4
2002/12/13,-4.9,1.1,-10.6
2002/12/14,1.2,4.8,-5.2
2002/12/15,3.0,5.1,0.5
2002/12/16,3.5,6.0,0.3
2002/12/17,0.6,3.0,-3.0
2002/12/18,1.5,5.6,-3.0
2002/12/19,-2.3,1.9,-4.8
2002/12/20,-3.4,-0.7,-5.8
2002/12/21,-1.1,0.7,-3.3
2002/12/22,-2.7,0.3,-6.5
2002/12/23,-2.5,0.3,-5.2
2002/12/24,-2.3,0.6,-5.1
2002/12/25,-3.4,-1.4,-6.1
2002/12/26,-6.8,-4.1,-9.0
2002/12/27,-8.7,-6.4,-10.4
2002/12/28,-2.9,3.9,-7.6
2002/12/29,-7.0,-4.7,-8.7
2002/12/30,-7.1,-5.5,-8.4
2002/12/31,-6.1,-3.9,-7.8
2003/1/1,-5.2,-2.3,-7.4
2003/1/2,-5.7,-1.5,-9.3
2003/1/3,-1.6,3.2,-9.8
2003/1/4,0.8,3.5,-3.7
2003/1/5,-4.9,-3.2,-7.3
2003/1/6,-4.1,0.0,-9.3
2003/1/7,-4.0,-2.6,-5.7
2003/1/8,-0.5,1.5,-3.6
2003/1/9,2.5,5.4,-1.9
2003/1/10,-1.2,2.2,-5.0
2003/1/11,-3.3,-0.3,-6.8
2003/1/12,-3.3,-0.6,-5.8
2003/1/13,2.2,7.2,-4.1
2003/1/14,-0.7,2.1,-4.7
2003/1/15,-5.8,-3.3,-8.9
2003/1/16,-0.8,1.8,-6.1
2003/1/17,-1.0,1.7,-6.5
2003/1/18,-3.4,-0.6,-7.3
2003/1/19,-3.2,-0.3,-5.2
2003/1/20,-3.8,-1.4,-5.8
2003/1/21,-4.2,-1.1,-7.0
2003/1/22,-4.8,-2.9,-7.3
2003/1/23,-3.0,0.7,-8.4
2003/1/24,-1.3,0.6,-4.3
2003/1/25,-0.7,2.5,-3.0
2003/1/26,-0.6,2.6,-2.6
2003/1/27,1.6,4.8,-0.8
2003/1/28,2.9,6.5,-0.5
2003/1/29,-4.0,-0.4,-7.7
2003/1/30,-5.4,-3.5,-7.2
2003/1/31,-5.2,-2.9,-9.2
2003/2/1,-2.8,1.3,-8.7
2003/2/2,-2.5,1.8,-8.3
2003/2/3,-2.2,1.5,-5.0
2003/2/4,-3.2,0.3,-6.7
2003/2/5,-4.2,0.3,-8.5
2003/2/6,-4.5,-0.2,-9.5
2003/2/7,2.0,6.0,-2.7
2003/2/8,3.5,7.1,-0.6
2003/2/9,3.4,5.4,1.3
2003/2/10,0.8,3.3,-3.1
2003/2/11,-1.5,0.3,-3.0
2003/2/12,-5.8,-2.5,-8.0
2003/2/13,-4.4,-2.3,-7.3
2003/2/14,-4.1,-2.3,-5.0
2003/2/15,-2.1,0.8,-5.3
2003/2/16,0.4,5.1,-5.1
2003/2/17,-1.1,1.8,-3.4
2003/2/18,-2.0,2.8,-6.8
2003/2/19,-2.6,1.1,-7.3
2003/2/20,-2.4,-1.2,-3.8
2003/2/21,-2.7,1.6,-6.5
2003/2/22,-2.5,1.0,-6.9
2003/2/23,-3.1,1.0,-6.6
2003/2/24,-3.9,1.0,-9.0
2003/2/25,-2.2,2.8,-8.2
2003/2/26,-1.9,1.2,-5.6
2003/2/27,-3.0,0.7,-5.3
2003/2/28,0.2,5.0,-6.8
2003/3/1,3.4,7.1,-0.8
2003/3/2,2.8,6.0,0.5
2003/3/3,0.7,2.4,-1.3
2003/3/4,-1.6,0.9,-4.8
2003/3/5,-2.1,1.3,-7.0
2003/3/6,1.1,5.1,-2.6
2003/3/7,1.0,2.9,-1.4
2003/3/8,-0.5,1.4,-1.9
2003/3/9,-2.3,0.6,-5.6
2003/3/10,-3.7,-1.2,-6.0
2003/3/11,-2.4,1.1,-4.8
2003/3/12,-1.2,3.6,-6.1
2003/3/13,-0.7,4.5,-5.6
2003/3/14,0.7,5.9,-4.7
2003/3/15,1.0,7.0,-4.6
2003/3/16,1.5,7.5,-2.2
2003/3/17,0.1,4.5,-3.8
2003/3/18,0.0,3.2,-5.2
2003/3/19,0.3,4.4,-2.5
2003/3/20,0.4,4.5,-3.5
2003/3/21,-0.3,4.8,-4.8
2003/3/22,3.0,9.5,-4.1
2003/3/23,5.4,9.8,-0.5
2003/3/24,5.8,8.6,3.1
2003/3/25,6.9,12.5,2.0
2003/3/26,5.2,10.2,-0.2
2003/3/27,5.0,6.9,3.5
2003/3/28,3.8,6.0,2.5
2003/3/29,3.5,7.3,0.9
2003/3/30,3.8,9.8,-1.5
2003/3/31,3.2,8.3,-1.8
