É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:34

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2001/12/1,7.4,14.1,1.2
2001/12/2,7.5,15.9,0.9
2001/12/3,7.1,13.9,1.1
2001/12/4,8.8,12.7,6.5
2001/12/5,10.3,14.6,6.5
2001/12/6,9.4,11.6,6.0
2001/12/7,7.9,13.1,4.2
2001/12/8,5.3,11.3,0.7
2001/12/9,5.1,12.7,-0.4
2001/12/10,3.9,12.0,-1.4
2001/12/11,4.1,11.1,-2.7
2001/12/12,3.1,10.0,-3.3
2001/12/13,4.0,5.8,1.6
2001/12/14,5.9,10.9,1.8
2001/12/15,4.5,8.3,-0.9
2001/12/16,5.5,11.6,0.2
2001/12/17,2.9,9.8,-2.7
2001/12/18,3.6,11.4,-2.3
2001/12/19,2.5,9.8,-3.9
2001/12/20,2.8,11.0,-3.6
2001/12/21,1.3,3.3,0.3
2001/12/22,4.3,10.5,1.0
2001/12/23,2.1,9.8,-3.4
2001/12/24,2.2,9.7,-4.4
2001/12/25,5.4,10.9,-0.2
2001/12/26,6.1,10.9,0.7
2001/12/27,1.5,7.4,-3.0
2001/12/28,2.3,9.4,-3.4
2001/12/29,1.8,9.5,-3.5
2001/12/30,2.8,10.0,-2.4
2001/12/31,3.7,10.4,-1.3
2002/1/1,1.7,8.8,-3.8
2002/1/2,1.2,7.6,-3.1
2002/1/3,0.9,6.2,-3.6
2002/1/4,2.8,10.9,-4.4
2002/1/5,3.0,5.2,-1.0
2002/1/6,1.5,8.4,-3.5
2002/1/7,0.9,6.9,-4.9
2002/1/8,3.4,11.0,-1.0
2002/1/9,3.6,9.5,-3.6
2002/1/10,3.8,12.6,-3.3
2002/1/11,5.7,13.4,-1.3
2002/1/12,6.6,15.4,-1.7
2002/1/13,5.2,13.1,-0.1
2002/1/14,4.2,11.3,-2.2
2002/1/15,5.2,11.8,-0.2
2002/1/16,6.9,11.0,2.2
2002/1/17,5.8,8.5,3.1
2002/1/18,3.9,8.9,0.6
2002/1/19,1.7,6.8,-2.9
2002/1/20,3.4,9.5,-3.9
2002/1/21,4.8,6.6,3.3
2002/1/22,5.9,12.6,0.4
2002/1/23,2.2,8.8,-3.7
2002/1/24,2.3,9.7,-4.3
2002/1/25,2.7,10.1,-3.8
2002/1/26,0.9,3.9,-2.9
2002/1/27,3.8,10.6,0.0
2002/1/28,5.3,10.7,0.6
2002/1/29,2.6,6.3,-1.8
2002/1/30,0.5,7.6,-5.3
2002/1/31,1.9,8.3,-3.7
2002/2/1,2.9,8.6,-0.4
2002/2/2,3.3,10.4,-3.7
2002/2/3,3.0,4.8,0.6
2002/2/4,5.7,11.0,2.3
2002/2/5,6.4,9.8,4.0
2002/2/6,7.2,13.0,3.8
2002/2/7,7.9,14.2,5.2
2002/2/8,5.9,13.2,-0.7
2002/2/9,5.7,13.1,0.5
2002/2/10,0.7,3.5,-1.0
2002/2/11,1.2,7.6,-4.6
2002/2/12,2.7,9.8,-3.0
2002/2/13,2.4,9.1,-3.3
2002/2/14,2.2,8.3,-4.0
2002/2/15,2.4,10.3,-4.8
2002/2/16,3.1,10.7,-4.3
2002/2/17,3.5,8.4,-1.9
2002/2/18,4.7,11.8,0.9
2002/2/19,4.4,8.7,-0.1
2002/2/20,5.1,13.4,-1.6
2002/2/21,6.4,16.7,-2.5
2002/2/22,9.6,19.2,3.1
2002/2/23,8.3,15.4,2.8
2002/2/24,7.4,13.4,4.6
2002/2/25,6.6,13.4,-0.1
2002/2/26,8.8,16.6,2.4
2002/2/27,9.8,14.2,6.2
2002/2/28,9.9,12.5,7.5
2002/3/1,11.3,15.4,8.7
2002/3/2,11.4,17.4,7.1
2002/3/3,5.4,8.8,3.4
2002/3/4,6.0,14.7,-0.8
2002/3/5,5.4,9.3,0.8
2002/3/6,10.9,21.6,5.2
2002/3/7,7.4,13.4,2.1
2002/3/8,6.8,13.8,1.7
2002/3/9,6.9,16.1,-1.3
2002/3/10,9.9,20.2,0.0
2002/3/11,12.1,18.6,6.8
2002/3/12,10.6,20.8,2.0
2002/3/13,9.5,17.4,2.0
2002/3/14,10.6,18.0,3.7
2002/3/15,13.9,21.9,8.6
2002/3/16,12.6,17.8,7.3
2002/3/17,13.0,22.3,3.9
2002/3/18,11.8,19.0,5.7
2002/3/19,11.3,18.1,3.9
2002/3/20,13.3,20.4,7.6
2002/3/21,12.2,21.5,3.2
2002/3/22,13.5,20.6,8.0
2002/3/23,10.6,17.0,5.3
2002/3/24,7.5,14.2,2.0
2002/3/25,7.8,15.2,0.8
2002/3/26,10.6,17.1,5.8
2002/3/27,10.0,14.2,5.4
2002/3/28,9.1,16.9,2.1
2002/3/29,9.2,11.6,6.6
2002/3/30,16.5,23.6,10.8
2002/3/31,15.7,22.4,11.8
