ダウンロードした時刻：2019/10/10 16:06:20

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,9.2,16.5,3.7
1994/12/2,12.5,18.7,6.9
1994/12/3,8.2,12.8,5.0
1994/12/4,6.3,11.7,3.6
1994/12/5,5.8,10.4,4.0
1994/12/6,5.8,10.4,2.6
1994/12/7,8.0,15.0,1.7
1994/12/8,9.1,14.4,4.2
1994/12/9,11.3,13.7,9.3
1994/12/10,8.5,11.4,3.7
1994/12/11,5.6,8.2,2.0
1994/12/12,10.5,15.4,7.4
1994/12/13,9.0,11.1,5.8
1994/12/14,5.8,8.3,3.6
1994/12/15,5.7,10.9,2.9
1994/12/16,1.9,4.3,0.3
1994/12/17,2.4,8.4,-1.8
1994/12/18,3.5,6.8,0.8
1994/12/19,4.3,5.9,2.5
1994/12/20,4.9,9.3,0.8
1994/12/21,5.1,7.3,3.4
1994/12/22,4.2,9.5,1.6
1994/12/23,4.3,12.2,0.3
1994/12/24,6.9,13.0,0.4
1994/12/25,8.8,11.5,7.2
1994/12/26,8.5,10.5,5.3
1994/12/27,10.3,13.7,8.3
1994/12/28,7.2,10.3,3.4
1994/12/29,4.1,6.5,2.0
1994/12/30,4.3,9.7,1.5
1994/12/31,4.9,8.1,2.7
1995/1/1,3.9,6.4,1.8
1995/1/2,4.5,6.6,-0.7
1995/1/3,2.6,5.4,-1.6
1995/1/4,6.3,8.5,3.3
1995/1/5,4.0,8.8,0.2
1995/1/6,0.7,2.2,-0.8
1995/1/7,1.5,2.8,0.1
1995/1/8,3.4,9.5,0.4
1995/1/9,8.3,15.0,1.3
1995/1/10,2.2,8.3,-0.9
1995/1/11,1.6,7.0,-1.2
1995/1/12,3.1,8.1,-1.1
1995/1/13,0.9,2.9,0.0
1995/1/14,0.3,1.0,-0.1
1995/1/15,0.3,1.3,-0.8
1995/1/16,1.1,3.9,0.1
1995/1/17,1.2,4.5,0.0
1995/1/18,2.2,6.1,-1.8
1995/1/19,1.6,3.6,-0.7
1995/1/20,2.3,6.6,-1.3
1995/1/21,2.5,7.7,0.2
1995/1/22,3.9,9.0,0.7
1995/1/23,4.9,7.4,3.2
1995/1/24,3.7,6.7,1.5
1995/1/25,3.2,6.0,-0.3
1995/1/26,2.2,7.3,-0.2
1995/1/27,1.9,4.9,0.2
1995/1/28,1.9,8.3,-1.3
1995/1/29,2.0,6.8,-1.5
1995/1/30,-0.4,1.3,-1.3
1995/1/31,-0.6,0.7,-3.5
1995/2/1,0.5,3.9,-2.0
1995/2/2,0.8,3.1,-2.1
1995/2/3,1.2,5.8,-2.5
1995/2/4,0.3,5.4,-3.5
1995/2/5,1.2,4.7,-2.0
1995/2/6,2.0,4.6,0.5
1995/2/7,1.7,4.8,-0.2
1995/2/8,3.4,10.9,-0.4
1995/2/9,4.2,10.3,0.2
1995/2/10,3.4,4.6,1.5
1995/2/11,3.4,9.8,-0.6
1995/2/12,4.6,10.8,-0.6
1995/2/13,5.8,9.3,3.8
1995/2/14,4.2,7.4,-0.1
1995/2/15,3.2,9.7,-0.7
1995/2/16,2.0,4.9,0.2
1995/2/17,1.6,5.3,-0.5
1995/2/18,3.4,7.3,-0.5
1995/2/19,5.4,9.4,1.4
1995/2/20,3.4,6.9,0.9
1995/2/21,2.8,6.8,0.2
1995/2/22,3.4,7.8,-0.1
1995/2/23,4.1,12.2,-2.1
1995/2/24,5.5,7.3,3.4
1995/2/25,3.9,8.5,0.3
1995/2/26,5.5,12.6,0.5
1995/2/27,4.3,9.0,-0.3
1995/2/28,4.7,13.2,-1.7
1995/3/1,4.0,7.8,1.2
1995/3/2,4.1,7.7,-0.9
1995/3/3,3.6,10.0,-2.1
1995/3/4,3.6,6.5,0.8
1995/3/5,3.1,6.8,-1.3
1995/3/6,4.8,10.4,0.9
1995/3/7,5.9,13.4,0.4
1995/3/8,5.0,11.6,0.1
1995/3/9,6.2,12.8,0.1
1995/3/10,8.2,13.5,3.7
1995/3/11,5.5,8.4,2.8
1995/3/12,6.7,12.2,3.5
1995/3/13,6.8,10.7,4.5
1995/3/14,6.0,9.3,3.5
1995/3/15,6.5,12.1,1.5
1995/3/16,11.3,14.6,4.3
1995/3/17,11.3,16.4,6.1
1995/3/18,5.0,6.5,2.5
1995/3/19,4.1,10.6,-0.2
1995/3/20,6.8,15.6,-1.6
1995/3/21,11.3,18.7,4.0
1995/3/22,9.6,11.1,7.4
1995/3/23,9.9,14.9,7.0
1995/3/24,10.6,15.8,6.8
1995/3/25,7.7,10.5,6.2
1995/3/26,6.1,10.0,0.3
1995/3/27,7.5,16.5,-0.7
1995/3/28,6.3,9.6,2.6
1995/3/29,9.3,16.4,1.0
1995/3/30,10.2,11.6,8.5
1995/3/31,10.7,13.1,7.8
