ダウンロードした時刻：2019/10/10 15:50:20

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,7.8,11.2,3.9
1997/12/2,8.5,13.9,1.9
1997/12/3,2.1,6.0,-0.8
1997/12/4,3.7,10.0,-1.8
1997/12/5,5.4,13.0,0.1
1997/12/6,8.0,14.0,2.7
1997/12/7,10.5,15.6,7.5
1997/12/8,11.6,13.2,8.9
1997/12/9,11.7,15.0,8.2
1997/12/10,7.8,14.7,3.2
1997/12/11,3.9,8.4,0.3
1997/12/12,5.5,10.2,1.4
1997/12/13,4.9,9.0,0.6
1997/12/14,4.6,12.3,-0.8
1997/12/15,7.4,16.1,1.2
1997/12/16,7.5,12.4,3.1
1997/12/17,6.4,10.6,2.5
1997/12/18,9.6,16.1,4.9
1997/12/19,9.6,17.3,3.7
1997/12/20,11.1,19.4,5.1
1997/12/21,8.3,13.0,4.1
1997/12/22,3.4,6.2,0.8
1997/12/23,3.9,8.2,0.8
1997/12/24,3.8,8.9,0.1
1997/12/25,3.1,9.2,-1.1
1997/12/26,4.9,9.7,-0.2
1997/12/27,9.1,14.2,5.0
1997/12/28,7.5,13.0,3.3
1997/12/29,5.1,11.9,-0.5
1997/12/30,6.0,8.9,3.3
1997/12/31,5.9,10.3,1.0
1998/1/1,6.0,10.2,0.9
1998/1/2,6.5,10.5,2.4
1998/1/3,6.1,12.5,1.0
1998/1/4,7.0,15.6,1.8
1998/1/5,4.9,10.5,0.6
1998/1/6,5.0,11.6,-0.3
1998/1/7,3.4,7.6,0.1
1998/1/8,0.2,2.7,-1.0
1998/1/9,2.0,6.1,-1.7
1998/1/10,2.7,9.3,-3.4
1998/1/11,3.0,7.8,-0.9
1998/1/12,0.8,2.6,-0.8
1998/1/13,2.1,8.0,-2.3
1998/1/14,3.2,8.1,-0.9
1998/1/15,0.7,3.7,-0.2
1998/1/16,3.3,7.9,0.5
1998/1/17,2.6,6.5,-2.7
1998/1/18,4.3,8.3,1.7
1998/1/19,4.7,9.0,-0.8
1998/1/20,2.0,8.8,-3.9
1998/1/21,3.3,11.6,-1.5
1998/1/22,3.5,10.1,-1.9
1998/1/23,3.7,7.4,0.6
1998/1/24,0.6,6.8,-3.0
1998/1/25,0.6,6.6,-4.3
1998/1/26,2.2,9.7,-3.9
1998/1/27,2.1,6.4,-0.5
1998/1/28,1.2,7.7,-2.6
1998/1/29,1.1,6.5,-3.2
1998/1/30,2.0,8.0,-3.5
1998/1/31,3.2,13.5,-0.5
1998/2/1,2.8,7.5,-1.4
1998/2/2,3.6,10.4,-2.0
1998/2/3,5.3,11.3,-0.9
1998/2/4,3.8,8.1,0.0
1998/2/5,2.0,8.3,-3.7
1998/2/6,3.8,11.4,-3.0
1998/2/7,4.3,9.1,-0.8
1998/2/8,4.3,10.3,1.2
1998/2/9,3.7,8.4,-0.4
1998/2/10,2.1,7.9,-1.4
1998/2/11,3.4,10.1,-2.3
1998/2/12,5.2,9.3,0.6
1998/2/13,12.1,20.2,5.5
1998/2/14,10.3,22.7,5.2
1998/2/15,2.1,8.3,-0.1
1998/2/16,3.7,9.9,-2.3
1998/2/17,3.4,8.5,0.3
1998/2/18,3.8,9.1,-0.4
1998/2/19,4.6,11.9,-2.0
1998/2/20,6.8,12.6,3.0
1998/2/21,7.4,13.0,0.3
1998/2/22,3.2,8.8,-2.0
1998/2/23,5.6,12.1,-0.5
1998/2/24,5.1,7.5,3.1
1998/2/25,4.5,5.7,3.2
1998/2/26,7.2,11.0,4.8
1998/2/27,9.7,14.8,5.2
1998/2/28,8.4,11.6,6.2
1998/3/1,4.3,7.9,0.5
1998/3/2,7.5,12.9,2.7
1998/3/3,7.4,14.7,0.6
1998/3/4,8.5,15.6,2.2
1998/3/5,3.6,7.0,0.6
1998/3/6,6.5,13.7,0.5
1998/3/7,4.7,10.0,1.8
1998/3/8,6.0,13.8,-0.1
1998/3/9,8.1,17.3,2.0
1998/3/10,5.6,11.4,0.7
1998/3/11,5.8,11.3,-1.2
1998/3/12,8.2,11.9,4.3
1998/3/13,10.0,16.5,6.2
1998/3/14,9.7,17.6,2.5
1998/3/15,4.7,8.8,0.3
1998/3/16,5.1,12.1,-0.5
1998/3/17,4.4,10.9,0.3
1998/3/18,5.2,11.3,-0.8
1998/3/19,7.1,13.1,0.2
1998/3/20,11.4,21.4,7.5
1998/3/21,8.9,13.4,4.6
1998/3/22,6.1,10.0,4.0
1998/3/23,6.6,14.2,0.1
1998/3/24,8.8,15.1,1.2
1998/3/25,10.3,16.3,6.3
1998/3/26,11.5,19.6,3.3
1998/3/27,11.4,14.6,8.8
1998/3/28,15.8,21.8,10.9
1998/3/29,16.7,25.4,7.9
1998/3/30,18.7,27.1,9.8
1998/3/31,12.6,20.0,6.2
