ダウンロードした時刻：2019/10/10 15:41:45

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,5.7,12.9,0.2
1988/12/2,6.6,11.8,1.2
1988/12/3,5.3,10.2,-0.9
1988/12/4,9.6,13.1,4.5
1988/12/5,9.5,14.6,5.0
1988/12/6,6.0,10.8,1.8
1988/12/7,6.8,13.8,0.9
1988/12/8,8.3,15.8,1.6
1988/12/9,10.7,14.3,4.3
1988/12/10,7.0,10.1,3.8
1988/12/11,5.5,13.3,-1.2
1988/12/12,7.6,13.4,1.6
1988/12/13,8.8,10.2,5.6
1988/12/14,8.9,13.7,4.0
1988/12/15,6.7,11.8,2.3
1988/12/16,4.2,9.4,0.3
1988/12/17,1.5,6.1,-2.8
1988/12/18,5.2,12.2,-2.5
1988/12/19,7.2,12.1,2.7
1988/12/20,8.7,16.4,2.4
1988/12/21,6.2,10.1,2.7
1988/12/22,4.0,7.7,1.4
1988/12/23,4.4,9.4,0.4
1988/12/24,6.9,12.5,0.6
1988/12/25,5.3,7.9,-0.3
1988/12/26,3.8,8.7,-1.2
1988/12/27,3.5,9.8,-0.5
1988/12/28,2.3,6.6,-1.6
1988/12/29,3.5,6.8,0.2
1988/12/30,4.0,9.5,-1.7
1988/12/31,4.0,11.4,-2.8
1989/1/1,6.5,12.9,3.1
1989/1/2,7.2,13.0,2.9
1989/1/3,8.7,13.9,2.9
1989/1/4,4.2,7.3,1.8
1989/1/5,3.4,7.4,-2.5
1989/1/6,6.6,12.1,0.8
1989/1/7,7.2,11.1,-0.1
1989/1/8,8.5,10.7,7.5
1989/1/9,8.7,10.9,8.1
1989/1/10,7.9,9.1,7.1
1989/1/11,8.4,12.4,3.2
1989/1/12,7.2,8.9,5.1
1989/1/13,5.4,8.9,2.5
1989/1/14,4.5,7.5,1.8
1989/1/15,1.1,3.9,-1.5
1989/1/16,2.0,7.4,-2.4
1989/1/17,5.1,10.5,-1.2
1989/1/18,6.7,10.4,2.9
1989/1/19,8.6,13.5,5.7
1989/1/20,8.9,10.3,7.7
1989/1/21,8.2,12.1,4.6
1989/1/22,5.1,8.9,2.1
1989/1/23,4.3,8.2,1.0
1989/1/24,5.1,10.9,1.9
1989/1/25,3.8,7.7,-0.7
1989/1/26,5.3,9.4,-1.3
1989/1/27,7.5,14.6,2.9
1989/1/28,0.7,4.0,-2.0
1989/1/29,3.3,7.8,-1.2
1989/1/30,5.6,11.4,-0.2
1989/1/31,6.9,13.8,-1.8
1989/2/1,5.5,9.0,2.6
1989/2/2,3.3,7.8,-0.5
1989/2/3,1.4,5.2,-2.6
1989/2/4,3.4,8.0,-2.0
1989/2/5,5.0,10.9,-0.8
1989/2/6,6.8,12.9,1.6
1989/2/7,6.7,11.3,1.3
1989/2/8,7.7,13.9,-1.2
1989/2/9,6.4,8.4,5.1
1989/2/10,4.9,6.5,3.9
1989/2/11,3.8,8.3,0.9
1989/2/12,4.1,10.0,-1.0
1989/2/13,3.8,8.7,-0.5
1989/2/14,5.0,10.4,-2.0
1989/2/15,6.4,12.4,-3.2
1989/2/16,10.9,14.2,4.9
1989/2/17,6.6,11.1,3.8
1989/2/18,3.2,4.9,1.4
1989/2/19,5.0,11.2,-0.2
1989/2/20,6.8,11.6,0.1
1989/2/21,8.0,12.6,4.1
1989/2/22,4.4,8.1,1.8
1989/2/23,2.9,6.0,-0.4
1989/2/24,3.2,4.7,1.2
1989/2/25,4.0,6.0,3.0
1989/2/26,4.9,9.6,2.6
1989/2/27,5.5,10.1,-0.9
1989/2/28,10.2,12.7,3.9
1989/3/1,10.8,16.6,3.9
1989/3/2,4.5,8.7,0.3
1989/3/3,7.8,11.4,0.6
1989/3/4,13.3,17.1,9.3
1989/3/5,5.2,9.4,3.5
1989/3/6,5.4,11.1,1.6
1989/3/7,5.0,7.2,1.5
1989/3/8,3.5,6.8,1.1
1989/3/9,2.7,7.4,-1.7
1989/3/10,5.4,11.7,-1.3
1989/3/11,7.5,12.7,-0.3
1989/3/12,8.8,15.0,4.2
1989/3/13,9.9,15.6,2.9
1989/3/14,12.5,19.6,9.2
1989/3/15,9.6,14.5,5.1
1989/3/16,7.8,12.8,3.4
1989/3/17,6.0,9.9,3.1
1989/3/18,5.9,10.4,2.7
1989/3/19,6.9,12.1,4.0
1989/3/20,8.1,13.8,3.7
1989/3/21,6.0,8.7,4.6
1989/3/22,5.3,8.4,3.3
1989/3/23,5.5,8.5,3.6
1989/3/24,6.5,8.6,4.4
1989/3/25,9.6,16.4,6.3
1989/3/26,8.4,13.9,3.9
1989/3/27,8.0,11.6,5.4
1989/3/28,5.7,7.6,4.1
1989/3/29,8.9,15.1,4.4
1989/3/30,8.0,12.0,3.9
1989/3/31,10.1,14.1,3.1
