ダウンロードした時刻：2019/10/10 15:39:55

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,5.5,9.4,1.6
1995/12/2,6.5,8.7,4.3
1995/12/3,6.7,10.0,2.4
1995/12/4,7.4,11.3,3.0
1995/12/5,7.4,11.6,3.9
1995/12/6,5.5,9.3,2.2
1995/12/7,5.1,7.9,1.2
1995/12/8,3.1,7.3,-0.3
1995/12/9,3.0,6.7,-1.1
1995/12/10,4.9,9.1,0.1
1995/12/11,6.4,9.7,0.9
1995/12/12,5.4,7.3,3.4
1995/12/13,3.5,5.7,0.9
1995/12/14,5.2,9.7,-1.4
1995/12/15,4.5,10.4,0.8
1995/12/16,1.5,4.2,-2.0
1995/12/17,1.5,3.7,-2.3
1995/12/18,3.0,5.8,-1.0
1995/12/19,3.1,5.6,0.7
1995/12/20,3.8,7.5,0.6
1995/12/21,2.7,5.1,0.2
1995/12/22,4.3,7.9,0.4
1995/12/23,4.7,8.5,0.8
1995/12/24,3.4,8.7,-0.1
1995/12/25,-1.2,1.4,-3.8
1995/12/26,-0.9,2.6,-4.4
1995/12/27,1.0,4.3,-2.6
1995/12/28,1.5,5.9,-3.5
1995/12/29,4.0,9.9,-1.1
1995/12/30,2.7,8.1,-0.7
1995/12/31,4.9,8.4,0.9
1996/1/1,1.6,4.9,-0.8
1996/1/2,1.5,6.4,-1.4
1996/1/3,1.7,7.2,-3.1
1996/1/4,0.1,3.2,-2.2
1996/1/5,4.2,7.9,0.7
1996/1/6,3.6,6.3,0.6
1996/1/7,3.5,7.7,-1.0
1996/1/8,3.0,10.2,-1.0
1996/1/9,-3.9,0.0,-5.0
1996/1/10,-0.2,3.0,-4.2
1996/1/11,3.6,5.9,1.5
1996/1/12,4.2,7.1,0.3
1996/1/13,3.9,7.2,-0.1
1996/1/14,2.7,8.7,-2.8
1996/1/15,7.5,13.0,2.6
1996/1/16,5.5,9.5,1.6
1996/1/17,1.1,4.3,-1.0
1996/1/18,-0.1,4.0,-2.6
1996/1/19,-0.2,2.7,-4.0
1996/1/20,0.8,3.0,-1.6
1996/1/21,2.0,5.4,-1.9
1996/1/22,0.6,2.7,-0.9
1996/1/23,0.8,3.9,-1.7
1996/1/24,-1.9,2.5,-4.7
1996/1/25,-1.3,1.9,-3.8
1996/1/26,-1.9,0.0,-4.6
1996/1/27,0.9,4.7,-2.9
1996/1/28,2.2,6.3,-1.7
1996/1/29,2.1,6.6,-1.3
1996/1/30,-2.1,1.1,-5.6
1996/1/31,-4.2,-1.2,-5.9
1996/2/1,-3.8,-1.6,-6.5
1996/2/2,-4.8,-3.1,-6.5
1996/2/3,-1.8,1.6,-6.2
1996/2/4,0.9,4.5,-4.2
1996/2/5,3.0,6.6,-1.1
1996/2/6,2.4,4.7,0.2
1996/2/7,1.9,4.5,-0.5
1996/2/8,2.3,6.8,-2.6
1996/2/9,1.6,6.2,-0.5
1996/2/10,-1.1,1.9,-2.9
1996/2/11,1.7,6.4,-4.0
1996/2/12,7.4,11.6,2.4
1996/2/13,9.7,13.9,6.2
1996/2/14,11.7,18.5,4.6
1996/2/15,5.4,11.0,0.5
1996/2/16,-0.3,2.5,-2.6
1996/2/17,-0.8,3.5,-4.1
1996/2/18,0.2,3.5,-2.2
1996/2/19,-1.0,2.8,-3.2
1996/2/20,-1.6,2.3,-5.1
1996/2/21,-2.1,3.0,-5.6
1996/2/22,-0.9,3.9,-5.5
1996/2/23,1.1,5.2,-2.8
1996/2/24,0.4,4.4,-3.1
1996/2/25,2.2,7.2,-3.1
1996/2/26,4.2,8.2,0.7
1996/2/27,3.2,4.8,1.7
1996/2/28,4.2,7.6,0.2
1996/2/29,6.1,12.0,-0.7
1996/3/1,5.0,9.4,2.1
1996/3/2,2.2,5.4,-0.6
1996/3/3,0.7,4.5,-1.7
1996/3/4,1.8,7.9,-2.4
1996/3/5,-0.2,3.1,-2.1
1996/3/6,1.2,5.1,-3.9
1996/3/7,4.2,8.5,-0.6
1996/3/8,1.7,3.6,0.4
1996/3/9,0.9,1.9,0.4
1996/3/10,2.5,6.2,-0.1
1996/3/11,3.0,8.3,-2.3
1996/3/12,1.2,3.3,-1.2
1996/3/13,3.2,7.0,-1.6
1996/3/14,6.2,10.9,-0.5
1996/3/15,5.9,11.5,0.8
1996/3/16,7.1,11.2,2.6
1996/3/17,6.3,13.1,1.7
1996/3/18,5.8,11.5,0.1
1996/3/19,2.4,5.6,-0.6
1996/3/20,3.8,8.8,-0.1
1996/3/21,5.5,11.3,-0.6
1996/3/22,7.6,13.6,4.8
1996/3/23,3.2,6.4,0.1
1996/3/24,3.0,6.3,-1.5
1996/3/25,6.1,12.7,2.7
1996/3/26,8.0,12.1,5.8
1996/3/27,5.7,9.4,1.6
1996/3/28,6.1,11.7,1.6
1996/3/29,6.2,11.4,0.7
1996/3/30,5.5,9.6,1.4
1996/3/31,12.5,14.9,8.1
