ダウンロードした時刻：2019/10/10 16:01:47

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,7.4,10.0,5.6
1987/12/2,6.9,10.1,3.7
1987/12/3,7.5,10.9,5.3
1987/12/4,7.9,10.7,5.9
1987/12/5,8.1,11.8,4.8
1987/12/6,5.0,6.6,3.5
1987/12/7,5.7,7.6,4.7
1987/12/8,6.7,8.4,3.4
1987/12/9,9.4,10.1,7.9
1987/12/10,11.0,13.9,9.1
1987/12/11,12.5,14.6,11.0
1987/12/12,9.2,12.0,8.1
1987/12/13,4.6,8.7,3.1
1987/12/14,6.9,9.1,3.0
1987/12/15,9.8,12.6,5.7
1987/12/16,11.0,12.9,8.2
1987/12/17,9.1,13.8,5.2
1987/12/18,6.4,8.5,4.5
1987/12/19,8.3,12.5,4.8
1987/12/20,10.8,13.9,7.5
1987/12/21,9.6,13.7,6.8
1987/12/22,9.6,12.6,5.7
1987/12/23,11.5,15.3,8.7
1987/12/24,11.3,15.4,9.2
1987/12/25,13.2,16.4,8.0
1987/12/26,15.0,18.2,11.2
1987/12/27,15.1,18.7,10.4
1987/12/28,13.5,17.0,9.0
1987/12/29,14.0,17.4,9.2
1987/12/30,14.0,18.4,7.1
1987/12/31,7.2,9.7,5.2
1988/1/1,10.4,13.3,5.1
1988/1/2,13.0,15.6,8.9
1988/1/3,9.5,10.8,8.9
1988/1/4,12.0,15.8,8.3
1988/1/5,5.9,10.0,2.7
1988/1/6,4.4,8.1,2.4
1988/1/7,6.4,8.8,2.1
1988/1/8,10.7,13.7,7.2
1988/1/9,7.7,10.1,4.7
1988/1/10,4.1,6.6,1.1
1988/1/11,5.4,8.7,1.5
1988/1/12,8.0,11.2,3.3
1988/1/13,8.8,11.6,5.0
1988/1/14,11.3,15.2,7.3
1988/1/15,12.9,16.2,11.0
1988/1/16,10.3,13.8,7.9
1988/1/17,6.9,9.3,5.2
1988/1/18,6.6,10.7,2.5
1988/1/19,5.0,7.8,1.9
1988/1/20,8.3,12.6,5.2
1988/1/21,8.4,10.3,6.0
1988/1/22,13.8,16.9,8.6
1988/1/23,8.5,13.6,2.4
1988/1/24,2.9,5.3,1.0
1988/1/25,5.4,8.5,2.0
1988/1/26,7.3,11.1,4.6
1988/1/27,7.1,11.0,3.2
1988/1/28,7.3,11.4,4.8
1988/1/29,9.1,12.9,4.8
1988/1/30,8.0,10.8,5.5
1988/1/31,8.1,11.7,6.0
1988/2/1,5.9,8.3,4.3
1988/2/2,7.8,11.1,5.3
1988/2/3,1.5,5.4,-0.3
1988/2/4,4.5,8.1,-0.3
1988/2/5,12.7,16.3,6.6
1988/2/6,12.2,16.9,5.1
1988/2/7,3.6,7.2,0.6
1988/2/8,4.1,8.4,0.5
1988/2/9,5.4,9.6,1.1
1988/2/10,4.5,9.3,2.0
1988/2/11,4.7,7.8,0.4
1988/2/12,4.8,7.0,3.5
1988/2/13,5.7,8.5,3.3
1988/2/14,5.2,6.9,2.4
1988/2/15,2.9,6.5,1.3
1988/2/16,2.8,5.4,1.4
1988/2/17,2.6,4.6,1.0
1988/2/18,3.5,8.0,0.8
1988/2/19,3.5,8.4,-0.7
1988/2/20,6.5,11.9,1.3
1988/2/21,4.3,8.4,0.9
1988/2/22,3.4,7.2,-0.5
1988/2/23,10.3,14.8,7.2
1988/2/24,6.4,10.5,4.5
1988/2/25,4.4,6.9,3.6
1988/2/26,4.6,5.2,4.1
1988/2/27,3.0,4.5,1.8
1988/2/28,5.0,8.3,2.9
1988/2/29,7.1,8.8,3.9
1988/3/1,7.3,8.8,5.9
1988/3/2,5.8,6.4,5.5
1988/3/3,7.6,11.7,3.9
1988/3/4,5.0,7.7,2.2
1988/3/5,6.9,11.1,2.0
1988/3/6,7.9,11.9,3.5
1988/3/7,7.3,11.2,4.0
1988/3/8,5.8,9.4,3.2
1988/3/9,6.4,10.4,2.4
1988/3/10,7.4,13.4,2.6
1988/3/11,11.4,14.4,7.8
1988/3/12,13.9,18.5,8.8
1988/3/13,10.8,15.3,5.7
1988/3/14,13.5,18.1,8.3
1988/3/15,11.5,16.5,5.8
1988/3/16,6.3,8.6,3.7
1988/3/17,5.8,8.3,4.8
1988/3/18,7.5,9.2,5.4
1988/3/19,11.3,15.5,7.6
1988/3/20,8.3,11.0,7.4
1988/3/21,6.8,8.8,5.2
1988/3/22,9.6,12.7,5.1
1988/3/23,12.3,16.2,9.1
1988/3/24,9.0,13.2,6.1
1988/3/25,8.1,10.4,5.9
1988/3/26,5.4,8.0,3.3
1988/3/27,6.6,9.1,3.9
1988/3/28,9.2,12.9,5.8
1988/3/29,7.4,9.0,6.7
1988/3/30,6.3,7.5,5.4
1988/3/31,5.1,6.5,3.9
