ダウンロードした時刻：2017/07/24 15:37:40

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,3.0,5.5,0.5
2009/1/2,4.3,6.3,1.8
2009/1/3,4.5,6.2,2.3
2009/1/4,5.8,7.9,4.4
2009/1/5,4.0,5.7,3.0
2009/1/6,3.3,4.6,2.2
2009/1/7,3.9,6.2,0.9
2009/1/8,2.6,7.2,-0.5
2009/1/9,3.5,6.9,-0.8
2009/1/10,2.1,6.0,-1.9
2009/1/11,0.2,3.0,-2.2
2009/1/12,1.7,4.7,-0.9
2009/1/13,0.9,4.9,-1.4
2009/1/14,2.6,5.1,-1.9
2009/1/15,-0.6,2.1,-2.5
2009/1/16,1.5,3.6,-1.1
2009/1/17,2.3,3.8,0.0
2009/1/18,2.3,5.8,-4.3
2009/1/19,5.6,8.1,3.0
2009/1/20,4.0,5.3,2.8
2009/1/21,3.1,4.9,1.1
2009/1/22,5.3,8.2,1.2
2009/1/23,7.6,12.5,0.4
2009/1/24,-0.6,1.0,-1.8
2009/1/25,0.3,2.5,-1.3
2009/1/26,0.9,1.7,0.3
2009/1/27,2.1,4.5,-1.1
2009/1/28,-0.1,3.4,-3.4
2009/1/29,1.6,6.9,-2.3
2009/1/30,3.7,6.8,-0.7
2009/1/31,3.1,4.6,1.5
2009/2/1,1.8,3.6,0.4
2009/2/2,2.4,4.1,1.2
2009/2/3,4.0,6.5,1.9
2009/2/4,2.5,5.0,-0.9
2009/2/5,2.8,8.1,-1.9
2009/2/6,3.0,5.1,1.6
2009/2/7,2.8,6.2,-0.2
2009/2/8,3.3,5.6,0.9
2009/2/9,4.5,8.1,1.2
2009/2/10,3.5,8.7,0.2
2009/2/11,3.7,8.6,0.1
2009/2/12,5.1,8.0,1.0
2009/2/13,6.3,9.5,1.5
2009/2/14,8.3,14.5,5.7
2009/2/15,3.3,10.0,0.3
2009/2/16,-1.5,0.5,-3.9
2009/2/17,-0.4,2.5,-2.7
2009/2/18,-0.1,2.1,-2.5
2009/2/19,-0.7,1.1,-2.8
2009/2/20,2.2,6.4,-1.9
2009/2/21,-0.2,1.7,-3.0
2009/2/22,2.9,8.2,-3.0
2009/2/23,2.1,4.1,-0.2
2009/2/24,2.0,5.9,-2.4
2009/2/25,4.6,6.7,3.3
2009/2/26,3.2,5.3,0.2
2009/2/27,2.0,7.2,-1.6
2009/2/28,2.1,6.5,-1.4
2009/3/1,2.1,8.6,-3.5
2009/3/2,1.0,3.0,-0.7
2009/3/3,2.4,5.2,0.1
2009/3/4,3.7,7.0,0.5
2009/3/5,4.5,8.4,0.9
2009/3/6,7.4,9.3,5.4
2009/3/7,4.6,7.6,1.7
2009/3/8,6.2,9.8,1.4
2009/3/9,6.5,12.9,-0.2
2009/3/10,5.0,10.5,0.0
2009/3/11,0.7,3.4,-0.7
2009/3/12,2.5,5.9,-0.6
2009/3/13,5.6,10.7,-0.6
2009/3/14,5.2,9.7,0.6
2009/3/15,5.7,9.6,1.0
2009/3/16,7.2,12.0,3.8
2009/3/17,6.9,10.5,3.0
2009/3/18,12.5,20.9,2.6
2009/3/19,15.8,19.7,12.5
2009/3/20,6.1,13.2,3.0
2009/3/21,5.3,8.3,3.0
2009/3/22,8.4,12.9,3.3
2009/3/23,3.9,8.5,1.8
2009/3/24,3.0,6.9,0.5
2009/3/25,2.8,5.5,-0.8
2009/3/26,3.2,5.4,2.2
2009/3/27,3.4,6.7,0.9
2009/3/28,1.6,5.2,-1.0
2009/3/29,2.0,6.0,-0.8
2009/3/30,3.1,8.0,-2.3
2009/3/31,4.1,8.5,0.9
2009/4/1,4.6,9.5,-0.8
2009/4/2,6.6,9.4,2.7
2009/4/3,9.4,12.9,5.6
2009/4/4,8.7,16.5,2.9
2009/4/5,9.6,13.8,6.3
2009/4/6,8.9,13.6,3.6
2009/4/7,8.6,14.1,4.5
2009/4/8,9.2,16.4,1.8
2009/4/9,11.2,15.2,7.9
2009/4/10,14.0,22.0,4.7
2009/4/11,12.7,17.5,9.1
2009/4/12,14.2,22.2,8.6
2009/4/13,12.5,16.4,8.0
2009/4/14,13.5,17.3,9.8
2009/4/15,10.6,12.1,8.7
2009/4/16,7.2,9.7,5.2
2009/4/17,8.3,12.6,4.9
2009/4/18,11.0,17.0,3.4
2009/4/19,11.1,15.7,7.0
2009/4/20,12.6,18.4,5.3
2009/4/21,15.6,18.9,13.2
2009/4/22,12.5,15.9,10.2
2009/4/23,7.8,10.4,6.8
2009/4/24,8.3,11.6,5.9
2009/4/25,10.6,12.7,8.5
2009/4/26,10.7,14.6,5.6
2009/4/27,7.2,8.0,6.2
2009/4/28,8.7,12.4,4.6
2009/4/29,9.7,15.7,2.5
2009/4/30,11.4,17.5,4.9
2009/5/1,13.6,20.2,5.6
