ダウンロードした時刻：2019/10/10 16:19:37

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,14.8,17.0,13.3
2016/12/2,11.9,14.8,9.6
2016/12/3,11.5,15.0,7.9
2016/12/4,12.7,14.2,11.2
2016/12/5,14.3,17.2,10.9
2016/12/6,11.5,16.1,7.2
2016/12/7,10.3,13.8,6.1
2016/12/8,11.9,14.7,8.9
2016/12/9,13.4,16.2,11.3
2016/12/10,10.5,13.3,8.3
2016/12/11,9.9,14.3,6.9
2016/12/12,10.8,13.7,8.0
2016/12/13,12.5,13.0,11.1
2016/12/14,10.2,13.3,7.7
2016/12/15,7.4,8.2,5.7
2016/12/16,6.2,8.7,3.7
2016/12/17,8.3,11.5,5.6
2016/12/18,10.0,13.5,6.7
2016/12/19,11.6,14.5,8.7
2016/12/20,13.1,15.6,11.7
2016/12/21,14.1,16.7,11.9
2016/12/22,15.3,20.0,11.7
2016/12/23,10.0,12.0,8.6
2016/12/24,9.9,12.3,8.3
2016/12/25,11.0,12.9,8.4
2016/12/26,12.5,15.8,10.9
2016/12/27,10.4,15.8,5.3
2016/12/28,6.7,9.8,5.0
2016/12/29,6.9,8.4,5.5
2016/12/30,7.2,10.4,4.9
2016/12/31,8.5,12.3,4.5
2017/1/1,9.0,13.1,5.7
2017/1/2,9.3,11.9,5.5
2017/1/3,11.5,14.5,7.9
2017/1/4,10.6,15.1,6.5
2017/1/5,9.3,12.7,6.6
2017/1/6,8.5,11.2,7.2
2017/1/7,8.5,10.4,5.9
2017/1/8,10.7,12.7,9.2
2017/1/9,11.0,13.0,8.9
2017/1/10,8.9,11.5,7.3
2017/1/11,7.0,9.1,5.5
2017/1/12,8.2,10.0,6.1
2017/1/13,7.8,9.7,5.9
2017/1/14,4.1,5.9,2.1
2017/1/15,3.9,6.7,-0.3
2017/1/16,5.6,8.1,3.5
2017/1/17,6.0,9.4,2.1
2017/1/18,7.7,10.6,4.9
2017/1/19,8.9,11.5,7.5
2017/1/20,6.6,9.3,3.3
2017/1/21,6.3,8.8,3.7
2017/1/22,5.0,7.2,3.3
2017/1/23,3.1,4.6,0.2
2017/1/24,4.5,6.6,3.9
2017/1/25,5.4,9.5,2.1
2017/1/26,6.3,10.4,2.5
2017/1/27,9.4,13.5,4.7
2017/1/28,7.8,12.3,3.6
2017/1/29,8.9,11.5,6.8
2017/1/30,9.8,14.3,5.2
2017/1/31,6.9,9.5,5.1
2017/2/1,7.5,9.9,6.2
2017/2/2,8.4,10.6,6.0
2017/2/3,9.8,12.4,6.4
2017/2/4,9.7,13.8,6.8
2017/2/5,10.3,13.8,8.0
2017/2/6,8.0,9.9,6.1
2017/2/7,8.1,12.0,5.8
2017/2/8,6.7,8.4,5.2
2017/2/9,5.6,7.2,3.9
2017/2/10,3.0,4.4,0.3
2017/2/11,3.3,5.9,-0.1
2017/2/12,5.7,8.7,3.1
2017/2/13,7.0,10.1,3.9
2017/2/14,7.9,10.5,6.1
2017/2/15,8.2,12.4,5.2
2017/2/16,10.0,15.3,5.7
2017/2/17,14.2,18.6,10.9
2017/2/18,9.5,11.6,7.0
2017/2/19,7.9,11.4,4.0
2017/2/20,12.1,17.4,6.6
2017/2/21,6.8,9.8,4.8
2017/2/22,8.4,11.9,4.8
2017/2/23,10.0,13.0,6.8
2017/2/24,7.0,10.5,5.4
2017/2/25,7.6,10.6,4.0
2017/2/26,8.4,11.4,6.0
2017/2/27,8.3,12.3,4.5
2017/2/28,8.7,13.7,4.4
2017/3/1,8.3,12.0,5.4
2017/3/2,9.2,10.8,7.2
2017/3/3,9.3,13.2,6.2
2017/3/4,10.1,14.5,6.5
2017/3/5,10.0,13.9,7.2
2017/3/6,10.4,13.2,8.9
2017/3/7,7.3,9.5,5.0
2017/3/8,6.1,7.9,3.2
2017/3/9,9.0,11.1,6.1
2017/3/10,10.8,13.8,7.5
2017/3/11,9.4,14.8,5.2
2017/3/12,10.4,15.0,6.6
2017/3/13,11.4,13.5,10.0
2017/3/14,10.4,13.9,6.9
2017/3/15,8.7,12.3,6.8
2017/3/16,9.4,13.9,5.7
2017/3/17,9.8,14.8,5.8
2017/3/18,10.1,13.8,6.5
2017/3/19,12.1,17.6,6.9
2017/3/20,10.8,14.0,8.6
2017/3/21,10.8,14.9,8.7
2017/3/22,9.8,13.0,6.5
2017/3/23,11.2,15.7,8.4
2017/3/24,10.7,14.5,8.7
2017/3/25,9.4,11.5,8.0
2017/3/26,10.2,15.3,6.7
2017/3/27,9.4,12.7,6.3
2017/3/28,11.7,14.8,9.3
2017/3/29,10.8,13.0,9.1
2017/3/30,14.1,18.7,10.3
2017/3/31,9.8,13.7,8.2
