ダウンロードした時刻：2019/10/10 16:04:38

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/12/1,7.1,11.2,3.9
2007/12/2,9.5,13.2,4.1
2007/12/3,9.9,11.0,8.8
2007/12/4,7.9,10.8,5.6
2007/12/5,6.6,8.6,4.7
2007/12/6,9.5,13.7,5.1
2007/12/7,8.9,11.2,6.7
2007/12/8,8.1,12.3,3.5
2007/12/9,6.8,9.4,4.1
2007/12/10,8.2,14.0,1.8
2007/12/11,11.2,15.2,8.3
2007/12/12,10.2,11.7,8.9
2007/12/13,9.8,12.1,8.1
2007/12/14,7.4,10.5,4.7
2007/12/15,6.8,9.2,5.5
2007/12/16,6.2,9.2,4.4
2007/12/17,7.2,11.1,2.3
2007/12/18,8.7,11.7,6.6
2007/12/19,8.1,11.7,5.1
2007/12/20,7.8,13.4,1.8
2007/12/21,8.2,12.4,4.2
2007/12/22,8.4,10.1,6.8
2007/12/23,10.6,15.3,8.5
2007/12/24,9.7,11.3,7.2
2007/12/25,8.6,12.7,3.8
2007/12/26,8.1,13.2,2.9
2007/12/27,7.7,13.8,0.2
2007/12/28,12.1,14.4,8.8
2007/12/29,10.6,14.8,7.8
2007/12/30,2.8,7.8,0.3
2007/12/31,1.0,2.8,-0.3
2008/1/1,1.0,3.5,-0.2
2008/1/2,2.3,4.7,0.3
2008/1/3,4.3,8.6,1.9
2008/1/4,4.8,9.2,1.6
2008/1/5,5.6,11.8,1.6
2008/1/6,7.5,14.7,0.5
2008/1/7,9.1,14.8,4.6
2008/1/8,9.7,13.0,6.6
2008/1/9,7.7,13.4,3.1
2008/1/10,7.5,14.4,1.2
2008/1/11,9.9,13.9,4.6
2008/1/12,8.3,11.7,5.9
2008/1/13,4.1,6.3,2.7
2008/1/14,2.9,5.8,0.0
2008/1/15,4.3,10.0,-1.4
2008/1/16,4.9,6.8,2.2
2008/1/17,3.1,5.2,1.0
2008/1/18,2.9,7.7,-0.1
2008/1/19,3.3,7.4,-0.1
2008/1/20,3.3,4.7,1.7
2008/1/21,5.5,7.2,3.5
2008/1/22,5.6,8.2,3.2
2008/1/23,6.2,8.6,4.0
2008/1/24,2.7,6.5,0.6
2008/1/25,2.9,4.0,0.8
2008/1/26,2.7,6.5,0.2
2008/1/27,2.0,5.0,-0.1
2008/1/28,2.3,5.8,-1.6
2008/1/29,4.2,6.8,1.2
2008/1/30,5.2,8.3,3.1
2008/1/31,2.9,5.8,0.7
2008/2/1,1.8,5.5,0.1
2008/2/2,3.1,7.5,0.2
2008/2/3,3.9,6.8,2.1
2008/2/4,3.9,7.4,1.3
2008/2/5,3.4,5.7,1.4
2008/2/6,2.8,6.6,0.4
2008/2/7,1.2,3.8,0.3
2008/2/8,1.8,4.5,0.0
2008/2/9,3.3,6.7,-0.9
2008/2/10,5.4,9.2,1.2
2008/2/11,5.4,11.0,0.9
2008/2/12,3.8,7.8,0.6
2008/2/13,0.8,2.6,-1.0
2008/2/14,1.8,5.8,-1.6
2008/2/15,2.2,5.7,-0.1
2008/2/16,0.8,4.5,-0.3
2008/2/17,0.2,1.7,-1.5
2008/2/18,1.8,5.8,-0.6
2008/2/19,2.9,8.0,-0.6
2008/2/20,4.3,9.1,-0.8
2008/2/21,4.5,10.5,-1.6
2008/2/22,7.9,14.4,2.1
2008/2/23,4.4,10.1,-1.3
2008/2/24,1.6,3.5,-1.6
2008/2/25,4.2,7.1,-0.3
2008/2/26,5.0,8.2,2.4
2008/2/27,3.3,6.9,0.9
2008/2/28,4.5,9.8,-1.2
2008/2/29,7.7,13.8,2.5
2008/3/1,6.2,9.7,3.2
2008/3/2,6.9,14.2,0.5
2008/3/3,6.3,10.7,4.0
2008/3/4,4.4,8.3,0.7
2008/3/5,3.9,7.7,1.2
2008/3/6,5.4,10.7,-0.6
2008/3/7,6.3,11.2,3.3
2008/3/8,5.8,10.9,2.1
2008/3/9,8.0,16.6,-0.2
2008/3/10,10.0,14.9,4.9
2008/3/11,9.9,18.0,2.1
2008/3/12,8.7,13.4,3.9
2008/3/13,14.3,20.5,5.1
2008/3/14,11.1,14.9,7.3
2008/3/15,8.0,12.8,4.5
2008/3/16,10.0,16.0,4.7
2008/3/17,7.8,13.2,2.6
2008/3/18,8.7,14.0,1.3
2008/3/19,11.3,14.4,9.7
2008/3/20,9.6,10.4,8.6
2008/3/21,9.9,12.4,8.4
2008/3/22,8.9,12.8,3.0
2008/3/23,12.6,16.4,6.5
2008/3/24,11.2,15.8,6.6
2008/3/25,10.2,17.8,4.8
2008/3/26,7.4,11.8,3.3
2008/3/27,8.4,15.2,2.0
2008/3/28,9.0,12.9,5.9
2008/3/29,8.2,11.6,4.3
2008/3/30,7.2,8.2,5.8
2008/3/31,8.5,11.5,6.3
