ダウンロードした時刻：2019/10/10 15:53:40

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/12/1,13.3,16.5,9.2
2014/12/2,6.4,9.2,3.9
2014/12/3,6.7,11.2,2.5
2014/12/4,6.3,7.5,5.0
2014/12/5,6.0,9.6,2.8
2014/12/6,2.5,4.1,1.0
2014/12/7,4.6,8.8,1.3
2014/12/8,6.0,10.4,2.2
2014/12/9,6.4,12.1,2.1
2014/12/10,6.0,11.1,1.0
2014/12/11,8.2,11.2,6.2
2014/12/12,7.0,9.8,3.9
2014/12/13,4.4,8.8,2.0
2014/12/14,1.6,2.8,0.6
2014/12/15,3.8,7.4,1.1
2014/12/16,4.1,8.3,2.5
2014/12/17,1.9,5.1,-1.4
2014/12/18,0.5,3.9,-2.5
2014/12/19,2.5,7.2,-2.2
2014/12/20,4.6,8.9,1.7
2014/12/21,7.1,11.0,4.4
2014/12/22,4.1,7.6,0.5
2014/12/23,4.6,9.3,1.6
2014/12/24,4.4,9.8,0.2
2014/12/25,5.1,9.3,2.2
2014/12/26,4.2,8.1,-0.2
2014/12/27,4.2,9.0,-0.2
2014/12/28,3.7,9.2,-2.4
2014/12/29,6.9,12.6,4.3
2014/12/30,6.4,10.6,2.7
2014/12/31,6.6,11.8,3.0
2015/1/1,1.1,5.3,-1.1
2015/1/2,0.4,2.7,-1.0
2015/1/3,2.0,6.1,-2.3
2015/1/4,3.5,8.3,-0.4
2015/1/5,6.6,12.1,2.1
2015/1/6,6.4,8.9,4.9
2015/1/7,5.0,8.2,3.4
2015/1/8,4.9,8.7,2.0
2015/1/9,4.6,8.7,0.3
2015/1/10,3.5,8.9,-1.3
2015/1/11,5.1,10.0,2.3
2015/1/12,4.3,7.4,0.0
2015/1/13,6.2,10.2,2.2
2015/1/14,4.9,9.5,-0.7
2015/1/15,6.8,9.1,4.6
2015/1/16,7.0,11.6,2.5
2015/1/17,3.7,7.8,1.2
2015/1/18,4.0,10.0,-1.4
2015/1/19,4.0,9.2,0.6
2015/1/20,4.8,9.6,1.3
2015/1/21,5.2,9.2,0.2
2015/1/22,6.6,7.8,5.2
2015/1/23,7.1,10.0,3.2
2015/1/24,6.1,11.6,-0.5
2015/1/25,7.8,13.0,3.7
2015/1/26,7.1,9.7,4.2
2015/1/27,8.9,13.2,5.1
2015/1/28,3.5,6.3,0.4
2015/1/29,3.2,7.5,-2.4
2015/1/30,4.6,6.7,3.0
2015/1/31,3.3,5.9,0.5
2015/2/1,3.2,6.4,0.5
2015/2/2,4.4,7.6,1.9
2015/2/3,5.5,9.3,2.8
2015/2/4,4.4,10.7,-1.1
2015/2/5,5.6,11.2,2.0
2015/2/6,5.4,9.6,2.3
2015/2/7,5.0,10.4,-0.9
2015/2/8,4.4,6.5,1.7
2015/2/9,0.0,2.0,-1.2
2015/2/10,0.8,3.8,-2.1
2015/2/11,4.5,10.2,0.3
2015/2/12,5.7,11.5,0.4
2015/2/13,1.7,5.3,-1.0
2015/2/14,3.1,7.8,-1.4
2015/2/15,5.7,10.7,2.8
2015/2/16,5.7,12.8,-0.3
2015/2/17,5.1,6.6,2.5
2015/2/18,5.9,10.8,2.8
2015/2/19,6.4,10.6,3.2
2015/2/20,6.3,11.3,2.9
2015/2/21,7.3,13.6,0.0
2015/2/22,9.3,10.8,7.7
2015/2/23,11.2,16.6,6.8
2015/2/24,8.3,14.1,3.3
2015/2/25,8.2,14.8,2.7
2015/2/26,7.9,8.9,6.9
2015/2/27,6.1,9.8,2.7
2015/2/28,6.9,12.8,2.1
2015/3/1,7.4,9.0,5.5
2015/3/2,7.4,12.0,3.0
2015/3/3,5.6,9.8,0.7
2015/3/4,9.3,14.9,5.7
2015/3/5,6.2,9.7,4.5
2015/3/6,7.3,12.6,2.9
2015/3/7,8.5,12.3,6.0
2015/3/8,11.0,16.9,7.2
2015/3/9,9.9,13.3,6.7
2015/3/10,3.3,7.9,-1.0
2015/3/11,1.6,6.1,-1.3
2015/3/12,4.7,10.6,1.1
2015/3/13,6.2,12.3,-0.2
2015/3/14,6.6,12.1,2.8
2015/3/15,7.8,13.5,2.2
2015/3/16,12.6,17.8,8.7
2015/3/17,14.6,22.3,6.9
2015/3/18,15.0,22.2,8.7
2015/3/19,14.4,17.7,11.5
2015/3/20,12.8,19.0,8.5
2015/3/21,12.9,19.9,6.4
2015/3/22,13.7,19.8,9.3
2015/3/23,7.1,11.1,2.5
2015/3/24,5.4,10.3,2.3
2015/3/25,6.4,11.7,1.3
2015/3/26,8.8,16.0,2.0
2015/3/27,11.2,20.1,2.1
2015/3/28,13.5,22.0,6.7
2015/3/29,11.5,15.1,9.2
2015/3/30,14.6,21.8,8.0
2015/3/31,15.4,22.8,8.5
