ダウンロードした時刻：2019/10/10 15:41:38

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,11.0,15.0,7.4
1982/12/2,9.7,14.3,5.6
1982/12/3,10.0,17.0,5.1
1982/12/4,9.6,14.5,5.1
1982/12/5,11.7,16.4,4.5
1982/12/6,4.4,11.9,0.3
1982/12/7,3.8,8.1,-1.6
1982/12/8,6.1,9.8,0.3
1982/12/9,4.2,9.3,0.0
1982/12/10,5.4,13.5,-0.9
1982/12/11,10.5,16.9,1.4
1982/12/12,10.9,13.3,7.3
1982/12/13,5.0,9.5,0.3
1982/12/14,4.7,7.6,0.3
1982/12/15,4.8,11.1,-0.4
1982/12/16,6.0,11.0,0.2
1982/12/17,6.4,8.7,4.2
1982/12/18,5.4,9.5,1.9
1982/12/19,3.5,7.4,-1.2
1982/12/20,4.4,11.2,-2.8
1982/12/21,6.2,12.6,-0.5
1982/12/22,8.5,10.4,5.9
1982/12/23,8.6,13.4,5.0
1982/12/24,7.1,13.4,0.8
1982/12/25,5.9,9.1,3.7
1982/12/26,4.5,7.1,2.2
1982/12/27,6.6,10.5,2.0
1982/12/28,5.2,9.6,0.8
1982/12/29,4.9,10.7,0.7
1982/12/30,4.7,12.8,-0.7
1982/12/31,3.2,5.9,0.8
1983/1/1,3.4,6.4,1.6
1983/1/2,1.5,6.0,-2.4
1983/1/3,2.5,7.4,-3.6
1983/1/4,2.4,7.2,-1.7
1983/1/5,4.5,9.8,-1.5
1983/1/6,6.0,9.2,1.2
1983/1/7,5.2,9.1,-0.9
1983/1/8,8.6,13.0,5.4
1983/1/9,4.0,8.5,1.0
1983/1/10,0.6,4.4,-2.3
1983/1/11,0.5,4.9,-3.7
1983/1/12,2.6,9.9,-4.6
1983/1/13,3.4,8.0,-0.2
1983/1/14,1.8,5.7,-1.9
1983/1/15,2.0,6.6,-2.9
1983/1/16,2.0,7.2,-1.7
1983/1/17,3.3,9.1,-2.6
1983/1/18,2.5,3.4,1.1
1983/1/19,3.0,7.3,-0.8
1983/1/20,1.4,5.8,-0.7
1983/1/21,1.4,4.7,-3.1
1983/1/22,-0.6,2.6,-3.1
1983/1/23,-0.1,5.0,-5.6
1983/1/24,2.9,10.2,-4.4
1983/1/25,4.1,8.7,-2.1
1983/1/26,5.2,10.3,-0.7
1983/1/27,5.6,11.1,-0.1
1983/1/28,7.2,13.9,0.8
1983/1/29,7.0,11.4,0.3
1983/1/30,5.6,9.5,2.1
1983/1/31,2.8,6.7,-0.2
1983/2/1,3.7,7.1,0.1
1983/2/2,4.0,5.0,3.0
1983/2/3,4.1,8.5,0.9
1983/2/4,2.7,7.2,-2.1
1983/2/5,3.6,8.9,-2.1
1983/2/6,3.9,9.6,-1.7
1983/2/7,3.9,9.0,0.1
1983/2/8,1.8,6.6,-1.9
1983/2/9,2.0,9.5,-3.8
1983/2/10,2.2,7.0,-1.9
1983/2/11,1.9,7.7,-4.0
1983/2/12,-0.3,3.3,-3.8
1983/2/13,-1.2,4.4,-6.2
1983/2/14,-0.1,4.0,-4.2
1983/2/15,4.8,12.6,-2.3
1983/2/16,4.8,9.2,-1.0
1983/2/17,4.0,7.1,0.8
1983/2/18,5.4,6.9,4.3
1983/2/19,3.8,8.4,-0.7
1983/2/20,3.8,9.6,-3.0
1983/2/21,2.5,7.5,-0.2
1983/2/22,3.0,8.2,-0.7
1983/2/23,4.0,8.8,-2.1
1983/2/24,2.1,3.5,0.7
1983/2/25,2.9,8.2,-1.6
1983/2/26,2.3,7.3,-0.4
1983/2/27,3.2,7.1,-1.4
1983/2/28,5.3,10.8,0.5
1983/3/1,6.5,13.6,-1.4
1983/3/2,4.8,6.2,2.4
1983/3/3,7.9,13.1,4.0
1983/3/4,4.9,8.5,2.5
1983/3/5,3.6,9.1,-0.5
1983/3/6,3.9,9.4,-2.5
1983/3/7,3.4,7.9,0.3
1983/3/8,3.0,7.5,-0.5
1983/3/9,2.6,7.7,-2.4
1983/3/10,4.8,6.9,-0.5
1983/3/11,8.8,14.8,3.9
1983/3/12,6.3,9.3,-0.1
1983/3/13,6.1,8.1,3.6
1983/3/14,3.6,8.3,0.9
1983/3/15,4.5,8.5,-2.2
1983/3/16,6.1,8.8,3.0
1983/3/17,7.1,9.4,5.2
1983/3/18,4.4,8.4,1.7
1983/3/19,5.2,9.3,1.0
1983/3/20,6.0,10.0,-0.7
1983/3/21,6.2,10.3,2.2
1983/3/22,8.1,13.3,3.6
1983/3/23,9.0,12.6,3.2
1983/3/24,7.7,11.9,6.3
1983/3/25,5.2,8.0,2.4
1983/3/26,5.7,12.2,0.9
1983/3/27,5.2,6.7,3.0
1983/3/28,7.2,11.5,4.6
1983/3/29,6.7,10.6,2.5
1983/3/30,7.8,11.6,4.8
1983/3/31,7.2,12.5,1.6
