ダウンロードした時刻：2019/10/10 16:15:14

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,7.2,12.0,4.0
1989/12/2,9.3,13.5,3.5
1989/12/3,11.2,16.8,7.0
1989/12/4,12.6,18.2,7.0
1989/12/5,12.2,18.1,8.1
1989/12/6,11.2,17.1,6.6
1989/12/7,12.2,17.8,6.1
1989/12/8,9.5,12.9,7.4
1989/12/9,7.3,11.5,2.8
1989/12/10,6.7,12.7,1.6
1989/12/11,9.8,14.6,4.1
1989/12/12,12.3,16.8,9.5
1989/12/13,9.8,13.3,6.3
1989/12/14,8.6,11.1,5.9
1989/12/15,7.3,12.0,2.9
1989/12/16,8.4,13.7,3.7
1989/12/17,9.3,14.2,4.2
1989/12/18,9.9,15.1,6.0
1989/12/19,6.3,9.4,2.1
1989/12/20,5.8,11.4,-0.2
1989/12/21,9.4,14.5,6.5
1989/12/22,8.2,12.8,5.1
1989/12/23,8.4,14.0,3.0
1989/12/24,8.9,10.4,7.5
1989/12/25,9.7,14.6,6.7
1989/12/26,9.5,11.9,7.3
1989/12/27,6.1,8.4,3.0
1989/12/28,4.9,9.0,1.0
1989/12/29,6.6,10.3,4.6
1989/12/30,6.7,9.1,4.7
1989/12/31,5.0,7.6,1.9
1990/1/1,5.7,9.4,-0.2
1990/1/2,6.7,11.4,2.2
1990/1/3,4.7,7.8,1.6
1990/1/4,5.0,8.6,2.3
1990/1/5,5.9,10.1,0.8
1990/1/6,7.1,11.4,1.7
1990/1/7,5.8,10.6,1.5
1990/1/8,5.5,11.2,-0.2
1990/1/9,8.0,9.9,4.5
1990/1/10,11.4,16.8,8.3
1990/1/11,8.9,12.4,6.3
1990/1/12,9.1,11.5,5.6
1990/1/13,6.9,9.6,4.8
1990/1/14,5.6,9.7,2.4
1990/1/15,4.1,8.0,0.5
1990/1/16,4.7,9.4,0.8
1990/1/17,5.0,10.2,0.8
1990/1/18,10.7,17.4,2.0
1990/1/19,9.6,11.9,6.0
1990/1/20,5.9,8.1,3.9
1990/1/21,3.7,7.4,0.7
1990/1/22,5.2,8.3,0.2
1990/1/23,2.4,5.6,-0.1
1990/1/24,0.2,4.2,-2.7
1990/1/25,0.6,3.5,-1.4
1990/1/26,0.7,4.9,-3.0
1990/1/27,2.0,6.4,-2.1
1990/1/28,4.3,10.0,-2.1
1990/1/29,8.7,12.9,5.2
1990/1/30,8.4,11.8,6.1
1990/1/31,3.7,6.2,3.2
1990/2/1,5.7,8.6,3.7
1990/2/2,5.0,9.6,0.0
1990/2/3,5.9,7.5,4.5
1990/2/4,6.6,8.3,4.7
1990/2/5,7.5,13.2,2.9
1990/2/6,6.9,9.5,4.8
1990/2/7,8.6,14.7,3.6
1990/2/8,6.7,9.6,3.9
1990/2/9,6.9,12.6,3.6
1990/2/10,10.4,16.4,2.6
1990/2/11,12.0,17.4,6.4
1990/2/12,8.4,12.0,4.4
1990/2/13,6.4,10.4,1.3
1990/2/14,6.4,7.9,5.1
1990/2/15,8.0,10.3,5.9
1990/2/16,8.6,12.6,4.9
1990/2/17,8.1,14.6,1.6
1990/2/18,10.0,14.0,4.1
1990/2/19,12.6,17.7,9.3
1990/2/20,10.9,13.8,6.6
1990/2/21,10.4,16.3,3.9
1990/2/22,11.0,14.0,7.3
1990/2/23,12.1,14.0,10.2
1990/2/24,11.7,13.9,10.4
1990/2/25,9.3,11.3,7.4
1990/2/26,9.5,13.4,6.8
1990/2/27,9.0,12.5,6.6
1990/2/28,7.2,10.5,3.5
1990/3/1,7.9,9.0,6.5
1990/3/2,9.8,12.2,8.4
1990/3/3,8.7,9.9,7.5
1990/3/4,7.5,12.7,3.0
1990/3/5,8.0,12.8,3.0
1990/3/6,8.4,12.2,2.9
1990/3/7,7.3,12.5,2.9
1990/3/8,5.8,10.8,1.3
1990/3/9,7.8,13.1,2.2
1990/3/10,9.8,15.1,3.7
1990/3/11,13.9,19.3,5.9
1990/3/12,10.3,17.4,3.8
1990/3/13,7.7,13.6,1.4
1990/3/14,10.4,14.2,3.7
1990/3/15,12.6,16.4,7.5
1990/3/16,10.1,14.3,6.0
1990/3/17,9.4,14.0,4.4
1990/3/18,9.5,12.9,6.4
1990/3/19,8.7,13.8,2.5
1990/3/20,11.3,16.1,5.9
1990/3/21,12.3,19.4,6.9
1990/3/22,13.0,17.9,7.4
1990/3/23,16.7,21.8,9.8
1990/3/24,15.7,20.6,9.5
1990/3/25,9.3,13.0,4.9
1990/3/26,9.5,16.4,2.8
1990/3/27,11.8,17.1,4.3
1990/3/28,11.2,12.7,10.1
1990/3/29,12.7,16.5,10.6
1990/3/30,13.9,18.2,9.6
1990/3/31,13.7,15.7,13.0
