ダウンロードした時刻：2019/10/10 15:48:27

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,10.6,14.6,7.0
1998/12/2,7.9,10.7,6.1
1998/12/3,6.7,8.4,4.8
1998/12/4,8.4,14.6,2.0
1998/12/5,9.3,10.2,8.1
1998/12/6,9.0,13.3,4.2
1998/12/7,9.3,13.6,4.1
1998/12/8,9.9,13.0,7.5
1998/12/9,6.3,8.3,4.8
1998/12/10,5.6,9.0,3.5
1998/12/11,5.7,8.9,3.7
1998/12/12,5.9,10.1,3.8
1998/12/13,7.9,14.4,2.2
1998/12/14,10.3,15.7,6.6
1998/12/15,9.5,11.9,8.1
1998/12/16,9.6,12.5,6.7
1998/12/17,8.9,13.9,5.3
1998/12/18,5.3,11.2,1.0
1998/12/19,8.9,16.0,2.4
1998/12/20,8.0,13.5,3.1
1998/12/21,5.3,9.9,1.2
1998/12/22,5.9,12.5,0.0
1998/12/23,7.9,12.1,4.0
1998/12/24,6.3,8.9,5.0
1998/12/25,5.9,11.0,2.0
1998/12/26,5.9,9.5,1.7
1998/12/27,4.5,11.9,0.3
1998/12/28,5.5,12.6,0.2
1998/12/29,6.6,14.1,1.9
1998/12/30,6.1,10.2,3.1
1998/12/31,2.8,5.0,0.9
1999/1/1,2.2,3.6,0.5
1999/1/2,2.9,6.1,0.5
1999/1/3,3.4,6.5,1.9
1999/1/4,3.8,6.1,1.7
1999/1/5,4.4,12.1,-0.9
1999/1/6,7.0,14.1,1.0
1999/1/7,5.7,10.2,0.7
1999/1/8,0.3,2.1,-1.2
1999/1/9,-0.4,0.5,-1.5
1999/1/10,2.1,4.7,-0.2
1999/1/11,2.1,4.2,0.3
1999/1/12,1.3,2.7,0.3
1999/1/13,1.3,2.9,0.5
1999/1/14,2.1,3.2,1.5
1999/1/15,2.8,6.3,1.4
1999/1/16,3.0,6.0,1.2
1999/1/17,2.4,5.4,-1.6
1999/1/18,2.7,10.3,-2.7
1999/1/19,3.0,6.4,-0.5
1999/1/20,4.5,6.8,1.6
1999/1/21,2.4,4.7,0.6
1999/1/22,4.9,10.4,0.6
1999/1/23,5.4,8.5,2.6
1999/1/24,5.6,10.6,3.0
1999/1/25,6.6,10.7,3.5
1999/1/26,5.8,9.9,2.9
1999/1/27,5.9,11.3,2.0
1999/1/28,4.8,7.3,2.4
1999/1/29,1.4,3.5,0.2
1999/1/30,1.3,3.6,-0.5
1999/1/31,3.6,8.2,1.3
1999/2/1,4.6,10.5,-0.7
1999/2/2,2.5,5.0,0.4
1999/2/3,-1.1,1.0,-4.3
1999/2/4,-1.2,2.1,-4.3
1999/2/5,-0.3,3.7,-4.6
1999/2/6,1.6,4.8,-1.6
1999/2/7,2.1,6.5,-1.5
1999/2/8,4.4,10.2,0.4
1999/2/9,4.0,10.7,-2.3
1999/2/10,4.0,6.9,1.5
1999/2/11,3.4,5.8,1.5
1999/2/12,1.0,4.6,-1.3
1999/2/13,-0.6,1.2,-2.4
1999/2/14,0.4,4.2,-1.8
1999/2/15,2.5,7.8,-1.0
1999/2/16,5.4,13.1,0.2
1999/2/17,7.3,15.2,0.2
1999/2/18,6.0,7.5,4.6
1999/2/19,2.9,5.7,-0.6
1999/2/20,1.1,3.1,-1.3
1999/2/21,0.5,2.2,-1.1
1999/2/22,2.0,5.9,-1.0
1999/2/23,3.9,7.6,1.4
1999/2/24,4.6,9.9,1.5
1999/2/25,6.5,10.3,2.2
1999/2/26,7.3,15.0,-0.3
1999/2/27,5.3,12.3,-0.1
1999/2/28,2.8,7.6,-0.3
1999/3/1,6.9,13.7,0.0
1999/3/2,8.2,12.6,5.1
1999/3/3,8.0,15.8,2.5
1999/3/4,9.3,17.7,1.6
1999/3/5,12.4,18.8,6.4
1999/3/6,6.6,9.2,4.2
1999/3/7,5.9,7.0,4.8
1999/3/8,6.6,10.2,4.0
1999/3/9,6.1,9.0,3.3
1999/3/10,6.7,12.3,2.4
1999/3/11,6.0,9.4,3.9
1999/3/12,4.3,7.6,1.1
1999/3/13,9.6,18.1,0.0
1999/3/14,15.6,21.1,11.0
1999/3/15,12.6,18.7,9.7
1999/3/16,10.0,12.5,7.4
1999/3/17,13.3,21.7,4.4
1999/3/18,17.3,22.0,11.6
1999/3/19,12.8,17.8,6.3
1999/3/20,5.1,6.4,2.6
1999/3/21,5.5,8.2,2.0
1999/3/22,2.2,6.6,-0.2
1999/3/23,3.5,9.5,-1.4
1999/3/24,10.6,19.1,-0.3
1999/3/25,13.9,21.3,8.8
1999/3/26,14.8,20.3,10.8
1999/3/27,8.9,13.8,6.0
1999/3/28,5.4,9.3,1.3
1999/3/29,3.7,6.4,1.6
1999/3/30,5.5,9.7,0.9
1999/3/31,8.4,14.1,5.6
