ダウンロードした時刻：2019/10/10 16:21:07

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,14.9,19.4,11.4
2018/12/2,15.3,18.5,11.6
2018/12/3,18.0,19.2,16.3
2018/12/4,19.9,23.4,16.9
2018/12/5,16.0,18.5,12.4
2018/12/6,14.5,16.0,12.5
2018/12/7,9.2,13.2,5.7
2018/12/8,6.0,7.1,4.6
2018/12/9,5.8,7.5,4.2
2018/12/10,8.1,11.4,5.4
2018/12/11,9.7,11.8,6.8
2018/12/12,9.7,11.8,4.8
2018/12/13,6.9,9.9,3.4
2018/12/14,7.6,9.6,3.7
2018/12/15,6.6,12.8,1.7
2018/12/16,9.5,12.7,5.1
2018/12/17,10.8,12.1,9.4
2018/12/18,10.0,13.2,7.9
2018/12/19,10.7,16.1,5.0
2018/12/20,12.8,14.9,11.7
2018/12/21,13.5,15.9,11.4
2018/12/22,15.4,18.8,12.8
2018/12/23,12.3,14.2,7.8
2018/12/24,8.5,12.4,4.6
2018/12/25,8.5,14.1,3.2
2018/12/26,9.8,11.5,8.1
2018/12/27,8.8,11.7,4.6
2018/12/28,3.3,5.9,1.1
2018/12/29,3.8,6.5,1.1
2018/12/30,5.2,7.6,3.7
2018/12/31,7.2,12.0,4.8
2019/1/1,7.8,9.8,5.1
2019/1/2,5.7,8.0,2.3
2019/1/3,5.7,11.2,1.4
2019/1/4,7.3,12.9,1.9
2019/1/5,9.1,11.2,6.4
2019/1/6,7.9,11.7,4.9
2019/1/7,7.4,13.5,2.8
2019/1/8,8.6,11.6,6.2
2019/1/9,7.4,9.5,5.0
2019/1/10,8.0,10.3,6.2
2019/1/11,8.9,11.4,6.2
2019/1/12,9.6,13.0,7.0
2019/1/13,9.9,13.2,6.8
2019/1/14,9.0,14.8,5.2
2019/1/15,9.0,11.4,6.1
2019/1/16,6.0,9.4,2.6
2019/1/17,6.3,8.2,2.2
2019/1/18,7.1,12.2,2.5
2019/1/19,8.4,12.4,3.1
2019/1/20,11.6,15.5,7.8
2019/1/21,7.2,10.1,5.1
2019/1/22,8.5,11.7,5.6
2019/1/23,9.8,13.8,5.6
2019/1/24,8.6,13.8,4.6
2019/1/25,8.2,13.4,3.5
2019/1/26,5.2,7.5,3.2
2019/1/27,5.0,10.7,0.3
2019/1/28,10.0,13.8,4.2
2019/1/29,7.5,13.1,3.1
2019/1/30,10.0,14.6,4.9
2019/1/31,9.3,11.7,7.0
2019/2/1,6.1,7.1,5.0
2019/2/2,8.2,12.9,4.5
2019/2/3,14.6,18.8,9.9
2019/2/4,10.7,13.7,6.5
2019/2/5,9.1,12.2,5.7
2019/2/6,11.9,17.5,8.4
2019/2/7,11.0,17.5,7.6
2019/2/8,8.5,12.2,5.9
2019/2/9,6.5,8.3,3.6
2019/2/10,7.6,12.5,2.9
2019/2/11,6.8,9.5,2.8
2019/2/12,6.4,11.5,0.8
2019/2/13,8.3,12.4,4.9
2019/2/14,7.8,11.2,5.3
2019/2/15,7.4,10.4,3.8
2019/2/16,7.2,8.5,4.9
2019/2/17,6.4,11.0,3.4
2019/2/18,7.5,12.3,2.3
2019/2/19,13.5,19.0,8.4
2019/2/20,10.2,12.2,8.4
2019/2/21,10.3,14.2,7.6
2019/2/22,9.6,11.4,8.4
2019/2/23,11.1,15.3,7.8
2019/2/24,10.8,15.4,8.0
2019/2/25,11.1,16.5,6.6
2019/2/26,11.5,17.1,6.4
2019/2/27,10.6,13.2,8.9
2019/2/28,11.5,15.5,9.0
2019/3/1,11.4,16.6,6.9
2019/3/2,10.8,13.7,8.8
2019/3/3,10.5,13.1,8.9
2019/3/4,11.0,14.1,7.4
2019/3/5,11.0,17.4,5.7
2019/3/6,10.7,11.8,10.0
2019/3/7,10.3,13.7,6.0
2019/3/8,9.7,15.4,5.2
2019/3/9,11.8,17.1,5.4
2019/3/10,13.3,15.2,11.6
2019/3/11,12.8,15.9,9.3
2019/3/12,12.8,15.3,10.5
2019/3/13,9.2,11.8,6.1
2019/3/14,9.1,11.9,4.9
2019/3/15,8.9,15.4,3.0
2019/3/16,9.9,14.2,7.5
2019/3/17,12.4,16.3,7.4
2019/3/18,11.0,16.7,5.0
2019/3/19,12.6,17.8,9.1
2019/3/20,14.7,20.8,7.1
2019/3/21,16.8,19.8,13.5
2019/3/22,13.0,16.2,9.8
2019/3/23,10.6,14.1,8.9
2019/3/24,9.1,13.5,5.3
2019/3/25,9.2,11.8,6.3
2019/3/26,12.5,17.9,6.7
2019/3/27,14.9,19.7,9.0
2019/3/28,16.3,19.8,13.1
2019/3/29,16.1,20.4,13.0
2019/3/30,15.7,20.8,12.0
2019/3/31,10.2,12.4,8.8
