ダウンロードした時刻：2019/10/10 16:08:11

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,7.4,12.6,2.8
1981/12/2,1.7,4.6,-0.3
1981/12/3,3.0,6.8,-0.6
1981/12/4,2.5,8.1,-1.6
1981/12/5,3.9,8.3,-1.2
1981/12/6,5.4,9.6,2.4
1981/12/7,4.9,8.3,0.5
1981/12/8,6.2,9.3,2.9
1981/12/9,6.7,9.3,4.4
1981/12/10,6.7,9.7,1.0
1981/12/11,4.7,10.5,-1.2
1981/12/12,7.4,12.0,1.5
1981/12/13,3.2,7.2,1.4
1981/12/14,0.7,2.0,0.2
1981/12/15,0.7,2.0,0.2
1981/12/16,2.0,6.0,-0.9
1981/12/17,3.4,8.0,-0.5
1981/12/18,2.6,8.6,-2.2
1981/12/19,3.2,6.4,0.0
1981/12/20,4.9,7.0,2.4
1981/12/21,4.8,9.7,1.0
1981/12/22,4.4,11.1,-0.1
1981/12/23,5.1,8.4,0.8
1981/12/24,5.3,8.5,3.2
1981/12/25,4.0,8.2,0.5
1981/12/26,3.4,8.9,-0.9
1981/12/27,4.6,10.1,0.0
1981/12/28,3.7,6.6,0.8
1981/12/29,6.1,9.7,2.1
1981/12/30,6.1,9.6,1.7
1981/12/31,3.0,6.3,0.0
1982/1/1,4.5,7.3,1.3
1982/1/2,4.3,7.9,1.3
1982/1/3,3.9,8.0,0.0
1982/1/4,7.7,12.3,2.0
1982/1/5,7.7,10.6,4.5
1982/1/6,4.9,8.0,1.1
1982/1/7,2.0,4.5,0.4
1982/1/8,0.8,5.0,-2.6
1982/1/9,4.2,9.5,-1.9
1982/1/10,4.5,8.7,0.8
1982/1/11,3.7,9.6,-1.5
1982/1/12,7.0,10.0,4.4
1982/1/13,4.4,6.8,2.6
1982/1/14,3.7,6.8,0.6
1982/1/15,2.6,6.4,0.5
1982/1/16,3.1,7.6,0.1
1982/1/17,1.8,4.5,-2.3
1982/1/18,0.7,5.6,-4.3
1982/1/19,0.9,2.9,-0.4
1982/1/20,-0.3,2.8,-1.9
1982/1/21,1.9,6.5,-1.9
1982/1/22,5.2,9.7,2.6
1982/1/23,3.9,5.8,2.9
1982/1/24,3.9,6.7,0.2
1982/1/25,3.9,6.1,1.7
1982/1/26,4.0,7.6,0.8
1982/1/27,3.6,7.3,0.0
1982/1/28,1.1,3.0,-1.8
1982/1/29,-1.6,0.0,-3.4
1982/1/30,-1.2,1.8,-2.6
1982/1/31,-0.3,3.7,-6.0
1982/2/1,1.5,2.7,0.5
1982/2/2,1.3,3.3,-0.5
1982/2/3,2.3,5.5,-1.9
1982/2/4,2.4,4.6,0.9
1982/2/5,1.6,4.7,-1.5
1982/2/6,1.2,6.2,-2.4
1982/2/7,-0.9,0.2,-2.3
1982/2/8,0.3,3.1,-1.8
1982/2/9,2.0,5.0,-1.0
1982/2/10,1.4,3.8,-0.1
1982/2/11,2.4,5.6,-1.2
1982/2/12,4.4,8.9,0.2
1982/2/13,3.9,7.9,0.4
1982/2/14,2.7,5.6,1.1
1982/2/15,2.5,6.2,-0.8
1982/2/16,3.2,7.5,-2.2
1982/2/17,2.5,4.8,0.4
1982/2/18,5.8,10.9,0.9
1982/2/19,5.7,8.1,1.4
1982/2/20,8.4,11.1,6.8
1982/2/21,7.6,10.5,5.3
1982/2/22,6.5,9.2,4.9
1982/2/23,6.2,9.6,4.3
1982/2/24,4.6,7.0,3.4
1982/2/25,3.4,6.9,0.9
1982/2/26,1.8,5.0,-0.1
1982/2/27,3.4,7.6,-1.4
1982/2/28,4.7,8.3,-1.4
1982/3/1,5.4,7.7,4.0
1982/3/2,2.8,5.8,-0.1
1982/3/3,2.3,7.4,-1.1
1982/3/4,4.7,10.0,-2.1
1982/3/5,7.9,9.8,6.2
1982/3/6,7.1,9.9,3.2
1982/3/7,3.3,6.8,1.0
1982/3/8,3.7,7.7,0.5
1982/3/9,4.8,10.1,-0.2
1982/3/10,5.3,11.8,-0.3
1982/3/11,7.1,14.7,0.4
1982/3/12,7.5,12.5,2.3
1982/3/13,8.9,13.1,6.4
1982/3/14,9.5,15.0,2.8
1982/3/15,12.3,15.1,9.9
1982/3/16,11.2,14.9,9.0
1982/3/17,9.0,13.2,7.0
1982/3/18,7.9,11.3,5.6
1982/3/19,7.6,10.9,1.9
1982/3/20,9.9,12.1,7.5
1982/3/21,9.2,10.6,8.2
1982/3/22,9.7,15.9,4.3
1982/3/23,11.8,17.4,4.4
1982/3/24,7.1,13.5,2.9
1982/3/25,3.2,5.5,1.5
1982/3/26,4.0,7.8,0.9
1982/3/27,4.9,10.6,-1.2
1982/3/28,5.7,12.1,-0.4
1982/3/29,7.3,14.7,-0.5
1982/3/30,11.2,19.1,2.4
1982/3/31,9.6,15.0,7.8
