ダウンロードした時刻：2019/10/10 15:41:19

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,4.3,12.1,-3.2
1984/12/2,6.5,11.5,2.5
1984/12/3,4.9,8.9,0.1
1984/12/4,2.5,10.3,-3.5
1984/12/5,4.4,13.3,-2.4
1984/12/6,2.4,7.5,-1.5
1984/12/7,1.0,6.0,-3.5
1984/12/8,1.1,9.0,-5.8
1984/12/9,3.2,12.6,-3.4
1984/12/10,4.8,11.5,-1.5
1984/12/11,8.1,10.1,3.7
1984/12/12,10.4,13.3,8.6
1984/12/13,6.1,10.0,1.2
1984/12/14,6.6,11.0,1.3
1984/12/15,1.2,4.1,-1.9
1984/12/16,1.5,5.3,-0.8
1984/12/17,1.1,3.2,-0.9
1984/12/18,1.1,4.1,-2.2
1984/12/19,1.2,3.3,-0.5
1984/12/20,-0.2,3.9,-4.7
1984/12/21,0.4,5.2,-5.4
1984/12/22,-0.2,3.9,-3.3
1984/12/23,-1.1,3.7,-4.2
1984/12/24,-2.7,3.5,-7.4
1984/12/25,-5.1,-2.2,-10.3
1984/12/26,-3.6,3.0,-10.4
1984/12/27,-2.7,0.4,-5.7
1984/12/28,-3.8,1.2,-8.8
1984/12/29,-4.3,-0.2,-8.6
1984/12/30,-4.5,1.8,-11.3
1984/12/31,-2.3,3.1,-9.0
1985/1/1,-0.5,2.1,-4.2
1985/1/2,-2.2,1.8,-5.7
1985/1/3,-0.9,6.3,-7.2
1985/1/4,-1.4,2.0,-4.7
1985/1/5,-4.2,-1.3,-6.4
1985/1/6,-4.5,-0.5,-8.7
1985/1/7,-3.7,0.1,-7.3
1985/1/8,-3.2,3.0,-8.5
1985/1/9,-2.2,5.9,-9.5
1985/1/10,2.8,8.3,-3.4
1985/1/11,2.1,5.5,-0.9
1985/1/12,-1.0,0.7,-2.3
1985/1/13,-0.9,5.6,-5.4
1985/1/14,-5.0,-2.0,-6.8
1985/1/15,-4.2,0.9,-7.3
1985/1/16,-1.6,3.1,-4.9
1985/1/17,-4.7,-3.0,-6.1
1985/1/18,-4.0,1.0,-8.6
1985/1/19,-2.3,3.6,-9.1
1985/1/20,2.5,9.0,-1.2
1985/1/21,0.1,2.6,-1.6
1985/1/22,0.4,6.2,-6.3
1985/1/23,0.9,4.2,-1.6
1985/1/24,-2.3,0.2,-4.2
1985/1/25,-4.7,-1.8,-8.4
1985/1/26,-5.2,-0.9,-9.2
1985/1/27,-2.1,4.0,-9.7
1985/1/28,1.0,7.6,-2.3
1985/1/29,-3.0,0.0,-8.9
1985/1/30,-6.1,-2.5,-10.0
1985/1/31,-2.9,2.6,-7.1
1985/2/1,3.0,8.6,-4.1
1985/2/2,0.1,3.3,-4.0
1985/2/3,1.1,5.5,-2.9
1985/2/4,2.5,7.3,-2.0
1985/2/5,0.5,4.3,-3.5
1985/2/6,2.9,7.6,0.3
1985/2/7,3.6,10.9,-2.6
1985/2/8,1.3,2.5,0.3
1985/2/9,1.0,5.4,-0.4
1985/2/10,5.3,9.4,1.8
1985/2/11,1.8,4.1,0.1
1985/2/12,2.7,8.4,-2.5
1985/2/13,1.5,7.8,-5.0
1985/2/14,-1.8,1.1,-4.8
1985/2/15,-1.1,0.9,-4.3
1985/2/16,2.2,7.2,-0.8
1985/2/17,2.1,5.2,-0.3
1985/2/18,2.8,8.1,-0.8
1985/2/19,1.1,3.0,-0.4
1985/2/20,2.9,8.0,0.4
1985/2/21,1.0,6.6,-2.9
1985/2/22,-2.4,0.1,-3.8
1985/2/23,-0.5,2.9,-3.4
1985/2/24,-0.4,1.7,-3.0
1985/2/25,-0.6,4.1,-4.0
1985/2/26,-0.1,4.2,-5.3
1985/2/27,1.2,5.3,-0.8
1985/2/28,-0.8,0.1,-1.7
1985/3/1,0.6,3.2,-1.2
1985/3/2,2.1,6.1,-2.1
1985/3/3,2.2,7.5,-1.1
1985/3/4,0.6,6.4,-3.2
1985/3/5,2.2,6.1,-1.9
1985/3/6,1.5,5.7,-1.4
1985/3/7,3.2,8.6,0.0
1985/3/8,4.2,6.5,-0.5
1985/3/9,5.7,9.7,2.1
1985/3/10,0.9,4.1,-2.1
1985/3/11,-2.0,-1.0,-3.2
1985/3/12,2.1,6.0,-2.6
1985/3/13,1.7,7.5,-4.8
1985/3/14,0.5,2.6,-1.1
1985/3/15,0.6,4.6,-2.0
1985/3/16,0.3,6.2,-6.9
1985/3/17,2.3,4.9,-2.1
1985/3/18,7.1,12.9,2.9
1985/3/19,1.9,4.5,0.5
1985/3/20,4.0,9.4,-0.1
1985/3/21,3.3,4.9,1.3
1985/3/22,4.7,9.9,0.3
1985/3/23,2.9,9.5,-2.9
1985/3/24,3.2,11.5,-2.9
1985/3/25,5.9,10.6,-2.8
1985/3/26,8.3,13.0,2.0
1985/3/27,1.8,3.3,0.4
1985/3/28,7.7,12.3,1.8
1985/3/29,7.3,11.4,4.2
1985/3/30,5.0,8.9,0.4
1985/3/31,3.3,8.0,-0.2
