ダウンロードした時刻：2019/10/10 15:36:11

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,15.1,18.5,13.0
1990/12/2,10.0,13.6,7.2
1990/12/3,5.0,8.3,2.9
1990/12/4,6.6,8.0,3.9
1990/12/5,6.7,9.6,2.5
1990/12/6,7.9,10.4,5.2
1990/12/7,11.6,14.4,8.3
1990/12/8,9.2,13.6,4.8
1990/12/9,10.2,13.8,7.7
1990/12/10,9.3,13.4,4.3
1990/12/11,5.1,6.6,2.4
1990/12/12,5.6,8.0,3.5
1990/12/13,5.4,8.2,3.3
1990/12/14,7.2,11.5,4.2
1990/12/15,1.5,6.8,0.4
1990/12/16,0.3,2.3,-1.4
1990/12/17,0.8,2.5,-0.5
1990/12/18,2.6,6.4,-0.7
1990/12/19,2.6,4.4,0.6
1990/12/20,3.6,5.6,1.6
1990/12/21,6.2,10.1,1.8
1990/12/22,8.0,12.2,4.6
1990/12/23,4.7,8.7,2.0
1990/12/24,1.5,3.4,-0.8
1990/12/25,2.7,4.7,-0.8
1990/12/26,3.1,8.4,-2.2
1990/12/27,1.9,5.3,0.3
1990/12/28,2.3,4.4,-0.2
1990/12/29,1.4,3.3,0.4
1990/12/30,3.1,4.9,1.6
1990/12/31,1.6,5.4,0.4
1991/1/1,5.0,9.2,2.6
1991/1/2,4.0,6.4,-0.1
1991/1/3,-1.7,0.2,-3.4
1991/1/4,-1.5,0.7,-3.4
1991/1/5,0.1,1.8,-2.2
1991/1/6,-0.9,1.2,-2.5
1991/1/7,1.4,3.2,-2.0
1991/1/8,0.1,2.5,-2.5
1991/1/9,2.1,3.3,0.2
1991/1/10,2.5,4.0,0.8
1991/1/11,2.2,3.1,0.9
1991/1/12,0.8,4.4,-3.0
1991/1/13,-1.0,3.8,-5.2
1991/1/14,1.2,4.5,-2.4
1991/1/15,0.9,2.3,-0.8
1991/1/16,0.5,2.2,-1.9
1991/1/17,1.1,6.0,-2.6
1991/1/18,-2.0,1.7,-6.6
1991/1/19,-1.2,4.8,-6.4
1991/1/20,1.7,4.0,-1.0
1991/1/21,3.2,6.2,1.1
1991/1/22,1.0,3.3,-1.4
1991/1/23,-1.3,0.8,-3.5
1991/1/24,0.9,2.6,-2.1
1991/1/25,2.8,7.2,-0.6
1991/1/26,3.1,4.7,1.4
1991/1/27,1.2,2.3,-1.2
1991/1/28,0.4,3.1,-2.4
1991/1/29,-1.5,1.2,-4.4
1991/1/30,0.1,2.0,-2.1
1991/1/31,1.8,4.0,-0.2
1991/2/1,0.3,2.0,-1.6
1991/2/2,0.1,2.0,-1.7
1991/2/3,0.7,2.3,-1.6
1991/2/4,-0.5,1.6,-1.9
1991/2/5,0.1,2.2,-2.5
1991/2/6,1.4,3.5,-1.6
1991/2/7,0.6,2.3,-1.3
1991/2/8,-0.6,2.0,-2.9
1991/2/9,1.2,3.6,-2.2
1991/2/10,2.0,4.7,-0.4
1991/2/11,2.4,5.7,-1.1
1991/2/12,0.7,4.1,-2.0
1991/2/13,1.8,3.3,-1.1
1991/2/14,1.1,4.5,-2.0
1991/2/15,4.6,9.1,-0.4
1991/2/16,3.8,8.7,0.5
1991/2/17,0.7,3.4,-1.6
1991/2/18,-1.3,2.2,-4.2
1991/2/19,-2.2,0.2,-5.3
1991/2/20,-3.2,1.7,-9.3
1991/2/21,-0.1,3.6,-1.8
1991/2/22,-1.3,1.9,-3.1
1991/2/23,-3.1,-1.9,-5.8
1991/2/24,-5.4,-3.0,-6.1
1991/2/25,-2.0,2.0,-6.8
1991/2/26,3.8,4.9,1.8
1991/2/27,4.9,6.9,1.8
1991/2/28,3.7,6.9,0.8
1991/3/1,-0.5,0.8,-1.5
1991/3/2,0.9,2.8,-1.9
1991/3/3,2.1,4.2,-0.7
1991/3/4,6.8,9.2,3.8
1991/3/5,7.2,9.9,3.3
1991/3/6,6.5,11.6,2.2
1991/3/7,-0.1,2.2,-1.7
1991/3/8,1.4,3.6,-0.5
1991/3/9,3.0,6.2,0.5
1991/3/10,2.7,4.9,0.8
1991/3/11,2.5,5.3,-0.1
1991/3/12,2.8,5.7,-0.6
1991/3/13,0.9,3.0,-1.0
1991/3/14,-1.5,1.0,-3.2
1991/3/15,-1.3,0.1,-3.4
1991/3/16,0.2,4.0,-2.1
1991/3/17,2.4,5.5,-0.7
1991/3/18,3.5,6.5,-0.2
1991/3/19,5.4,11.5,-1.7
1991/3/20,7.1,13.5,1.3
1991/3/21,1.0,2.8,0.1
1991/3/22,4.2,11.3,-2.9
1991/3/23,11.5,16.9,5.8
1991/3/24,7.2,9.6,3.4
1991/3/25,6.7,12.1,0.4
1991/3/26,5.0,10.2,-0.2
1991/3/27,3.1,5.5,-0.4
1991/3/28,5.9,8.7,4.0
1991/3/29,4.1,6.5,1.1
1991/3/30,6.4,10.6,0.9
1991/3/31,4.6,7.3,2.2
