ダウンロードした時刻：2019/10/10 15:51:47

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,5.3,13.3,-1.5
1989/12/2,6.3,14.2,-0.8
1989/12/3,7.4,16.7,0.3
1989/12/4,7.8,17.9,0.7
1989/12/5,9.1,14.0,3.5
1989/12/6,9.4,15.6,5.7
1989/12/7,8.2,11.7,5.3
1989/12/8,7.5,13.3,2.7
1989/12/9,3.3,10.6,-1.3
1989/12/10,3.2,10.2,-3.2
1989/12/11,4.9,13.8,-2.3
1989/12/12,5.7,12.0,0.7
1989/12/13,4.1,9.2,-1.3
1989/12/14,4.9,7.7,2.0
1989/12/15,6.6,12.5,2.4
1989/12/16,5.2,12.3,-0.7
1989/12/17,7.0,15.4,-0.5
1989/12/18,5.6,12.1,0.6
1989/12/19,2.7,7.5,-1.6
1989/12/20,2.1,9.8,-5.1
1989/12/21,3.0,10.4,-3.0
1989/12/22,5.1,11.0,-2.8
1989/12/23,7.0,12.8,0.9
1989/12/24,4.9,8.0,2.6
1989/12/25,5.2,8.1,3.4
1989/12/26,7.0,11.7,2.3
1989/12/27,7.7,11.0,4.5
1989/12/28,3.8,9.8,-0.3
1989/12/29,3.7,10.5,-1.0
1989/12/30,4.4,10.0,0.9
1989/12/31,3.9,9.5,-0.8
1990/1/1,2.6,9.2,-2.1
1990/1/2,1.9,8.8,-4.4
1990/1/3,3.2,9.2,-0.6
1990/1/4,2.6,8.4,-2.7
1990/1/5,1.6,9.1,-5.3
1990/1/6,4.9,13.3,-2.9
1990/1/7,2.6,8.0,-2.1
1990/1/8,2.0,9.9,-5.0
1990/1/9,3.2,12.1,-3.9
1990/1/10,4.8,9.0,-0.4
1990/1/11,7.5,12.1,2.0
1990/1/12,3.9,7.8,0.9
1990/1/13,3.7,8.0,-0.6
1990/1/14,-0.3,4.3,-5.4
1990/1/15,1.7,8.3,-5.1
1990/1/16,0.1,1.6,-0.5
1990/1/17,0.2,6.1,-4.0
1990/1/18,2.2,7.9,-4.8
1990/1/19,2.1,5.3,-1.2
1990/1/20,2.1,6.7,-1.6
1990/1/21,1.4,7.2,-3.1
1990/1/22,1.7,7.4,-4.2
1990/1/23,0.7,2.1,-1.6
1990/1/24,1.0,6.6,-3.2
1990/1/25,0.3,5.4,-3.2
1990/1/26,-1.5,4.6,-6.7
1990/1/27,-1.2,5.0,-7.6
1990/1/28,-0.3,5.4,-7.6
1990/1/29,1.0,5.2,-2.9
1990/1/30,3.5,10.5,-1.4
1990/1/31,0.0,1.4,-0.8
1990/2/1,-0.1,0.6,-1.7
1990/2/2,-0.5,4.0,-6.3
1990/2/3,0.8,5.5,-5.5
1990/2/4,3.2,4.7,1.4
1990/2/5,2.3,6.1,-0.8
1990/2/6,3.0,7.3,-1.5
1990/2/7,4.8,10.5,-0.6
1990/2/8,5.4,10.1,0.3
1990/2/9,2.8,6.7,-1.8
1990/2/10,3.1,7.4,-3.8
1990/2/11,9.1,16.2,4.5
1990/2/12,8.3,14.4,2.8
1990/2/13,4.6,10.9,0.6
1990/2/14,3.3,5.9,-0.1
1990/2/15,3.6,6.7,1.0
1990/2/16,4.5,6.0,3.8
1990/2/17,5.2,10.1,-0.1
1990/2/18,6.6,12.5,0.7
1990/2/19,7.7,11.5,6.4
1990/2/20,11.2,15.2,7.8
1990/2/21,10.0,17.6,2.9
1990/2/22,9.5,16.5,2.1
1990/2/23,9.7,10.8,9.2
1990/2/24,11.1,14.4,9.1
1990/2/25,8.9,10.7,8.0
1990/2/26,7.9,9.4,7.0
1990/2/27,6.9,9.1,5.2
1990/2/28,5.6,9.1,1.9
1990/3/1,7.3,10.9,0.9
1990/3/2,6.5,9.3,3.8
1990/3/3,6.9,10.2,3.9
1990/3/4,8.9,14.1,6.1
1990/3/5,7.3,10.7,5.0
1990/3/6,7.0,11.1,4.0
1990/3/7,7.0,14.5,0.6
1990/3/8,4.8,9.6,1.2
1990/3/9,6.5,13.9,-2.1
1990/3/10,8.5,14.5,3.3
1990/3/11,9.0,16.3,0.5
1990/3/12,10.3,14.6,5.2
1990/3/13,4.9,9.7,1.4
1990/3/14,6.6,11.5,-2.3
1990/3/15,10.3,18.9,5.9
1990/3/16,8.6,13.2,3.7
1990/3/17,8.0,12.7,3.3
1990/3/18,7.1,9.5,4.6
1990/3/19,8.8,16.0,3.3
1990/3/20,10.2,19.2,1.5
1990/3/21,7.9,14.4,1.4
1990/3/22,7.5,15.3,-1.3
1990/3/23,8.8,13.6,2.9
1990/3/24,13.9,22.4,6.4
1990/3/25,7.1,11.6,1.9
1990/3/26,4.8,10.1,-1.3
1990/3/27,6.9,14.0,-1.9
1990/3/28,11.1,16.6,4.3
1990/3/29,8.6,10.1,7.6
1990/3/30,9.2,12.5,5.2
1990/3/31,10.8,13.8,6.7
