É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:47:33

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1994/12/1,7.3,14.2,0.7
1994/12/2,10.6,15.6,7.4
1994/12/3,9.7,14.2,6.5
1994/12/4,7.4,14.0,1.7
1994/12/5,5.7,13.7,-0.6
1994/12/6,4.9,11.5,0.0
1994/12/7,6.4,14.0,-1.3
1994/12/8,7.8,14.3,2.4
1994/12/9,8.3,12.1,4.4
1994/12/10,6.5,12.5,0.3
1994/12/11,3.6,6.2,-0.6
1994/12/12,9.0,12.4,6.2
1994/12/13,8.1,14.1,3.7
1994/12/14,5.9,12.0,2.3
1994/12/15,5.0,12.2,0.0
1994/12/16,2.2,6.6,-2.0
1994/12/17,0.4,6.2,-4.7
1994/12/18,2.3,9.6,-3.1
1994/12/19,0.5,6.7,-3.8
1994/12/20,0.2,5.9,-5.5
1994/12/21,2.4,12.1,-4.2
1994/12/22,2.9,10.0,-3.3
1994/12/23,4.9,13.0,-1.5
1994/12/24,6.2,15.6,-1.6
1994/12/25,6.0,14.5,0.0
1994/12/26,3.8,8.6,-2.0
1994/12/27,8.5,15.4,3.7
1994/12/28,6.2,8.8,2.1
1994/12/29,3.6,9.3,-1.2
1994/12/30,1.7,7.8,-4.0
1994/12/31,4.3,8.6,0.2
1995/1/1,2.1,8.3,-2.1
1995/1/2,0.7,6.8,-5.2
1995/1/3,2.1,7.8,-3.6
1995/1/4,4.8,7.3,1.5
1995/1/5,6.1,12.5,1.7
1995/1/6,1.4,7.3,-2.2
1995/1/7,2.1,9.5,-4.8
1995/1/8,4.2,11.2,-2.3
1995/1/9,6.3,12.1,1.0
1995/1/10,4.1,10.0,-2.1
1995/1/11,1.9,8.0,-4.0
1995/1/12,3.1,9.8,-3.1
1995/1/13,2.6,9.5,-2.5
1995/1/14,-0.5,4.3,-4.8
1995/1/15,-0.7,4.8,-4.8
1995/1/16,-0.4,6.0,-5.2
1995/1/17,-0.5,6.0,-5.9
1995/1/18,0.4,6.7,-6.2
1995/1/19,0.9,6.8,-3.1
1995/1/20,1.3,8.5,-5.0
1995/1/21,3.8,9.9,-3.8
1995/1/22,5.0,6.0,3.6
1995/1/23,6.7,12.0,1.5
1995/1/24,4.3,11.2,-1.1
1995/1/25,1.5,8.4,-4.4
1995/1/26,2.7,8.7,-4.8
1995/1/27,2.0,7.8,-3.0
1995/1/28,2.6,8.6,-2.9
1995/1/29,4.0,9.7,-1.6
1995/1/30,1.5,6.2,-2.1
1995/1/31,1.1,5.6,-2.7
1995/2/1,2.1,8.0,-3.2
1995/2/2,2.0,8.2,-5.0
1995/2/3,2.2,8.4,-3.9
1995/2/4,0.9,6.3,-4.5
1995/2/5,1.7,5.2,-1.4
1995/2/6,1.8,8.8,-4.3
1995/2/7,1.4,8.6,-3.8
1995/2/8,3.3,11.7,-5.1
1995/2/9,4.9,10.0,0.0
1995/2/10,2.9,6.8,-1.4
1995/2/11,1.5,8.0,-5.5
1995/2/12,5.1,11.1,-2.7
1995/2/13,7.7,13.7,3.2
1995/2/14,5.1,8.7,2.6
1995/2/15,4.1,9.2,0.7
1995/2/16,4.4,10.4,-0.4
1995/2/17,1.6,7.9,-3.7
1995/2/18,2.4,10.3,-4.8
1995/2/19,3.3,10.3,-2.9
1995/2/20,3.8,11.2,-2.1
1995/2/21,2.8,10.4,-3.8
1995/2/22,2.9,9.8,-3.3
1995/2/23,3.9,10.4,-3.5
1995/2/24,4.9,12.5,-0.6
1995/2/25,4.3,8.8,0.5
1995/2/26,4.8,8.0,2.5
1995/2/27,5.4,12.8,-1.4
1995/2/28,4.4,10.2,-1.6
1995/3/1,5.8,12.2,2.3
1995/3/2,5.2,11.2,0.6
1995/3/3,3.9,9.0,-2.3
1995/3/4,1.9,4.0,0.6
1995/3/5,2.9,8.9,-2.4
1995/3/6,3.2,9.6,-2.9
1995/3/7,5.2,12.4,-2.6
1995/3/8,6.3,15.1,-0.7
1995/3/9,7.0,13.6,1.8
1995/3/10,3.2,5.9,1.1
1995/3/11,7.4,13.1,1.5
1995/3/12,4.6,10.3,-0.7
1995/3/13,5.4,10.0,2.7
1995/3/14,5.9,11.4,0.1
1995/3/15,7.0,11.8,3.7
1995/3/16,6.6,10.1,1.6
1995/3/17,12.6,15.7,8.8
1995/3/18,3.9,10.9,1.9
1995/3/19,5.1,11.3,1.3
1995/3/20,6.1,13.0,-0.7
1995/3/21,9.0,15.3,2.1
1995/3/22,10.6,18.8,2.6
1995/3/23,9.6,13.9,7.1
1995/3/24,10.1,13.0,7.8
1995/3/25,5.1,10.4,0.8
1995/3/26,2.1,4.9,-0.1
1995/3/27,6.0,11.2,1.9
1995/3/28,7.1,12.4,2.7
1995/3/29,6.3,11.2,-0.5
1995/3/30,8.2,10.0,5.8
1995/3/31,14.0,20.8,9.9
