ダウンロードした時刻：2019/10/10 15:59:51

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,7.9,13.8,3.5
1988/12/2,8.2,14.8,3.5
1988/12/3,9.0,14.1,3.5
1988/12/4,11.1,15.2,7.7
1988/12/5,8.0,14.4,2.9
1988/12/6,6.1,13.1,0.9
1988/12/7,7.4,14.0,1.1
1988/12/8,9.2,16.2,3.2
1988/12/9,10.4,14.9,6.5
1988/12/10,6.9,11.4,1.3
1988/12/11,5.6,11.5,1.1
1988/12/12,6.4,13.5,0.7
1988/12/13,6.9,12.6,3.2
1988/12/14,8.1,14.7,2.3
1988/12/15,6.4,10.0,3.2
1988/12/16,3.0,6.2,-1.4
1988/12/17,5.5,10.1,1.2
1988/12/18,5.3,11.8,0.2
1988/12/19,8.8,13.6,2.3
1988/12/20,10.2,15.6,5.4
1988/12/21,10.1,16.0,4.6
1988/12/22,7.2,11.0,3.2
1988/12/23,6.2,12.2,-0.1
1988/12/24,7.8,13.9,3.1
1988/12/25,8.4,13.1,1.2
1988/12/26,4.7,12.0,-0.9
1988/12/27,6.0,11.9,0.5
1988/12/28,6.4,11.3,1.1
1988/12/29,4.7,10.3,-1.3
1988/12/30,5.7,13.3,0.0
1988/12/31,7.1,12.2,1.5
1989/1/1,8.6,14.2,3.6
1989/1/2,6.6,13.6,1.3
1989/1/3,7.2,14.2,1.0
1989/1/4,6.5,10.7,1.8
1989/1/5,3.8,10.4,-1.4
1989/1/6,6.1,12.2,-1.0
1989/1/7,10.3,13.4,6.0
1989/1/8,13.0,15.9,10.9
1989/1/9,11.4,12.4,9.5
1989/1/10,11.7,16.1,6.5
1989/1/11,10.5,13.7,7.3
1989/1/12,10.9,14.9,5.7
1989/1/13,6.7,11.3,3.0
1989/1/14,6.6,9.2,5.3
1989/1/15,5.5,10.4,1.6
1989/1/16,5.1,11.3,0.5
1989/1/17,6.8,12.7,1.4
1989/1/18,9.4,13.6,3.4
1989/1/19,12.3,14.3,10.3
1989/1/20,14.8,20.1,10.2
1989/1/21,10.0,14.0,3.8
1989/1/22,7.6,12.6,1.5
1989/1/23,9.1,11.4,6.2
1989/1/24,8.2,13.0,2.4
1989/1/25,6.1,11.7,0.6
1989/1/26,6.9,9.1,4.2
1989/1/27,6.3,13.3,3.2
1989/1/28,3.3,6.6,-0.8
1989/1/29,2.9,9.8,-2.4
1989/1/30,5.8,12.4,-1.2
1989/1/31,8.7,14.2,3.0
1989/2/1,8.9,12.3,5.2
1989/2/2,4.7,9.2,1.2
1989/2/3,4.6,8.6,0.4
1989/2/4,3.9,9.8,-0.8
1989/2/5,5.4,12.2,-1.5
1989/2/6,6.7,12.4,1.2
1989/2/7,7.4,14.5,1.1
1989/2/8,9.1,12.3,4.3
1989/2/9,11.9,17.3,6.8
1989/2/10,7.9,13.0,5.3
1989/2/11,5.2,10.0,1.4
1989/2/12,5.4,11.6,0.4
1989/2/13,5.2,12.2,0.0
1989/2/14,5.8,13.2,-0.6
1989/2/15,7.7,12.7,1.8
1989/2/16,10.6,12.1,7.0
1989/2/17,13.9,15.6,11.8
1989/2/18,11.9,16.4,7.5
1989/2/19,8.8,14.1,5.0
1989/2/20,9.5,13.4,5.2
1989/2/21,10.3,13.0,7.0
1989/2/22,9.3,15.0,5.6
1989/2/23,8.4,11.9,5.2
1989/2/24,10.0,11.4,7.5
1989/2/25,11.5,15.4,10.0
1989/2/26,8.7,14.6,2.1
1989/2/27,7.1,13.7,0.3
1989/2/28,11.8,16.2,5.4
1989/3/1,11.7,17.0,4.8
1989/3/2,9.7,13.6,3.7
1989/3/3,10.4,11.8,8.9
1989/3/4,15.9,19.8,11.7
1989/3/5,9.9,13.5,4.4
1989/3/6,8.0,13.9,1.9
1989/3/7,7.7,12.6,2.9
1989/3/8,6.2,12.4,1.3
1989/3/9,5.4,11.9,-1.2
1989/3/10,6.5,13.5,0.3
1989/3/11,8.2,13.8,1.4
1989/3/12,11.0,17.3,4.0
1989/3/13,10.7,11.6,9.4
1989/3/14,13.6,19.8,9.8
1989/3/15,11.2,17.9,5.5
1989/3/16,8.5,14.1,2.6
1989/3/17,7.6,10.8,5.7
1989/3/18,7.8,13.2,2.9
1989/3/19,8.1,15.2,0.8
1989/3/20,8.8,16.2,2.3
1989/3/21,9.5,16.1,2.4
1989/3/22,8.8,14.4,3.6
1989/3/23,10.1,15.8,3.0
1989/3/24,11.0,14.1,8.1
1989/3/25,11.1,16.4,4.8
1989/3/26,10.2,14.8,3.6
1989/3/27,10.4,11.5,8.6
1989/3/28,9.8,15.4,4.6
1989/3/29,9.9,16.0,4.0
1989/3/30,11.2,17.1,4.6
1989/3/31,12.5,17.8,8.6
